Sat Aug 29 07:23:40 PDT 2015 --  There's nothing like the aroma of fresh chemicals in the morning at the nail salon 🏼
Fri Aug 28 08:13:17 PDT 2015 --  Be prepared! The ManCave Wash Bag is almost ready for sale! http://mancave.spnd.st/view/m4bbwv 
Thu Aug 27 13:46:55 PDT 2015 --  'Big Thanks to Steven Carrera @Life_Int_Mgmt & @SmashSoccerUSA for all their help in my exciting new adventure w/ @RealSaltLake
Wed Aug 26 15:33:29 PDT 2015 --  Unwinding after work #pool #floridalife pic.twitter.com/li7oS8WDoo
Mon Aug 24 17:33:32 PDT 2015 --  Juan enjoying the move and city! Enjoying his first few days @RealSaltLake ! http://www.sltrib.com/sports/2871996-155/real-salt-lake-burrito-martinez-said?fullpage=1 …
Sat Aug 22 18:57:30 PDT 2015 --  Great atmosphere! Great fans! Great stadium! Great new family for Juan! Let's go @RealSaltLake https://twitter.com/RealSaltLake/status/635255577942163456 …
Fri Aug 21 07:41:52 PDT 2015 --  Stroll over the bridge to the island #annamaria #islandlife pic.twitter.com/51jWCX6SnJ
Fri Aug 21 05:28:04 PDT 2015 --  Check out our collaboration with @WurkinStiffs #DoppBag http://wurkinstiffs.com/pages/dbag-teamwurk … #Mensgrooming pic.twitter.com/tM4PB5eEIu
Thu Aug 20 06:30:48 PDT 2015 --  #happygirl 🏼 pic.twitter.com/j5PLI0skf2
Tue Aug 18 07:46:00 PDT 2015 --  Love us some @clifforiginal! Check out our awesome #DoppBag collaboration! http://wurkinstiffs.com/pages/dbag-teamwurk … #Mensgrooming pic.twitter.com/uXX09y7svF
Tue Aug 18 06:47:04 PDT 2015 --  Amazing to see my company's product being enjoyed all over the world #doppbag #wurkinstiffs #iceland #bluelagoon pic.twitter.com/ZmzlvQSrSl
Mon Aug 17 11:26:45 PDT 2015 --  http://www.gq.com.tw/mobile/blog/pjchen/detail-1089.html … GQ Taiwan feature! Thanks guys! #Wurkinstiffs #GQ #GQTaiwan #Menswear
Sat Aug 08 16:00:11 PDT 2015 --  Find your bliss & center your thoughts with a waterfront yoga session at #ClubMedBintan. Great photo, @danisaugust! pic.twitter.com/hfUyIeLMsn
Sat Aug 15 05:58:15 PDT 2015 --  Pool at @clubmedofficial #PortStLucie breath taking! #paradise #florida pic.twitter.com/S3M3t93Z9r
Sat Aug 15 05:51:18 PDT 2015 --  Hanging out at the beautiful @clubmedofficial in #PortStLucie pic.twitter.com/6Ho4d808u7
Sat Aug 15 02:04:49 PDT 2015 --  Up bright and early headed on a little day trip adventure to Jupiter FL #goodmorning #sunrise
Fri Aug 14 17:10:19 PDT 2015 --  Enjoying my Friday night on #AnnaMariaIsland 🏻 #Tgif pic.twitter.com/SjxX52j8Mx
Fri Aug 14 16:11:42 PDT 2015 --  @KaylinDalton Awesome, can't wait! Whoop Whoop!
Fri Aug 14 14:29:47 PDT 2015 --  Excited to be working with @MichaelYo from #Theinsider putting a Würkin Stiff swag bag together as we speak! Keep them collars Stiff!!
