Thu Aug 27 20:15:14 PDT 2015 --  🏻
Thu Aug 27 20:11:24 PDT 2015 --  O fato do Bayern ter caído no grupo do Arsenal não é tão ruim,já que é menos 1 pra nos eliminar nas oitavas
Wed Aug 26 22:31:48 PDT 2015 --  Vou dormi enquanto tô recebendo notícias boas
Wed Aug 26 22:29:46 PDT 2015 --  Arctic Monkeys, Arsenal, @andlinhares05
Wed Aug 26 22:25:58 PDT 2015 --  Aliás a letra A e a primeira letra de todas as nomenclaturas das coisas que eu gosto
Wed Aug 26 22:24:12 PDT 2015 --  Do Arsenal
Wed Aug 26 22:23:48 PDT 2015 --  Desde 2005 eu não perco uma notícia
Wed Aug 26 22:23:11 PDT 2015 --  Caralho,falando em Arsenal e difícil de entender esse meu amor por esse time
Wed Aug 26 22:19:29 PDT 2015 --  That's Where You're Wrong Tá no top 10 das minhas músicas evers
Wed Aug 26 20:30:24 PDT 2015 --  Chicharito é meu ídolo
Wed Aug 26 20:24:24 PDT 2015 --  O Atlético Mineiro foi eliminado pelo figueira, pros atleticanos e bom lembrar que existem altos e baixos essa eliminação não diminui o time
Wed Aug 26 20:22:30 PDT 2015 --  Corinthians fez um Hat-Trick de eliminações em casa
Wed Aug 26 20:22:44 PDT 2015 --  O São Paulo reverteu o placar no castelão, acho que foi válido
Wed Aug 26 20:20:50 PDT 2015 --  O Santos ter eliminado o Corinthians foi algo já esperado não há muito oq dizer,só que o Lucas Lima é bom jogador
Wed Aug 26 20:19:57 PDT 2015 --  O que dizer do Vasco ter eliminado o flamengo? Difícil dizer
Wed Aug 26 20:18:17 PDT 2015 --  Triste ver o Paysandu eliminado, mas pra um time que só jogou pelas alas fica claro que a esperança é o Yago Pikachu
Wed Aug 26 20:12:46 PDT 2015 --  Calma Sheik todo mundo passa por esse drama em casa https://twitter.com/PedroMiranda14/status/636722163656081408 …
Tue Aug 25 20:45:03 PDT 2015 --  Ser feliz não significa que tudo está perfeito. Isso significa que você decidiu olhar para além dos problemas.
Mon Aug 24 20:34:42 PDT 2015 --  Tenho muito tempo livre, o que acarreta em pouca produtividade na minha vida, isso é um problema
Mon Aug 24 15:41:07 PDT 2015 --  What an incredibly intense match... Good second half - unfortunately without a winning goal... #AFCvLFC #Arsenal #BPL pic.twitter.com/QghQk8mPRr
Sun Aug 23 21:05:55 PDT 2015 --  Vou fazer palhaçada no twitter com o Alex pra ver se a bad melhora
Sun Aug 23 21:00:01 PDT 2015 --  Tô apaixonado por 3, como proceder? @alequici
Sun Aug 23 20:43:20 PDT 2015 --  Caralho fui baixar música e o caralho da franquia acabou na hora que eu abri o 4shared,mais que porra! Hahahahha
Sun Aug 23 20:39:59 PDT 2015 --  O FIFA que eu baixei pra jogar nem pega modo carreira Tá tudo dando errado nesse caralho hahahahahaha
Sun Aug 23 20:29:32 PDT 2015 --  Acho que a sorte tomou red bull e voou pra longe de mim hahahaha
Sun Aug 23 20:20:57 PDT 2015 --  Eu só me fodo com garotas hahahaha
Fri Aug 21 21:53:43 PDT 2015 --  As pessoas só crescem na derrota
Fri Aug 21 21:47:40 PDT 2015 --  Eu nunca bebi, mas já pensei em fumar, desistir quando vi um pulmão estragado pelo fumo num vídeo
Fri Aug 21 21:44:28 PDT 2015 --  Queria ir lá no tasca de novo um bom café
Fri Aug 21 21:41:06 PDT 2015 --  O Adam Baldwin e um incrível ator, pelo menos nessa série do Chuck onde atuou como John Casey, desconheço seus outros trabalhos
Fri Aug 21 21:36:06 PDT 2015 --  E a irmã do Chuck é lindíssima, intérprete Sarah Lancaster
Fri Aug 21 21:34:32 PDT 2015 --  Chuck e Supernatural são as únicas séries que assistir completamente
Fri Aug 21 21:31:04 PDT 2015 --  Mais um sábado qualquer sem qualquer coisa planejada
Fri Aug 21 20:24:37 PDT 2015 --  Se tiver um Android com Snapdragon acima de 600,e uma GPU quad core da pra rodar a maioria dos jogos
Fri Aug 21 20:20:40 PDT 2015 --  Esse emulador de PSP pra Android e muito bom
Fri Aug 21 20:18:10 PDT 2015 --  Saudades de Van Persie e Thierry Henry no Arsenal
Fri Aug 21 20:11:02 PDT 2015 --  Esse time do São Paulo é moleque
Wed Aug 19 22:43:26 PDT 2015 --  Flamengo deu a forra pro vasco
Wed Aug 19 15:52:05 PDT 2015 --  Torneio de FIFA no xbox aqui na praça matriz
Tue Aug 18 09:40:46 PDT 2015 --  @Leonardo4Martin tinha esquecido que ela tava ai hauahaha
Mon Aug 17 20:15:05 PDT 2015 --  Todo mundo fala em deixar um planeta melhor para nossos filhos. Vamos tentar deixar filhos melhores para nosso planeta.
Mon Aug 17 21:01:59 PDT 2015 --  Como é que eu vou fazer pra ver os jogos de amanhã?
Mon Aug 17 18:36:09 PDT 2015 --  E esse jogo do remo gravado com câmera de celular?
Mon Aug 17 08:07:06 PDT 2015 --  The #ArsenalWeekly podcast is here. Episode No 1 features @m8arteta and @johncrossmirror: http://arsn.al/VWJk3s  pic.twitter.com/avMvr28trd
Mon Aug 17 04:24:29 PDT 2015 --  EURO champion. World champion. @equipedefrance icon. Retweet to say happy birthday to @ThierryHenry! pic.twitter.com/BsDvwPXVES
Mon Aug 17 04:22:45 PDT 2015 --  710 partidas 344 gols 38 anos hoje Parabéns, mito! #respect pic.twitter.com/blE1vUipOH
Mon Aug 17 04:21:39 PDT 2015 --  Filas arrrrrrrgh
Mon Aug 17 03:29:16 PDT 2015 --  Hoje é aniversário dessa lenda aí, ídolo do Arsenal e respeitado por todos! Parabéns, Thierry Henry! pic.twitter.com/3C3KWqt78O
Sun Aug 16 21:55:58 PDT 2015 --  Esse show do Skank tá pedindo pra eu ir
Sun Aug 16 21:48:01 PDT 2015 --  Pq esses putos não fizeram um vídeo clipe dessa música?
Sun Aug 16 21:44:06 PDT 2015 --  Mad Sounds
Sun Aug 16 21:30:55 PDT 2015 --  Uma hora as coisas tem que dar certo nessa porra!
Sun Aug 16 21:30:24 PDT 2015 --  Aceite as derrotas e os momentos difíceis,sempre usei isso como combustível pra fazer melhor no outro dia
Sun Aug 16 21:23:19 PDT 2015 --  Não me permito ficar triste,até quando a fossa tá funda e importante acreditar e seguir em frente sempre nada é pra sempre
Sun Aug 16 21:14:49 PDT 2015 --  A unidade de medida de força física se chama Newton Já a unidade de força mental se chama positivismo
Sun Aug 16 20:58:32 PDT 2015 --  Sei que nunca mais vou
Sun Aug 16 20:57:33 PDT 2015 --  Fui no carnaval esse ano só pra saber como era,muita gente,gente suada, e ainda era o de Marituba onde era tudo na lama por conta da chuva
Sun Aug 16 20:45:29 PDT 2015 --  Hoje foi assim! https://twitter.com/VoceNaoSabiaQ/status/633122343628337152 …
Sun Aug 16 20:15:22 PDT 2015 --  She said, "I'm really not supposed to, but, yes You can call me anything you want"
Sun Aug 16 20:12:25 PDT 2015 --  Cornestone=Corneto com danone pic.twitter.com/KlrRtrBYGi
Sun Aug 16 17:18:23 PDT 2015 --  Explicação pra minha enorme cabeça https://twitter.com/VoceNaoSabiaQ/status/633069503031545857 …
Sun Aug 16 15:35:17 PDT 2015 --  Hahahaha e pensam que esposas não caem do céu hahahaha https://twitter.com/VoceNaoSabiaQ/status/632975241057189888 …
Sun Aug 16 07:19:38 PDT 2015 --  Alexis Sánchez is simply magical. A guy dedicated to his club who just loves to play football, it's a joy to watch. pic.twitter.com/fO6g99kOgA
Sun Aug 16 07:15:24 PDT 2015 --  ACABAJYIZAO
Sat Aug 15 10:27:07 PDT 2015 --  Hoje tem papão stark contra o oeste. Pra cima papão
Fri Aug 14 22:36:33 PDT 2015 --  -Gata quer ver eu lhe dar um beijo? -Não -Então fecha o olho
Fri Aug 14 21:16:36 PDT 2015 --  Costumam a se foder mais rápido também! https://twitter.com/VoceNaoSabiaQ/status/632405132240510978 …
