Sat Aug 29 07:46:16 PDT 2015 --  #AboutMe #GoodMorning pic.twitter.com/2Xxndmv6uZ
Fri Aug 28 10:31:10 PDT 2015 --  What Fuckery is this? SMH these hasghtags r getting out of hand #PipiMagic #MainChickContract ay m done pic.twitter.com/U2bqgmHRpu
Thu Aug 27 10:44:25 PDT 2015 --  Im weak who didi this? #ass #assfordays pic.twitter.com/pfisCsGsqJ
Thu Aug 27 01:56:47 PDT 2015 --  People don't want you until someone else has you.
Wed Aug 26 11:39:52 PDT 2015 --  #Summer came for a week,packed her luggage and moved to another country #americanWeather #FourSeasonsInOneDay not ready for the snow
Wed Aug 26 09:38:16 PDT 2015 --  About #newyork whoeva did this will never go to #heaven #bronx pic.twitter.com/ZEU4PWSm0x
Mon Mar 09 19:46:12 PDT 2015 --  "Age 4: "I love Mom" Age 16: "I HATE HER." Age 20: "Mom was right" Age 57: "I wish my Mom was still here." Retweet if you love your Mom."
Wed Aug 26 05:51:05 PDT 2015 --  What is going on in SA this is only good for us sending money. I wonder how much is it for a loaf of bread pic.twitter.com/HaBfSO9kUN
Tue Aug 25 10:55:31 PDT 2015 --  Meanwhile on facebook ay iChill aybonwa pic.twitter.com/4sMob734Mx
Mon Aug 24 10:51:22 PDT 2015 --  #LasVegas and #MIAMI are next on the agenda because bae asked where i wanna go first. #PrivateVaccation with my number 1, wats my name
Mon Aug 24 07:27:31 PDT 2015 --  Exchange rate US$/Rands 1dollar=R12 lemme go to #moneygram n send some dollars to my fam
Sat Aug 22 04:43:08 PDT 2015 --  With >>>Ohio akuhlalwa laykhaya always on the road
Fri Aug 21 20:53:21 PDT 2015 --  #bootylicious #ass #number2 my teamate,keep them wondering how you fit all-o-dat in them jeans #5 too is yum, pic.twitter.com/y10N9lHfAi
Fri Aug 21 13:02:05 PDT 2015 --  Its only 4pm can it b 7pm already i wanna go home. Do the dla dla dla dla dla n wip wip wip wip wip coz i hv spillion
Thu Aug 20 04:00:09 PDT 2015 --  So close to that new phone smell… #TheNextBigThing http://shout.lt/9Fbf  pic.twitter.com/D2KNSdEILU
Thu Aug 20 14:21:04 PDT 2015 --  Sooo excited about the #GalaxyNote5 getting one for myself snd my lil sis #TheNextBigThing #thenextbigthingishere
Thu Aug 20 07:24:44 PDT 2015 --  #tbt March 2013 in #newyork @RealBlackCoffee i see your arm @DJFreshSA this night was the pic.twitter.com/KjzjXEu3yF
Thu Aug 20 07:21:04 PDT 2015 --  NASA should consider taking donald trump to the moon or mars so he can hv his own laws there. Dont forget to take julius malema. Gerara here
Wed Aug 19 09:05:28 PDT 2015 --  Selfie with Uncle Bae...Fistaz Mixwell somewhere in #chicago... #lipenvy pic.twitter.com/RzPWzxNEaP
Wed Aug 19 07:06:33 PDT 2015 --  I died pic.twitter.com/uNVOpxOX7L
Tue Aug 18 08:34:13 PDT 2015 --  The best part abt the US is the unlimited calls and texts. Aint nobody got time to hustle for airtime. #fona wayaya #mahhala
Mon Aug 17 08:58:04 PDT 2015 --  Summer is slowly going away
Sun Aug 16 09:00:19 PDT 2015 --  The best smell in the world is that man that you love as I rest my head on his chest.
Sun Aug 16 01:18:40 PDT 2015 --  I died pic.twitter.com/5WkwPgkPDO
Thu Aug 13 10:06:54 PDT 2015 --  Smh.so they say Bonang just texted Euphonic 2 tell him dat she forget her hairbrush at his place some tym last yearSA ppl tho,stil luv
Thu Aug 13 06:11:40 PDT 2015 --  shine sferb shine... shine bright like a diamond pic.twitter.com/g18PonL7E9
Thu Aug 13 04:45:22 PDT 2015 --  When bae is off for 2 weeks
Wed Aug 12 10:54:25 PDT 2015 --  Karma! Karma! Karma! #karmaWinsAgain pic.twitter.com/KDZKIK6l6g
Wed Aug 12 06:48:06 PDT 2015 --  Im 26 and I refuse to date someone younger than 35...wat r we supposed to talk about? Soccer and amagusheshe??? no thanks
Tue Aug 11 11:37:15 PDT 2015 --  Hollup ni99a...theres noway you look like my crush @JussieSmollett pic.twitter.com/r612lIH0cG
Tue Aug 11 07:48:01 PDT 2015 --  Here's to another ratchet yet AWESOME song #myCurrentJam @BennyMaverick ft @paras #vosho dankie pic.twitter.com/YnVI0p0rwv
Sat Aug 08 14:12:20 PDT 2015 --  #Indianapolis >>> #Chicago #ChiTown with my person
Sat Aug 08 13:41:21 PDT 2015 --  I will just leave this here.... but sum ppl can b very mean yoh pic.twitter.com/ow02ajnEak
Fri Aug 07 11:09:17 PDT 2015 --  Sexy underwear is important!
Fri Aug 07 08:22:16 PDT 2015 --  Hotels in #chicago r always fully booked how am I gonna drive back to #indiana straight after these 2 parties going on
Fri Aug 07 06:49:44 PDT 2015 --  Give the guy a bells he killed me
Thu Aug 06 21:20:58 PDT 2015 --  Whos boyfriend is this?Guurl cum get ur manthanks to youtube i get to watch the new season #southAfricanIdols pic.twitter.com/Tb0p2KsK87
Thu Aug 06 07:36:21 PDT 2015 --  And its only 10:35am uyoshaya nini nje u7pm super tired
