Fri Aug 28 20:24:18 PDT 2015 --  There's NO 'I' in TEAM. #texasrangers #mlb #begreat http://fb.me/2qiCdUYjK 
Wed Aug 26 14:49:39 PDT 2015 --  Summer is almost over. Do you need to make any last minute travel arrangements. If so, Please check out my new... http://fb.me/7mJQ3lBYW 
Wed Aug 26 10:10:21 PDT 2015 --  Happy BDay Jiovanni Mier One Of The Best Defensive Short Stops I Have Ever Had The Privilege Of Managing Enjoy Your Day Kid!!!!
Wed Aug 26 08:30:13 PDT 2015 --  #HappyBirthday, @ElvisandrusSS1! pic.twitter.com/q0YgVjITQi
Mon Aug 24 20:40:48 PDT 2015 --  I second that D lol https://twitter.com/DDDeshields/status/636019869926854656 …
Mon Aug 24 10:47:40 PDT 2015 --  Josh Bonifay won a Manager of the Year award for the 2nd time in 3 seasons (2013 Appalachian League Manager of the Year with @GVilleAstros)
Mon Aug 24 10:55:49 PDT 2015 --  Congrats @JCB28 on MWL mannager of the year. You deserve it.
Fri Aug 21 10:39:06 PDT 2015 --  Just RT https://vine.co/v/eHm1nOEtjeu 
Fri Aug 21 07:50:14 PDT 2015 --  Good morning! Let someone know you love them.
Mon Aug 17 12:28:45 PDT 2015 --  @MLB So proud of our client @LinoDeShields He's FAST! Must be the @adidasBaseball cleats.LOL #Team3Stripes https://twitter.com/mlb/status/633310612768993281 …
Sun Aug 16 08:30:07 PDT 2015 --  #HappyBirthday, Flash... uh, we mean @LinoDeShields! pic.twitter.com/KwmgstqYHE
Sun Aug 16 06:52:15 PDT 2015 --  Blessed to see 23. Happy birthday to me!
Fri Aug 14 20:09:28 PDT 2015 --  You earned it, @LinoDeShields! pic.twitter.com/fcAQE2JOIm
Thu Aug 13 05:18:10 PDT 2015 --  Thank you God for waking me up this morning! I feel blessed and grateful everyday. Today is going to be a good day. #godisgreat
Tue Aug 11 17:30:16 PDT 2015 --  MOOD: pic.twitter.com/X5Rc6yJxwQ
Wed Aug 12 08:35:24 PDT 2015 --  I'll never be a morning person
Tue Aug 11 21:36:55 PDT 2015 --  He ( @DatDudeAP21) is the best CF in all of baseball. From the Big Leagues down to T-Ball. Here's more proof. https://twitter.com/fresnogrizzlies/status/631311554512859136 …
Mon Aug 10 12:58:22 PDT 2015 --  About to see what the Mall of America is about. #minnesota
Sun Aug 09 10:37:43 PDT 2015 --  #squadgoals https://twitter.com/MLB/status/630428424272633856 …
Sun Aug 09 01:13:58 PDT 2015 --  Our conversations>> #untilthen
Thu Jul 30 20:59:45 PDT 2015 --  Breh... I SEEN A POST ON IG, THAT SAID MEEK GONNA NEED A FEATURE FROM DRAKE TO BEAT DRAKE.
Wed Aug 05 06:30:22 PDT 2015 --  Me going to school on the first day https://vine.co/v/O2bqlMVvp0u 
Wed Aug 05 03:21:14 PDT 2015 --  This just put the biggest smile on my face pic.twitter.com/EP3oXj2t1z
Sun Aug 02 05:34:35 PDT 2015 --  Morning motivation pic.twitter.com/UtK1MU0M0m
Sun Aug 02 08:28:52 PDT 2015 --  Lol at that guy. #yoke
Fri Jul 31 09:27:41 PDT 2015 --  #grindtime
Thu Jul 30 12:45:57 PDT 2015 --  Shout Out to 'POPS' for Being Recognized as the Greatest Athlete of All Time to come out of the state of... http://fb.me/7oFWDJ9yq 
Wed Jul 29 12:43:30 PDT 2015 --  I'm extremely grateful to be able to do something I love every day.
Wed Jul 29 10:49:47 PDT 2015 --  Great showing at @Whataburger this morning. Thanks everyone for coming out and showing their support #NeverEverQuit
Thu Jul 23 15:38:12 PDT 2015 --  The weather out here in LA>>>>>
Wed Jul 22 17:18:43 PDT 2015 --  Whats the greatest Disney movie of all time?
Wed Jul 22 17:18:05 PDT 2015 --  Do you wanna build a snowman? #Frozen #childatheart
Fri Jul 17 07:01:30 PDT 2015 --  current mood: pic.twitter.com/BwcXKAaUOK
Wed Jul 22 17:07:19 PDT 2015 --  It's been real Denver. Off to Anaheim. Great seeing my boy @MGarcia_76 yall broncos fans watch out. #five #rangers #Broncos
Tue Jul 21 21:32:45 PDT 2015 --  It always adds up. #NeverEverQuit
Thu Jul 16 10:03:31 PDT 2015 --  these Lunchables commercials LIT AF tho pic.twitter.com/ILzb7x79Gt
Mon Jul 20 23:23:08 PDT 2015 --  @LinoDeShields Bop.. Will you plz RT this awesome story ? @SavingJustinCom http://youtu.be/MgGskUP4NLs 
Sun Jul 19 15:30:53 PDT 2015 --  About to head to Denver. Get to see my boy @MGarcia_76 . #five HOU--->DEN
Sun Jul 19 09:53:19 PDT 2015 --  Its almost that time! #leo http://fb.me/5bM06y9ER 
Sat Jul 18 15:06:23 PDT 2015 --  Retweet this tweet for a chance to win my Fresno Grizzlies game used cleats! I'll pick a winner in 24 hours! pic.twitter.com/qkIR2nO0Yx
Fri Jul 17 16:32:34 PDT 2015 --  Let the fun begin! #secondhalf #lonestarseries
Fri Jul 17 10:47:06 PDT 2015 --  So much love out here in Denver ! #Blessed
Fri Jul 03 07:28:04 PDT 2015 --  Thrown under the bus. pic.twitter.com/vPUwTUBedD
Thu Jul 16 13:34:59 PDT 2015 --  In houston. Almost that time. #secondhalf #makeorbreak
Mon Jul 13 19:19:12 PDT 2015 --  One day I'm gonna come to this game to watch you play in it https://twitter.com/linodeshields/status/620772594157924352 …
Mon Jul 13 18:51:34 PDT 2015 --  So I'm sitting on my couch watching the #HomeRunDerby and guess who I see standing next to Eric Davis on the field @DelinoDeShields haha
Mon Jul 13 17:39:01 PDT 2015 --  @LinoDeShields If they had timed run around the bases, you would win! #wheels
Mon Jul 13 13:39:59 PDT 2015 --  Ya did it again lol https://twitter.com/DDDeshields/status/620603699442757632 …
Sun Jul 12 20:31:20 PDT 2015 --  S/out to @LouisvilleBats Pitching Coach Teddy Power! Days like today make it all worth it for us coaches 🏾 #nohitter
Sun Jul 12 16:49:39 PDT 2015 --  Ok I Said I Was Not Going To Do It But Here It Is @tonykemp Me & Bricks @futuresgame pic.twitter.com/4EoQfzu5d3
Sun Jul 12 08:46:45 PDT 2015 --  Snapchat is so entertaining strictly based off of people feelin themselves on their stories. Got anything better to do or nah?
Fri Jul 10 13:14:21 PDT 2015 --  The @Rangers need to see film of @LinoDeShields hitting the edge with a football in his hands. I've never felt slower a day in my life.
Fri Jul 10 13:03:34 PDT 2015 --  Beastin on @DenzelMcCoy #slop #NHS pic.twitter.com/rGUA2SlABZ
Fri Jul 10 08:53:39 PDT 2015 --  Social media is way too important to some people.
Sun Jun 21 17:03:10 PDT 2015 --  LMAOOOO THE END pic.twitter.com/g0g0pR1WGr
Thu Jul 09 10:39:23 PDT 2015 --  Happy birthday! @kaitlinkates I know it will be a special one. And Gimme a cookie... please lol
Wed Jul 08 11:14:43 PDT 2015 --  Filling up my truck is so relieving. #diesellife
Mon Jul 06 19:57:24 PDT 2015 --  Never satisfied.
Mon Jul 06 10:14:01 PDT 2015 --  When you get put in a radom group message <<<<<
Sat Jul 04 15:55:42 PDT 2015 --  Sock game on point, @LinoDeShields. #4thofJuly pic.twitter.com/obYQJrTK6Y
Sat Jul 04 12:31:04 PDT 2015 --  Happy Birthday America. @adidasBaseball @hulstheman5 pic.twitter.com/dTXCnqg4Of
Fri Jul 03 08:15:04 PDT 2015 --  Trust the Process.
Thu Jul 02 13:50:35 PDT 2015 --  Everything happens for a reason.
Thu Jul 02 13:40:12 PDT 2015 --  Congrats @TeamCJCorrea on your rookie of the month award. Well deserved keep grinding youngin.
Thu Jul 02 13:06:44 PDT 2015 --  What are we doing?
Tue Jun 30 16:15:01 PDT 2015 --  Retweet this tweet for a chance to win my Corpus Christi game used cleats! I'll pick a winner in 24 hours! pic.twitter.com/9ykfXU8BWO
Wed Jul 01 08:39:34 PDT 2015 --  Check my brother @mr_catlike_21 out. #MakingPlays #FIVE https://m.youtube.com/watch?v=zs2vcCuuhkM&feature=youtu.be&noapp=1 …
Tue Jun 30 11:12:07 PDT 2015 --  Just made my day @MeganACornell :-)
Thu Jun 25 11:11:50 PDT 2015 --  Trust. The. Process.
Mon Jun 29 13:28:37 PDT 2015 --  This time last year... Thinking about yall boys. Rest in paradise swon. #iandavis #lutz #KOA
Fri Jun 26 05:39:29 PDT 2015 --  Thank you Lord for blessing me with another day #Thankful #GodIsGreat
Sun Jun 21 17:45:07 PDT 2015 --  When u try to take a 20 minute nap and wake up 8 hours later Confused asf pic.twitter.com/RTAIwiWruF
Mon Jun 22 07:51:28 PDT 2015 --  Your Challenge is nothing more than aTEST in life. The CHALLENGE/TEST will determine if you PASS or FAIL. It's up... http://fb.me/25E6Om7vH 
Sun Jun 21 09:58:46 PDT 2015 --  Funny Faces with Pops! #happyfathersday #delinodeshieldssr #teamdeshields #begreat http://fb.me/8aQV1iqMb 
Sun Jun 21 07:51:59 PDT 2015 --  HAPPY FATHER'S DELINO DESHIELDS SR! #happyfathersdad #delinodeshieldssr
Fri Jun 19 09:44:22 PDT 2015 --  Trust the process.
Thu Jun 18 13:25:05 PDT 2015 --  On my zac brown band ish today.
Wed Jun 17 14:46:56 PDT 2015 --  Remember the titans still gives me chills. Great movie
Mon Jun 08 18:30:30 PDT 2015 --  Does anyone go to the movies by themselves?
Sun Jun 07 20:23:05 PDT 2015 --  God is G R E A T
Fri Jun 05 02:37:55 PDT 2015 --  #dangelo #proudbigbro @DeShieldsss <3
Thu May 28 13:57:39 PDT 2015 --  Beach Baseball with the Big Man. #tbt #throwback #mlb #delinodeshieldssr #linodeshields http://fb.me/22vHUeh2l 
Thu May 28 12:41:37 PDT 2015 --  3 generations. My last pic with these two. #TBT #THROWBACK #family #delinodeshiedlssr #linodeshields http://fb.me/46QXalwdu 
Thu May 28 10:24:06 PDT 2015 --  Family Day with the Chicago Cubs #throwback #tbt #chicagocubs #mlb http://fb.me/1DHqBRTIs 
Thu May 28 10:22:35 PDT 2015 --  Throwback Thursday. Me & Pops when he played for the Dodgers. #tbt #throwback #delinodeshieldssr #linodeshields #mlb http://fb.me/7fGayergp 
Fri May 22 06:51:44 PDT 2015 --  Watch #MLBCentral today at Noon EST on @MLBNetwork b/c yours truly will be a guest #GoRangers #Team3Stripes http://fb.me/1FzKwRxZh 
Fri May 22 06:48:03 PDT 2015 --  Today is a great day to be a Ranger #NeverQuit
Thu May 07 10:32:15 PDT 2015 --  Thanks Getty Images
Thu Apr 16 14:50:45 PDT 2015 --  The 3 Amigos. Throwback to Montreal. http://fb.me/7aNwZDa6Y 
Thu Apr 16 09:09:50 PDT 2015 --  Woodward Academy Graduation 2010 with Pops! #tbt #throwback #woodwardacademy #graduation http://fb.me/1jC8XNu9B 
Thu Apr 16 09:08:33 PDT 2015 --  ME and POPS in our formal tux. #tbt #throwback http://fb.me/3MOh4wjnD 
Wed Apr 15 06:43:11 PDT 2015 --  If God has given you a Dream or a Vision, then let no man stop you. #Dreambig #begreat http://fb.me/7y5zrMszT 
Sun Apr 05 07:20:42 PDT 2015 --  Happy Resurrection Day! http://fb.me/6loB0nFXW 
Wed Apr 01 14:24:53 PDT 2015 --  HELP PEOPLE + YOUR TALENT = PURPOSE http://fb.me/6wCaClxvz 
Sun Mar 29 12:36:43 PDT 2015 --  FOCUS! #texasrangers #mlb http://fb.me/3qpC4v93C 
Sat Mar 14 09:29:58 PDT 2015 --  Are you planning on coming to ARIZONA to catch a SPRING TRAINING game or perhaps, check out a game in Dallas this... http://fb.me/7cVJs8wHh 
Mon Mar 02 12:58:46 PST 2015 --  I'm a work in progress! http://fb.me/4pB8nzSmq 
Mon Mar 02 12:35:55 PST 2015 --  When the need to succeed is as bad as the need to breathe..... then you'll be successful. You can do it. Keep... http://fb.me/2PqDMY8oK 
