Tue Dec 16 22:26:00 PST 2014 --  Wondering who wants to help make this a very Merry Christmas, Melcho style?!
Wed Nov 19 17:56:09 PST 2014 --  Skream recommends: ‘Katy B - Little Red Light’ by Katy B on #SoundCloud - SOLID FOR "POP" music!!! https://soundcloud.com/katyb/littleredlight?in=jmelcho-gmail-com/sets/skream&utm_source=soundcloud&utm_campaign=share&utm_medium=twitter …
Sat Nov 08 18:00:01 PST 2014 --  Get ready to #expressyourself for @Diplo tonight @SurrenderVegas! pic.twitter.com/3PLRgfBQ3U
Tue Aug 05 13:01:20 PDT 2014 --  while only one day off sucks, it sure has been a good one so far!
Mon Jun 23 15:02:05 PDT 2014 --  Fucking a hate missing out on that... The Music and the girls of course
Mon Jun 23 09:17:50 PDT 2014 --  music so excellent i just happily paid 3 clams for it @bandcamp: http://ztrip.bandcamp.com/merch/sticker-pack …
Sat Jun 14 22:34:51 PDT 2014 --  So @diplo at #SAMF was nuts... It's going to get crazy at @themidchicago ! #ExpressYourself pic.twitter.com/WSa7u9WzsG
Sun Jun 01 13:10:47 PDT 2014 --  Couldn't agree more pic.twitter.com/gf9OGlEoAN
Tue Jun 17 11:23:36 PDT 2014 --  Approximately 3000 Americans will die of food poisoning this year but no American will die from using an #ecig. #ecigssavelives #vapethevote
Fri Feb 25 17:29:45 PST 2011 --  Tonights secrect guest is @neroUK Going to be a wild night. @djintel to 12:30 @ztrip to 2:30 @neroUK to close http://bit.ly/geXpMd
Sat Feb 26 08:39:58 PST 2011 --  @ztrip i got home about an hour ago and the world needs to know how unreal all of your material is! putting any online? usa needs this show!
