Fri Aug 28 01:02:19 PDT 2015 --  Great to catch up with my dad! #bestever https://instagram.com/p/662wczo3_u/ 
Fri Aug 28 00:44:10 PDT 2015 --  Happy ONAM !!! pic.twitter.com/2QnMXS7Ft0
Fri Aug 28 00:47:16 PDT 2015 --  #happyonam to all my friends. Pray God to bless our life with colorful N pleasant memories!!
Thu Aug 27 19:37:18 PDT 2015 --  Wish u all a HAPPY ONAM luvlies #festival #Kerala #celebration have fun enjoy much love pic.twitter.com/AyxFdl9w1d
Thu Aug 27 20:06:56 PDT 2015 --  Happy Onam to you and your family! pic.twitter.com/YjtFDXtL2o
Fri Aug 28 00:40:14 PDT 2015 --  Life becomes a festival when gaiety and culture blend. Onam delivers the message of both. Happy Onam friends!! pic.twitter.com/qmJN5zkjg2
Thu Aug 27 23:30:05 PDT 2015 --  Onam vaazhthukal nanbargaley!!!
Thu Aug 27 23:21:54 PDT 2015 --  Happy Onam to all.. pic.twitter.com/EIPeTLnck1
Mon Aug 24 06:34:46 PDT 2015 --  Since God wanted 2 watch a left-hander bat he created @BrianLara. God later created @KumarSanga2 to watch a sequel. Tks 4 d memories Sanga
Mon Aug 24 06:34:50 PDT 2015 --  Well done @KumarSanga2 on a grt career.. Was fortunate to play with u...all the best for 2nd inn...
Mon Aug 24 06:44:31 PDT 2015 --  Congratulations @KumarSanga2 on a glorious cricket career !! Wish u & ur family very best for all ur future endeavours....
Mon Aug 24 07:00:10 PDT 2015 --  @KumarSanga2 I know u know it will rise again tomorrow #dawnofanewera #seeyasanga thanks 4 your contributions #legend pic.twitter.com/8hT4kq9vPj
Mon Aug 24 07:10:12 PDT 2015 --  In the emptiness of essential nature there is no one who could attain, nothing through which one would attain, and not anything to attain.
Mon Aug 24 07:11:43 PDT 2015 --  Congratulations @KumarSanga2 for a glorious career ! Had some awesome wins and a great time together in the ipl cricket will miss u godbles
Mon Aug 24 01:03:52 PDT 2015 --  Well done India, A over sea victory after 399 days. Good Team work, bad to tweet #SangaSignsOff. #CricbuzzCup is well balanced,
Mon Aug 24 00:51:13 PDT 2015 --  You have to admit India have dominated this series. Sri Lanka made their sessions count in the 1st test but have been outplayed here
Mon Aug 24 00:15:06 PDT 2015 --  Congratulations to the Indian cricket team on a dominating performance..takes great character to bounce back #INDvSL
Sun Aug 23 11:04:36 PDT 2015 --  Congratulations @KumarSanga2 on a great career. Best wishes to you and your family! #legend
Sun Aug 23 08:28:36 PDT 2015 --  Expect the BEST. Prepare for the WORST. Forget what others THINK.
Sun Aug 23 06:26:04 PDT 2015 --  2nd Test: India put Sri Lanka on the mat with 412-run lead http://www.ibnlive.com/cricketnext/news/2nd-test-india-put-sri-lanka-on-the-mat-with-412run-lead-549576-78.html … I reports @jaspreet_sahni #INDvsSL pic.twitter.com/UzFi1ra61N
Sat Aug 22 23:13:46 PDT 2015 --  Expectations r disastrous n spells disappointment..love n give without expecting..live life 2 the fullest n find joy in abundance..good day
Wed Aug 19 11:49:26 PDT 2015 --  Crying releases extra stress hormones, which is why you feel better after doing so.
Tue Aug 18 22:01:31 PDT 2015 --  Hard times reveals true friends.
Tue Aug 18 22:29:01 PDT 2015 --  Don't be the person that forgets all their friends when they get into a new relationship.
Tue Aug 18 22:34:14 PDT 2015 --  This is how seasons work pic.twitter.com/1wbJPBdGtz
Mon Aug 17 23:42:33 PDT 2015 --  Forgiving someone is easy, it's trusting them again that's hard.
Mon Aug 17 22:35:27 PDT 2015 --  Let your faith be bigger than your fears.
Tue Aug 18 22:50:37 PDT 2015 --  A good relationship is worth the wait.
Tue Aug 18 23:30:13 PDT 2015 --  Well said!! Be a Voice and not a Echooooooo, https://twitter.com/newsflicks/status/633881408201715712 …
Tue Aug 18 23:18:09 PDT 2015 --  Can't deal with #negative people? 8 effective strategies can help you outsmart them http://www.ibnlive.com/news/lifestyle/having-a-tough-time-dealing-with-negative-people-these-8-effective-strategies-can-help-your-outsmart-them-1047485.html … pic.twitter.com/Ct0vnZokBA
Tue Aug 18 23:24:29 PDT 2015 --  India’s car market has the potential to grow to more than 6 mn units annually by 2020. Come, #MakeInIndia! pic.twitter.com/l0B5CcmM0G
Tue Aug 18 20:30:04 PDT 2015 --  Come forward and guide uneducated citizens to make them a part of Digital enabled nation. #TeachToTransformDay6 pic.twitter.com/UVY6ssWBZO
Tue Aug 18 22:20:59 PDT 2015 --  18 Animals That Are Likely To Become Extinct Before You Die http://bit.ly/1K5akiz  pic.twitter.com/4Ntl4EiAHc
Tue Aug 18 11:43:57 PDT 2015 --  Starting today you can tweet your Gmail questions using #gHelp to get help from Google Top Contributors - our community of ninja users.
Mon Aug 17 05:12:02 PDT 2015 --  Sad to leave my teammates in the middle of the series, but still did my best even with a broken hand. Will bounce back stronger! Rab Rakha
Mon Aug 17 22:47:28 PDT 2015 --  #40YearsOfSuperstarRajinikanth:Films in which @superstarrajini nailed it with his performance http://indiatoday.intoday.in/story/40yearsofsuperstarrajinikanth-films-in-which-rajini-was-a-performer-more-than-a-superstar/1/459270.html … pic.twitter.com/NlLJoXvldD
Sun Aug 16 06:32:31 PDT 2015 --  Here it is..Super Power Packed #Thanioruvan Trailer Nayanthara @actor_jayamravi https://m.youtube.com/watch?feature=youtu.be&v=r5Lih8rKd6k …
Sun Aug 16 12:02:41 PDT 2015 --  Today is another chance to get it right.
