Wed Aug 26 22:45:47 PDT 2015 --  علامات الخفض pic.twitter.com/kjGY8V0OMg
Tue Aug 25 19:59:56 PDT 2015 --  علامات النصب pic.twitter.com/YmcDFgW8NN
Sun Aug 23 02:08:27 PDT 2015 --  وفي المثنى نحو زيدان الألف والنون في المضارع الذي عرف بيفعلان تفعلان أنتما وتفعلون يفعلون معهما وتفعلين ترحمين حالي واشتهرت بالخمسةالأفعا
Sat Aug 22 06:58:05 PDT 2015 --  جرى كلا مضافا مفردا مكبرا
Sat Aug 22 06:57:48 PDT 2015 --  والواو في جمع الذكور السالم كالصالحون هم أولي المكارم كما أتت في الخمسة الاسما وهي التي تكون على الولاء أب أخ حم وفوك ذو جرى
Wed Aug 19 20:17:24 PDT 2015 --  للرفع منها اربع وهي ضمة واو ألف كذا نون ثابت لا منحذف فالضم في اسم مفرد كأحمد وجمع تكسير كجاء الأعبد وجمع تأنيث كمسلمات وكل فعل معرب كيأتي
Wed Aug 19 01:37:37 PDT 2015 --  إعرابهم تغيير آخر الكلم تقديرا أو لفظا لعامل علم أقسامه أربعة فلتعتبر رفع ونصب وكذا جزم وجر للرفع منها أربع وهي ضمة واو ألف كذا نون ثابت
Wed Aug 19 01:31:38 PDT 2015 --  كلامهم لفظ مفيد مسند والكلمة اللفظ المفيد المفرد لاسم وفعل ثم حرف تنقسم وهذه ثلاثة هي الكلم والقول لفظ قد أفاد مطلقا كقم وقد وإن زيدا ارتقى
Mon Aug 17 20:36:45 PDT 2015 --  حتى الذين لا يحبونك ابتسم في وجوههم.. ستكسب واحدة من الاثنتين: - إما أن ابتسامتك ستصنع درعا ضد سهام كراهيتهم لك.. - أو أنك ستغيظهم أكثر!
Mon Aug 17 20:41:18 PDT 2015 --  والنون والياء في افعلن وافعلي والحرف ما لم تكن له علامة ألا انتفا قبوله العلامة
Mon Aug 17 20:40:06 PDT 2015 --  فالاسم بالتنوين والخفض عرف أو حرف خفض أو بلام وألف والفعل معروف بقد والسين وتا تأنيث مع التسكين وتا فعلت مطلقا كجئت لي
Mon Aug 17 01:39:12 PDT 2015 --  "ربما كان بطء القدر في استجابة الدعاء وتحقيق الرجاء، رحمة بالمبتلي تدفع عنه مزيد البلاء او كرامة تدخر له في يوم الجزاء." #مصطفى_السباعي
Mon Aug 17 01:39:42 PDT 2015 --  كلامهم لفظ مفيد مسند والكلمة اللفظ المفيد المفرد لاسم وفعل وحرف تنقسم وهذه ثلاث هي الكلم
Thu Jun 18 12:59:18 PDT 2015 --  ﴿وكفى بالله وكيلًا﴾ إيمانُك العميق بأنّ الله نِعم الوكيل، و تسليم زِمام أمورك له يبث في الصدر راحةً وطمأنينةً و سعة خاطر وانشراح.
Mon Mar 30 06:30:22 PDT 2015 --  --- --- تم الإرسال بواسطة واتساب pic.twitter.com/evPMCegovF
