Fri Aug 28 16:56:42 PDT 2015 --  #generacionvhs comunidad seriéfila, una pregunta muy seriia, que les gusta más? el pichi o la caca?
Fri Aug 28 16:39:52 PDT 2015 --  #generacion dumb and dumber, la nueva peli ? cumple las espectativas? o mejor no verla?? saludos
Fri Aug 28 16:37:20 PDT 2015 --  #generacionVHS cabros del estudio DC comics o Marvel? y por qué?
Fri Aug 28 16:23:43 PDT 2015 --  #generacionVHS Qué opinan de la nueva de la nueva peli de asssassins creed con Michael Fassbender? será buena o un nuevo fracaso?
Wed Aug 26 16:59:48 PDT 2015 --  Qué onda para la gente de regiones ?? #GeneracionVHS
Wed Aug 26 16:09:30 PDT 2015 --  #SummersLastStandTour http://lamb-of-god.com  Video: Strati Hovartos pic.twitter.com/ghxMFEE2Vz
Wed Aug 26 14:55:36 PDT 2015 --  Llegó la esposa del Profesor Zárraga?? hahaha #PongamonosSerios
Wed Aug 26 14:12:15 PDT 2015 --  Esperemos que Slimming dure más de lo que duró en tierra 2 #PongamonosSerios saludos!.
Tue Aug 25 15:16:58 PDT 2015 --  #PongamonosSerios Grande Dr. Zárraga !! hay que marginar a todos!, lo mejor es cuando la gente llama reclamandole al profesor hAHAHahAha XD
Mon Aug 24 17:05:34 PDT 2015 --  Buen episodio cabros #generacionvhs ! :) vean fear the walking dead desde ayer ya en torrent!
Fri Aug 21 21:10:34 PDT 2015 --  #AloStandUp donde puedo dejar mi grabacion? mi mensaje :/
Fri Aug 21 05:56:05 PDT 2015 --  #PushUpDeGala Yo vi el programa solo por como lo webeaban en twitter hahaha xD bueno y por un poco de morbo y masoquismo extremo igual :D
Mon Aug 17 01:23:24 PDT 2015 --  Barack Obama singing Get Lucky by Daft Punk pic.twitter.com/kcYVeOLu8K
Thu Aug 20 19:37:59 PDT 2015 --  #GalaHumorEstelar Llega el borrachito a su casa y.... pic.twitter.com/OGDMXNf7p3
Thu Aug 20 19:27:53 PDT 2015 --  jajajjajaja https://twitter.com/MemesChilensis/status/634550431126044672 …
Thu Aug 20 19:14:26 PDT 2015 --  #GalaHumorEstelar Hablan por ahí que se viene un chiste de una suegra y otro de un borachito, atentos con Álvaro Salas.
Thu Aug 20 19:06:59 PDT 2015 --  I will miss you #MrRobot. @whoismrrobot pic.twitter.com/zLFSk42CJC
Thu Aug 20 18:54:57 PDT 2015 --  #RafedEnLaTrampaMV cuando escucho a extrangeros, recuerdo lo dificil que es aprender el idioma español. https://www.youtube.com/watch?v=Xyp7xt-ygy0 …
Thu Aug 20 18:32:51 PDT 2015 --  Pero que capitulazo #MrRobot 1x09 !!!!! me estoy volviendo Loco! #Paranoia TOTAL! Mr roba foreva bitcha! pic.twitter.com/DkECgTbMrO
Wed Aug 19 20:37:44 PDT 2015 --  OMG next weeks episode so looks so good!! I'm freaking out #MrRobot
Wed Aug 19 16:52:50 PDT 2015 --  #GeneracionVHS Me gusto como contaron a historia de Mike en better call saul!, grande torrent!
Tue Aug 18 06:30:37 PDT 2015 --  #SiempreConMañaneros que machista los tweet que hablan sobre el tema de nigri, la gente se comportan como "monitos" cuando estan en conjunto
Sat Aug 15 18:00:11 PDT 2015 --  Puta que se comportan como unos verdaderos simios wn! que mal por #JessicaNigri.
Sat Aug 15 17:45:40 PDT 2015 --  Quedaron como calientes qlos a los ojos de #JessicaNigri en el #FestiGame2015 ¬¬ http://tinyurl.com/nuhygz8 
Sat Aug 15 13:24:20 PDT 2015 --  #SabadoDeGanarSeguidores you're goddamn right pic.twitter.com/qAyqWnLJAN
Sat Aug 15 12:16:41 PDT 2015 --  #SabadoDeGanarSeguidores sigo a todos.
Sat Aug 15 00:01:44 PDT 2015 --  Who's your daddy? #DarthVader #StarWars pic.twitter.com/czfhZagRAE
Sat Aug 15 12:08:13 PDT 2015 --  #CivilWar Spiderman !!!! Dónde??? Where are you???? !!!
Fri Aug 14 18:16:27 PDT 2015 --  WHO DID THIS pic.twitter.com/3TGC2k00Na
Sat Aug 15 06:52:02 PDT 2015 --  pic.twitter.com/LoG3jo8iuu
Sat Aug 15 06:27:34 PDT 2015 --  pic.twitter.com/vmXAtnznyQ
Fri Aug 14 17:45:26 PDT 2015 --  your president? pic.twitter.com/qw1aKBX9le
Fri Aug 14 17:44:37 PDT 2015 --  pic.twitter.com/iibuqYUXcH
Fri Aug 14 17:27:48 PDT 2015 --  #generacionVHS ya me considero un fan de su programa,gracias @NiuRadio
Fri Aug 14 17:08:10 PDT 2015 --  #GeneracionVHS un segmento para los mejores juegos de peleas! MK street fighter y KOF!!!
Fri Aug 14 16:57:07 PDT 2015 --  #GeneracionVHS Yo jugué todos los Dragon age, pero no hasta ahora no hay nada que supere al primero!, mi humilde opinión
Fri Aug 14 16:50:39 PDT 2015 --  #GeneracionVHS Lord of the fallen (juego 2014), se los recomendaría a los melaconlicos de Dark soul?. Según yo... pues si!
Fri Aug 14 16:36:17 PDT 2015 --  Cabros de #GeneracionVHS que les parecio el assassins creed desde unity? buena o un fracaso? @NiuRadio
Thu Aug 13 16:38:29 PDT 2015 --  @ojessicanigri Hi Jess...i took this photo today at Festigame pic.twitter.com/ByffTQJRpS
Fri Aug 14 15:08:02 PDT 2015 --  Stap! the music! I want to hear an interview with @OJessicaNigri u.u #FestiGame #FestiGameFanta @40ChileOficial
Fri Aug 14 14:34:04 PDT 2015 --  tal vez ubieran unido ambos programas #PongamonosSerios con una interview con jessica niggri <3 !!! I love herrrrr !
Fri Aug 14 10:26:42 PDT 2015 --  pic.twitter.com/KSTBbD2RBt
Thu Aug 13 17:33:51 PDT 2015 --  @Mancilla_mxr cheers for the follow dude, awesome Joker picture!
Fri Aug 07 11:47:00 PDT 2015 --  Los Simpsons y las verdades pic.twitter.com/00NFA45MTJ
Sun Aug 09 19:34:21 PDT 2015 --  dead bodies everywhere #TrueDetective
Sun Aug 09 19:21:43 PDT 2015 --  #TrueDetective NOOOOOOOOOOOOOOOOOOOOOOOOOOOO!!!!!!!! WHY!!!!!
Sat Aug 08 10:26:14 PDT 2015 --  I just found this pic of what Jake probably looked like as a pup. I want a million. pic.twitter.com/qNUktPkuoI
Fri Aug 07 01:23:35 PDT 2015 --  Superman is still awesome. - pic.twitter.com/5Gd2UYXRfu
Fri Jul 31 01:04:29 PDT 2015 --  Stop killing animals for sport. #CecilTheLion
Wed Jul 29 14:19:50 PDT 2015 --  Suban el volumen! https://twitter.com/Gonzalinho_/status/626501367344009216 …
