Fri Aug 28 16:16:47 PDT 2015 --  Bientôt septembre vous dites? Non doit y avoir une erreur on est le 1er juillet non ?
Fri Aug 28 15:48:47 PDT 2015 --  J'aime une vidéo @YouTube : "Une mere orientale veut massacrer son fils - C’Cauet sur NRJ" à l'adresse http://youtu.be/kK0bzrrYNBU?a .
Fri Aug 28 15:47:14 PDT 2015 --  Lol je me suis fait des pâte à 1h du mat oklm, pourquoi ? PARCE QUE J'AI FAIM
Fri Aug 28 12:26:03 PDT 2015 --  Quand quelqu'un pue de la gueule pic.twitter.com/5WucXgtwXm
Fri Aug 28 13:12:20 PDT 2015 --  J'aime une vidéo @YouTube de @xsqueezie - VOS AMIS FERONT UNE CRISE CARDIAQUE (Dead Realm) http://youtu.be/5ZGLYLGAdxU?a 
Fri Aug 28 11:41:29 PDT 2015 --  J'aime une vidéo @YouTube : "ELLE CHERCHE SQUEEZIE ! - Omegle" à l'adresse http://youtu.be/Z9_n8N_xjMo?a .
Fri Aug 28 11:11:56 PDT 2015 --  J'aime une vidéo @YouTube : "BLACK OPS 3 : NUK3TOWN ET NOUVEAU "SNIPER POWER-BOLT"" à l'adresse http://youtu.be/bzF9RtR7D6k?a .
Fri Aug 28 10:37:02 PDT 2015 --  Ça fait mal pic.twitter.com/BgP3pA4fyx
Fri Aug 28 10:25:18 PDT 2015 --  J'aime une vidéo @YouTube : "MAIS QU'EST-CE QU'ON A FAIT ?? - Until Dawn" à l'adresse http://youtu.be/FDpVEduyJ48?a .
Fri Aug 28 10:05:07 PDT 2015 --  J'aime une vidéo @YouTube : "Gaming Heroes 1x04 - Obama casse la barack" à l'adresse http://youtu.be/H7gj3cbI6Bo?a .
Fri Aug 28 09:06:37 PDT 2015 --  J'aime une vidéo @YouTube : "IL EST TOUT PROCHE DE NOUS - Until Dawn #2" à l'adresse http://youtu.be/DgGNw4O6c6A?a .
Fri Aug 28 08:59:45 PDT 2015 --  J'aime une vidéo @YouTube de @lqcvideos - Les marques nous mentent-elles ? VOL. 2 LQC #29 http://youtu.be/sSSGN4xl_9Y?a 
Thu Aug 27 19:22:43 PDT 2015 --  J'aime une vidéo @YouTube de @lemondedurasta - APERÇU BETA MULTIJOUEUR PC ► CALL OF DUTY BLACK OPS 3 http://youtu.be/aJHSOklY-og?a 
Thu Aug 27 19:16:36 PDT 2015 --  J'aime une vidéo @YouTube de @nestea690 - SKYWARS SUR HYPIXEL EN DUO ! http://youtu.be/j8R0od8ggX4?a 
Thu Aug 27 19:00:28 PDT 2015 --  J'aime une vidéo @YouTube de @oodemoniiak - 100 000 ! A VOUS DE JOUER ! (100K !) http://youtu.be/ziOD3Gh6UQU?a 
Thu Aug 27 18:55:46 PDT 2015 --  J'aime une vidéo @YouTube : "VLOG 2 : LE PARCOURS D'UN THUG !" à l'adresse http://youtu.be/b3E-4j-AAQc?a .
Thu Aug 27 11:46:09 PDT 2015 --  Il reste quoi dans votre congélateur ? pic.twitter.com/RjZ0eQdlsA
Thu Aug 27 12:48:45 PDT 2015 --  J'aime une vidéo @YouTube de @zrkglitcher - GLITCH | Argent illimité sur GTA 5 Online ! Après Tout les Patchs ! 1.26/1.28
Thu Aug 27 11:16:25 PDT 2015 --  Je suis en train de vous mettre le Glitch d'Argent illimité en ligne ! #RT si tu est impatient :)
Thu Aug 27 10:56:53 PDT 2015 --  J'aime une vidéo @YouTube de @spinastudio - POKEMON AVEC DES BOOBS ! (Pokemon Hentai Version) http://youtu.be/eWV8xAzGbGg?a 
Thu Aug 27 10:45:39 PDT 2015 --  J'aime une vidéo @YouTube : "Diffusion en direct de Le Bled'Art" à l'adresse http://youtu.be/gdpv5Pqh2n8?a .
Thu Aug 27 10:29:20 PDT 2015 --  J'aime une vidéo @YouTube : "L'EFFET PAPILLON - Until Dawn #1" à l'adresse http://youtu.be/huNtQa49iH0?a .
Thu Aug 27 10:07:53 PDT 2015 --  J'aime une vidéo @YouTube de @xsqueezie - IL OBSERVE AVANT D'AGIR :'( (Until Dawn #2) http://youtu.be/Sk8vhvM7B_Y?a 
Thu Aug 27 09:10:58 PDT 2015 --  J'aime une vidéo @YouTube de @_amixem - MEDLEY YOUTUBE AU PIANO ! http://youtu.be/kCDj3gNHp_s?a 
Thu Aug 27 08:32:03 PDT 2015 --  J'aime une vidéo @YouTube de @codjordan23 - Black Ops 3 : le gros "BETA" de la visée (Pc) http://youtu.be/0-T2CYM5ycE?a 
Thu Aug 27 07:11:50 PDT 2015 --  Vous me fatiguez trop du coup il m'arrive de craquer. pic.twitter.com/QWBKFTFwvU
Thu Aug 27 06:37:08 PDT 2015 --  #UneExpressionUneImage pic.twitter.com/yPFLl6BPK5
Thu Aug 27 06:40:41 PDT 2015 --  J'aime une vidéo @YouTube de @furiousjumper - PLUS D'INTELLIGENCE ! | The Escapists Saison 2 ! #Ep3 http://youtu.be/eBtZ-kTA6p4?a 
Thu Aug 27 06:40:14 PDT 2015 --  J'aime une vidéo @YouTube de @zrkglitcher - MODS | Présentation de la Bugatti Veyron sur GTA 5 PC ! (GTA 5 MOD)
Wed Aug 26 18:25:41 PDT 2015 --  Le chien le plus cher du monde, par @journaldunet : http://www.journaldunet.com/economie/magazine/chien-le-plus-cher.shtml … via @journaldunet
Wed Aug 26 18:23:13 PDT 2015 --  J'aime une vidéo @YouTube : "Le chien le plus intelligent du monde !" à l'adresse http://youtu.be/CRdqBzDqmtM?a .
Wed Aug 26 16:40:13 PDT 2015 --  Demain vidéo avec des boobs sur la chaine #RT si tu aimes les boobs #Fav si tu boobs les j'aime
Wed Aug 26 14:32:40 PDT 2015 --  Bon allez stop, j'arrête Internet pour aujourd'hui pic.twitter.com/EdBCJ5ytbG
Wed Aug 26 14:31:02 PDT 2015 --  #lovebot
Wed Aug 26 13:22:08 PDT 2015 --  J'aime une vidéo @YouTube de @sunriize - ON FLIPPE ! UN PEU... BEAUCOUP... - Survivers http://youtu.be/8CcPclwPdSQ?a 
Wed Aug 26 11:31:42 PDT 2015 --  J'ai ajouté une vidéo à une playlist @YouTube - DRAGON BALL XENOVERSE ( XBOX ONE ) MON AVATAR VS GOKU ET VEGETA
Wed Aug 26 11:31:42 PDT 2015 --  J'ai ajouté une vidéo à une playlist @YouTube - Rocket League JE LES DÉFONCER OKLM http://youtu.be/6HOPx2XGXcU?a 
Wed Aug 26 11:28:57 PDT 2015 --  Nouvelle vidéo https://youtu.be/h9dmsyRLvbM 
