Sat Nov 15 02:16:45 PST 2014 --  "Un abuelo es alguien con plata en su cabello y oro en su corazón."
Tue Jun 16 15:41:32 PDT 2015 --  Las mejores personas llegan sin buscarlas.
Tue May 26 13:54:20 PDT 2015 --  No quiero nada con nadie que no sea usted, así de sencillo.
Sun Aug 02 18:05:27 PDT 2015 --  “Nada más lindo que recibir un mensaje de esa persona de quien pensabas que se había olvidado de ti.”
Wed Jun 24 12:14:07 PDT 2015 --  Gente normal: Ustedes:
Wed Jul 29 11:19:05 PDT 2015 --  'Lo que no te mata te hace más fuerte'.
Fri Aug 28 11:37:48 PDT 2015 --  #FracasasEnLaVidaCuando No Tienes Internet
Wed May 13 19:53:27 PDT 2015 --  Seguir adelante no es la única opción, pero es la mejor decisión.
Sat Apr 19 22:51:02 PDT 2014 --  Se paciente, a veces hay que pasar por lo peor para conseguir lo mejor.
Fri Aug 14 17:21:13 PDT 2015 --  quien siempre hace todo mal?
Mon Aug 05 12:45:17 PDT 2013 --  El amor primero te hace feliz, luego infeliz, después feliz y luego infeliz... y así hasta que se acaba.
Thu Jul 30 04:04:06 PDT 2015 --  "Tortuga albina, hermoso ejemplar nacido blanco por una extraña anomalia genética." Más datos asi? SIGUENOS!!! pic.twitter.com/xD1u4O5O0N
Tue Jun 10 22:58:47 PDT 2014 --  Muchas noches te quise dentro de mí cama, y al mismo tiempo te odié fuera de ella.
Sat Aug 22 11:23:59 PDT 2015 --  Forget unfollowers, I believe in growing. 29 new followers in the last week! Stats via http://www.crowdfireapp.com/?r=tw 
Sat Aug 15 11:23:58 PDT 2015 --  Do you know who are awesome? My 100 new followers in the last week! Growing with http://www.crowdfireapp.com/?r=tw 
Wed Jul 08 18:31:20 PDT 2015 --  Lo que la vida me ponga, pero contigo.
Sat Apr 04 03:19:08 PDT 2015 --  Quédate con la persona que no pueda estar un día sin hablarte.
Fri Aug 14 14:07:20 PDT 2015 --  La vida no se mide en minutos, se mide en momentos.
Fri Aug 14 14:01:27 PDT 2015 --  Todos tenemos un amor difícil de alcanzar pero no imposible de conquistar.
