Wed Aug 26 16:44:17 PDT 2015 --  Happy #Nationaldogday, Lucy the good dog. pic.twitter.com/q5bBqndNml
Wed Aug 26 17:25:33 PDT 2015 --  Ruce makes her @theMMQB debut! Good dog! @SI_PeterKing #NationalDogDay https://twitter.com/si_peterking/status/636685629267574784 …
Tue Aug 25 01:56:55 PDT 2015 --  And the best headline of all time award goes to... #wombat #dirty30 #tinder https://twitter.com/mashable/status/636099348577841153 …
Fri Aug 21 07:08:40 PDT 2015 --  Good for @vulture for asking @FATJEW tough, honest questions, and good for @FATJEW taking responsibility. #fatjew http://www.vulture.com/2015/08/exclusive-interview-the-fat-jew.html …
Tue Aug 18 20:57:08 PDT 2015 --  The @FATJEW shade is LOL mostly bc these "meme artists" are jealous they can't monetize. Internet = Wild West. #getoverit #witchhunt #fatjew
Mon Aug 17 05:55:58 PDT 2015 --  To the biggest Lisa Loeb fan I know, @LK: We gotta go to #90sfest http://90sfest.com/  #loebnation
Fri Aug 14 08:14:20 PDT 2015 --  Taking it to the next level. @RobertKlemko @LK @SI_PeterKing @theMMQB #whatarethose #sneakers pic.twitter.com/go56dGu9cu
Thu Aug 13 16:48:34 PDT 2015 --  #sneakers https://twitter.com/robertklemko/status/631835890126573568 …
Wed Aug 12 19:21:40 PDT 2015 --  The @Target hack (or outrageously brave PR move) is phenomenal. #genderneutral #Target #byefelicia cc @TheodoraG13 pic.twitter.com/lw3W8hR0nO
Tue Aug 11 07:08:16 PDT 2015 --  'It's only a show' 'Why do you care so much who A is' 'You're over reacting' Me: #FAceToFace #PLL pic.twitter.com/Yx8V1MHeya
Tue Aug 11 06:11:06 PDT 2015 --  Just saw a girl in @Starbucks w a shirt that said "wake me when Jon Stewart is president." #samesies #Election2016
Thu Aug 06 19:58:37 PDT 2015 --  That time #BenCarson and #ChrisChristie were the only two people with brains on television for the last 2 hours. #GOPDebate
Thu Aug 06 19:47:02 PDT 2015 --  And... God. Stay tuned for that. #GOPDebate
Thu Aug 06 19:38:40 PDT 2015 --  "We have people in Washington that don't know what they're doing." - @realDonaldTrump But then like... Why did we elect them...? #GOPDebate
Thu Aug 06 19:31:36 PDT 2015 --  Guess what, The Donald? Not your decision. Not your call. "I hate the concept of abortion." - @realDonaldTrump #GOPDebate
Thu Aug 06 19:27:33 PDT 2015 --  Love how proudly these guys talk about their records of defunding #PlannedParenthood. #GOPDebate
Thu Aug 06 19:14:36 PDT 2015 --  via @Ericdawkins pic.twitter.com/yAqoibbucx
Thu Aug 06 19:20:09 PDT 2015 --  Chris Christie, don't let @realDonaldTrump talk about New Jersey like that! #atlanticcity #GOPDebate #ChrisChristie
Thu Aug 06 19:12:33 PDT 2015 --  General takeaways: 1 Call me Jeb. 2 My dad is a mailman. 3 Trump + Paul have hair envy of one another. 4 Don't let the neuroscientist speak
Thu Aug 06 19:01:07 PDT 2015 --  "And also, when someone like @realDonaldTrump says he wants to run for president, why can't we as Americans just be like, uh no." #GOPDebate
Thu Aug 06 18:59:45 PDT 2015 --  "Wait, so how do we whittle it down from here? Is it like Republican Survivor?" - @TheBigOh #GOPDebate
Thu Aug 06 18:57:13 PDT 2015 --  The @realDonaldTrump / @RandPaul #catfight is better than @broadcity @TheMindyProject and @TheDailyShow combined. #GOPDebate
Thu Aug 06 18:41:51 PDT 2015 --  So @realDonaldTrump hates everyone who isn't an American-born white male, is my big takeaway. See you ladies in Canada eh? #Republicandebate
Thu Aug 06 18:39:14 PDT 2015 --  Guys. A FENCE?! Sometimes I can't roll my eyes big enough. #Mexico #Republicandebate
Thu Aug 06 18:36:24 PDT 2015 --  "I knew this was gonna be stupid but this has exceeded my expectations. How will @TheDailyShow distill this?" - @TheBigOh #Republicandebate
Thu Aug 06 18:34:02 PDT 2015 --  Donald Trump's hairline is like a beautiful hazy horizon, where you don't know where the ocean ends and the sky begins. #Republicandebate
Thu Aug 06 18:29:42 PDT 2015 --  Call me Jeb. I've earned it. #Republicandebate #JebBush
Thu Aug 06 18:26:35 PDT 2015 --  LOL Scott Walker touting his defunding of #PlannedParenthood. Mike Huckabee comparing a fetus to a Buick. OMG these dudes #Republicandebate
Thu Aug 06 18:21:27 PDT 2015 --  Donald Trump is truly the most despicable human on earth, talking down to an educated woman on national TV. #Republicandebate #DonaldTrump
