Tue Aug 25 09:00:06 PDT 2015 --  #JoyceU pic.twitter.com/Wx1rgiHn8F
Sun Aug 23 15:15:40 PDT 2015 --  Love your enemies. Do good to those who hate you. Speak well of those who curse you. -Luke 6:27-28
Sat Aug 22 18:00:46 PDT 2015 --  Just because we don't see anything doesn't mean God isn't working.
Fri Aug 21 01:12:44 PDT 2015 --  Smile, things are working out. You may not see it now, but just know God is directing you.
Tue Aug 18 00:45:05 PDT 2015 --  16 things your mom was right about: http://bit.ly/1DZWVY5 
Wed Jun 11 10:57:25 PDT 2014 --  Florida in a picture pic.twitter.com/ZE2XtDerjn
Thu Aug 13 15:34:06 PDT 2015 --  Never let loyalty and kindness leave you! Tie them around your neck as a reminder. Write them deep within your heart. -Proverbs 3:3
Thu Aug 13 15:34:50 PDT 2015 --  Never be afraid to try something new. Remember, amateurs built the ark. Professionals built the Titanic.
Fri Aug 07 14:16:42 PDT 2015 --  when u fall asleep on the couch and someone wakes u up and tells u to get in ur bed pic.twitter.com/LKbHxvalHe
Wed Aug 05 18:35:11 PDT 2015 --  pic.twitter.com/b8083vg0yq
Sun Aug 02 03:19:48 PDT 2015 --  Associate yourself with people of good quality, for it is better to be alone than in bad company.
Fri Jul 31 15:36:39 PDT 2015 --  Don't brag about yourself let others praise you. -Proverbs 27:2
Fri Jul 31 05:25:42 PDT 2015 --  Being honest may not get you a lot of FRIENDS but it'll always get you the RIGHT ONES.
Fri Jul 31 05:30:04 PDT 2015 --  Morning motivation: You are what you do, not what you say you do.
Mon Jul 27 19:54:01 PDT 2015 --  being a girl is so stressful and expensive
Tue Jul 21 13:30:29 PDT 2015 --  Purchase a Turtle Bracelet from @DivinityLA and $1 is donated to Sea Turtle Conservancy! http://www.divinityla.com/collections/frontpage/products/turtle-bracelet … pic.twitter.com/q2CZLd0amo
Wed Jul 29 01:33:48 PDT 2015 --  For the wages of sin is death, but the gift of God is eternal life in Christ Jesus our Lord. -Rom 6:23
Mon Jul 27 07:56:08 PDT 2015 --  One of the secrets of life is that all that is really worth the doing is what we do for others. -Levi Strauss
Sun Jul 19 12:52:37 PDT 2015 --  Family is everything.
Sat Jul 04 06:00:07 PDT 2015 --  Happy Independence Day! You were chosen to be free. Use it as an opportunity to serve each other with love. (See Gal 5:13)
Thu Jun 11 20:16:19 PDT 2015 --  "Everybody matters to God, whether God matters to them or not." - Andy Stanley
Wed Jun 17 17:40:00 PDT 2015 --  The more we are known by God the less we need to find identity among men.
Sun May 31 16:05:25 PDT 2015 --  #Gators will face Michigan in the best-of-3 #WCWS Championship Series, which begins Monday at 8pm ET on ESPN2.
Wed May 20 09:56:20 PDT 2015 --  Currently in the beautiful city of Jacksonville, FL. I'm bringing my #RockThisCountry Tour back here July 15th! pic.twitter.com/TMCM5SictJ
Mon May 18 15:18:19 PDT 2015 --  Prove yourself to yourself not others. #beyou
Wed May 06 18:00:20 PDT 2015 --  I make mistakes every day. I'm not perfect in my behavior, but I want to be and that's what God is after, a heart that wants to be.
Sat Apr 18 09:10:23 PDT 2015 --  It is good to be inspired by others but don’t desire to be another or to do what another has been commissioned to do. Find your assignment.
Wed Feb 11 02:54:08 PST 2015 --  My life isn't perfect, but it does have perfect moments.
Tue Jun 11 09:47:19 PDT 2013 --  Tim Tebow signs with the New England Patriots, so here's a shirtless photo of him: http://ow.ly/lVx7D  #WhyNot
