Sat Aug 29 12:51:15 PDT 2015 --  pic.twitter.com/9l0b7TqiWV
Sat Aug 29 12:43:04 PDT 2015 --  Есть люди, с которыми вроде только познакомилась, а он "уже заебал".
Sat Aug 29 12:44:01 PDT 2015 --  Если вы хотите изменить мир, то для начала попробуйте хотя бы не жрать на ночь.
Sat Aug 29 12:44:48 PDT 2015 --  Ненавижу людей, которые говорят что-то только для того, чтобы поддержать разговор. © P.S. Я люблю тебя
Sat Aug 29 12:44:54 PDT 2015 --  завтра мы не встретимся снова...
Sat Aug 29 12:43:04 PDT 2015 --  ...песня до боли знакома
Sat Aug 29 12:40:12 PDT 2015 --  justinbieber: Saw this in the street. Very cool. Humbled and grateful. #WhatDoYouMean thanks pic.twitter.com/2THQldiNR3
Sat Aug 29 12:40:28 PDT 2015 --  забей на все клише. ..
Sat Aug 29 12:37:49 PDT 2015 --  «Красный, который одевает меня» pic.twitter.com/xET7Zn5m9w
Sat Aug 29 12:31:24 PDT 2015 --  от твоих прикосновений по телу дрожь
Sat Aug 29 12:29:39 PDT 2015 --  В дожде я нахожу покой..
Sat Aug 29 11:53:03 PDT 2015 --  Things might have been discussed & plans made w @gassercustoms last night. FUN AHEAD! Chk out Adam … http://www.whosay.com/l/lnFaY0Y 
Sat Aug 29 10:30:13 PDT 2015 --  "I want to find someone who makes me believe that love could work. I'm never going to get past hoping love works out." - Taylor Swift
Sat Aug 29 11:29:16 PDT 2015 --  Most Iconic Olympic Moments - http://listher.com/site/post/518  pic.twitter.com/yfzybv0HFS
Sat Aug 29 11:45:21 PDT 2015 --  Take me back when our world was one block wide.
Sat Aug 29 11:44:04 PDT 2015 --  Взрослые не матерятся при детях, дети не матерятся при взрослых. Забавная игра общества в приличных людей.
Sat Aug 29 11:44:39 PDT 2015 --  I love you all that was a hard show but I appreciate you all being here
Sat Aug 29 11:45:02 PDT 2015 --  #PHOTO Dylan O'Brien dans TST pic.twitter.com/rY9FNtcnoZ
Sat Aug 29 11:44:59 PDT 2015 --  Getting @MileyCyrus ready for the @MTV #VMAs!! pic.twitter.com/dB14wqMO7R
Fri Aug 28 17:59:54 PDT 2015 --  I was never good enough for you pic.twitter.com/594I1KP5Tq
Thu Aug 27 14:57:53 PDT 2015 --  OMG pic.twitter.com/brMxxuMkj7
Fri Aug 28 11:30:39 PDT 2015 --  pic.twitter.com/MPBSeQvpH0
Fri Aug 28 11:17:53 PDT 2015 --  Из всего, что вечно, самый краткий срок у любви...
Fri Aug 28 11:08:05 PDT 2015 --  - Как считаешь, я похож на убийцу? - Да. Ты убиваешь мое терпение. © Касл
Fri Aug 28 11:07:46 PDT 2015 --  Канадская пара сняла комедийный ролик о зачатии собственного ребенка: http://lenta.ru/news/2015/08/28/pregnancyannouncement/ … с помощью @lentaruofficial
Fri Aug 28 11:04:09 PDT 2015 --  Люси Лью опубликовала фото своего ребенка: http://lenta.ru/news/2015/08/28/liu/ … с помощью @lentaruofficial
Fri Aug 28 05:33:04 PDT 2015 --  Thank the Good Lord it's Friday
Wed Jul 22 20:39:19 PDT 2015 --  PUPPIES pic.twitter.com/EUcRgw5C91
Thu Jul 23 17:47:38 PDT 2015 --  pic.twitter.com/iSNAC9Zfqw
Fri Jul 24 17:09:50 PDT 2015 --  Taking a breather pic.twitter.com/bDhaSbX9WW
Wed Jul 29 20:57:07 PDT 2015 --  : @TerenMabry pic.twitter.com/1T2D2Fo9LD
Thu Aug 06 15:13:12 PDT 2015 --  @ImSoWhitePlsHelp pic.twitter.com/UxS5VHjE5p
Wed Aug 12 17:53:42 PDT 2015 --  I'm so bored. Shoot me. pic.twitter.com/kwHA4fBcJn
Wed Aug 19 18:12:36 PDT 2015 --  Hanging out with some plant friends. pic.twitter.com/53KFWIHo5P
