Sun Aug 23 17:45:25 PDT 2015 --  #lethersleep #mountainmover #worldshaker https://instagram.com/p/6vxk_NxwPLLBePdKDwh-cbdacuFQVJufiZkjA0/ …
Wed Aug 19 19:13:55 PDT 2015 --  So my little Jerzi is being super stubborn with her new prescribed… https://instagram.com/p/6lohrjRwHn7uye7j87mybcB0ODXMIDqn4FQag0/ …
Mon Aug 17 16:39:45 PDT 2015 --  #MCE Love love love me some Clayton Jennings. A man on fire for God &… https://instagram.com/p/6gNSxgxwNgxn9ASqBkIh3flzLwzC3Vgyb6pTM0/ …
Mon Aug 17 10:24:38 PDT 2015 --  Indubitably! And you wave bc "it's a Jeep thing!" https://instagram.com/p/6fiXTlRwNvBa5JRgZvocmzSsYEVxOARjE29Gg0/ …
Sun Aug 16 21:16:41 PDT 2015 --  Dear ppl who post their month-iversary. Stop.
Sat Aug 15 20:25:56 PDT 2015 --  Meet Christopher aka Batman! Little Batman & I started talking as he… https://instagram.com/p/6bdlr5RwDUMhTo7RBn2acCuY79sevpgU_f3RA0/ …
Sun Aug 09 08:21:17 PDT 2015 --  #justme https://instagram.com/p/6Kt46BRwJfE-O7kB5xbp9szaxDzq9trLNxhtA0/ …
Sun Aug 09 07:46:38 PDT 2015 --  Guitars are being traded for drum machines, bro culture is suffocating subtlety and veteran stars are being... http://fb.me/5fwZFJFY2 
Sun Aug 09 02:42:14 PDT 2015 --  #truth. To all my girls who have to deal with this ish! #happilysingle https://instagram.com/p/6KHFtNxwBySf4PJ3nP1AJbviLmaS55mPN9VKM0/ …
Sat Aug 08 17:46:08 PDT 2015 --  Lollll that might be a great new concept to adapt! Hahaa https://twitter.com/earldibblesjr/status/630099929961250816 …
Sat Aug 08 16:49:23 PDT 2015 --  #truth #realtalk https://instagram.com/p/6JDPcHxwIxjTRsMYqZhE8insE6ehH7cCMIyjI0/ …
Fri Aug 07 23:15:17 PDT 2015 --  #preventioniskey #worthanounceofcure! https://twitter.com/cookchildrens/status/629757206053847041 …
Fri Aug 07 17:32:06 PDT 2015 --  #truth #thermogenics #eatclean #trainmean #getlean #thestruggleisreal… https://instagram.com/p/6GjVa9xwFcSVr5w4m809viS29Dcli4UhKzFE40/ …
Fri Aug 07 16:00:44 PDT 2015 --  #truth #realtalk https://twitter.com/fititude/status/629751646407512064 …
Fri Aug 07 09:21:15 PDT 2015 --  #timehop https://instagram.com/p/6FrKXHxwG48ukeJqiSmgxhlsr96kjETQfJmNo0/ …
Fri Aug 07 09:05:27 PDT 2015 --  #timehop The day after the 2014 Ronnie Coleman Classic & the day of my… https://instagram.com/p/6FpWl9xwDrSU1XwlgxSfHbRZsZAkvNe41E11w0/ …
Thu Aug 06 17:00:11 PDT 2015 --  Congrats, Marcelo, for becoming an American, now about that milk challenge... #CR247 https://youtu.be/UJD51bd_jgo 
Thu Aug 06 18:49:30 PDT 2015 --  #backattack with my #weightmate @lindsaynorman was off tha chain! 2+… https://instagram.com/p/6EHZiuxwHWTT2ibpl7_kefJG-oHwahRmNqwYo0/ …
Thu Aug 06 12:03:52 PDT 2015 --  #timehop #drseuss https://instagram.com/p/6DY-ifxwDZ9kJSVw8Hgnwaf5QFGPPLgjP77Pk0/ …
