Sun Aug 23 01:13:02 PDT 2015 --  My dad taught... that one can stand tall without standing on anyone else! - @MagdelSteyn #quote
Sun Aug 23 11:31:34 PDT 2015 --  When fear comes knocking at your door, you must answer it with faith. Nothing else is effective against it.
Wed Aug 19 12:39:25 PDT 2015 --  The LORD God said, "It is not good for the man to be alone. I will make a helper suitable for him." -Genesis 2:18
Tue Aug 11 00:17:02 PDT 2015 --  RT: If You Love Green Tea
Sun Aug 09 11:08:34 PDT 2015 --  RT if you've ever caught the bouquet but you're still single... pic.twitter.com/NZo4QucBgF
Sun Jul 19 06:00:34 PDT 2015 --  I love you Thailand!!! http://www.sundayfundayz.com  pic.twitter.com/nUMRNwdwXc
Thu Aug 06 02:56:04 PDT 2015 --  WIN a @QMSMedicosmetic Facial! My Skin Spa​ has just opened at Morningside Shopping Centre. In order to WIN just RT pic.twitter.com/lLPgzPphsY
Sun Jul 19 16:00:12 PDT 2015 --  pic.twitter.com/LS2QwrSQDi
Fri Jul 03 10:23:13 PDT 2015 --  Heaven is my throne,says the Lord,and the earth ismy footstool.What kindof house would you build for me?Where is the place for me to live in
Fri Jul 03 10:25:23 PDT 2015 --  In Holland build natural bridges for animals to cross the highway without risking their lives. pic.twitter.com/rrvA0fdhAL via @socreativepics
Thu Jul 02 20:01:52 PDT 2015 --  Be your own elixir.
Fri Jun 12 14:22:36 PDT 2015 --  I was already having a great time performing in Johannesburg and then @Lupita_Nyongo dropped in and made my night. pic.twitter.com/eIJFbto1xm
Fri May 22 18:12:15 PDT 2015 --  pic.twitter.com/qQYXMNieZP
Sat May 23 09:53:29 PDT 2015 --  In nature we see where God has been. In our fellow man, we see where He is still at work. -Robert Brault
Sat May 16 12:10:07 PDT 2015 --  A friend isn't your friend until they defend you in your absence
Mon May 04 00:00:05 PDT 2015 --  Reasons why free Twitter from MTN is awesome? It's been extended till 31 May 2015! RT if this makes you happy! pic.twitter.com/AU5vpb23Bz
Tue May 05 15:58:31 PDT 2015 --  Sometimes God removes things from our lives for our own protection. Trust in Him.
Sat Apr 25 05:40:51 PDT 2015 --  Don't you allow ANYBODY to crucify you over something you have done wrong. YES people can tell you you're wrong, but crucify you? NO!
Fri Apr 24 19:20:22 PDT 2015 --  The only job you have is to believe God can do His job! #faith #believe
