Thu Aug 27 19:03:47 PDT 2015 --  Alcoho-Lock Keeps Drunks Off Their Bikes http://www.gadgetreview.com/2015/08/alcoho-lock-keeps-drunks-off-their-bikes … via @
Sat Aug 15 10:08:02 PDT 2015 --  Hoping to win K&N products and other exciting prizes from @knfilters and @apwcares! Help me win by also entering: http://woobox.com/iwjyig 
Sat Aug 01 18:42:24 PDT 2015 --  Insiders say Obama Is Trying To Start a 2nd CIVIL WAR – Secrets of the Fed http://www.secretsofthefed.com/proof-obama-trying-to-start-a-2nd-civil-war/#.Vb11flpDckA.twitter …
Sat Aug 01 18:41:53 PDT 2015 --  This Leaked Video Could Get Obama Impeached – White House ‘Panicked’ – Secrets of the Fed http://www.secretsofthefed.com/this-leaked-video-could-get-obama-impeached-white-house-panicked/#.Vb11XLdzhlk.twitter …
Sat Aug 01 18:41:00 PDT 2015 --  SCIENTISTS BAFFLED By Strange Creature Caught on Camera in Jodhpur, India – Secrets of the Fed http://www.secretsofthefed.com/scientists-baffled-by-strange-creature-caught-on-camera-in-jodhpur-india/#.Vb11J8Ss890.twitter …
Tue Jul 28 20:34:35 PDT 2015 --  See how your thumb reveals your personality traits http://trendingpost.net/trending-news/see-how-your-thumb-reveals-your-personality-traits/ … via @Trending_Posts
Tue Jul 28 15:11:57 PDT 2015 --  Google Search Console Warnings Issued For Blocking JavaScript & CSS http://searchengineland.com/google-search-console-warnings-issued-for-blocking-javascript-css-226227#.Vbf-Jt_Kjeg.twitter … via @sengineland
Fri Jul 24 20:30:12 PDT 2015 --  FarEye: GPS-Based Vehicle Tracking System for Schools http://electronicsforu.com/electronicsforu/circuitarchives/view_article.asp?sno=1487&title+=+FarEye%3A+GPS-Based+Vehicle+Tracking+System+for+Schools&id=12376&article_type=5&b_type=new#.VbMCvagNLRg.twitter …
Tue Jul 21 20:50:24 PDT 2015 --  Meet Americas Baddest Color Changing Lamborghini! http://bmwmblog.com/meet-americas-baddest-color-changing-lamborghini/ … via @BMW M-Blog
Thu Jul 09 18:21:31 PDT 2015 --  Hackers stole 21 million Social Security numbers in federal breach http://mashable.com/2015/07/09/hackers-social-security-numbers-breach/#:eyJzIjoidCIsImkiOiJfdTY0ODd5cGZ6ZnZuMzZteSJ9 … via @mashable
Sat Jun 27 20:09:49 PDT 2015 --  10 Reasons Why Men May Say No http://positivemed.com/2014/11/11/10-reasons-men-may-turn/ … via @ @positivemed
Fri Jun 05 16:04:22 PDT 2015 --  Hello Twitter! #myfirstTweet
