Thu Aug 27 06:15:13 PDT 2015 --  I miss you and it seems like you don't really care at all..
Thu Aug 27 07:56:34 PDT 2015 --  "It’s alright,“ she gave him a small smile. “Saving me was never your job anyway."
Wed Aug 26 07:11:29 PDT 2015 --  ''Losing my mother. That's one of my biggest fears.''
Thu Aug 27 07:41:16 PDT 2015 --  its pretty disgusting how much you can actually care about a person and they'll still shit on your feelings lol
Wed Aug 26 02:35:09 PDT 2015 --  No no it’s fine, ill text myself back.
Wed Aug 26 00:50:01 PDT 2015 --  If you feel like no one cares about you think again. Look in the mirror, because the person you see, needs you more than anyone else.
Wed Aug 26 02:52:04 PDT 2015 --  "Don't ever put your happiness in someone else's hands. They'll drop it. They'll drop it everytime.
Mon Aug 24 00:07:03 PDT 2015 --  why the fuck are u sending mixed signals
Fri Aug 21 16:00:16 PDT 2015 --  Have you ever wondered which hurts the most: saying something and wishing you had not, or saying nothing, and wishing you had?
Wed Aug 19 19:15:42 PDT 2015 --  Never say goodbye when you still want to try. Never give up when you can still take it. Never say you don't love them when you can't let go.
Wed Aug 19 18:33:09 PDT 2015 --  i just wanna cuddle and do inappropriate things with you
Wed Aug 19 05:35:55 PDT 2015 --  Taurus: I watched as flowers grew out of my dying veins
Wed Aug 19 06:01:29 PDT 2015 --  "Its been 8 months and she still talks about you like you put the stars in the sky. you really meant something to her."
Tue Aug 18 15:30:15 PDT 2015 --  S/O to the girls who tell u where they got their cute clothes from instead of pretending like they forgot
Tue Aug 18 15:30:29 PDT 2015 --  Some people are like clouds. When they disappear, it's a brighter day.
Mon Jan 19 11:00:07 PST 2015 --  why develop feelings for someone when you can just walk into traffic and achieve the same results
Sun Jan 18 19:00:07 PST 2015 --  Life tip pic.twitter.com/xs9Lo681ku
Tue Jul 07 06:39:08 PDT 2015 --  What happens between us, stays between us. Simple as that
Thu Jan 15 11:25:29 PST 2015 --  Make your dream become a reality because if you don't, you'll end up working for someone making THEIR dreams become a reality.
Thu Jan 15 01:27:15 PST 2015 --  well when i get a heartbreak, Automatically i'll say "Thankyou For Everything" idk why
Sat Jan 10 15:54:47 PST 2015 --  Dah selawat? Mari? Allahumma solli wasallim 'ala Sayyidina Muhammad wa'ala aalihi wasohbihi wasallim
Sat Jan 10 16:20:24 PST 2015 --  I'm done. Honestly done :) congrats to myself
Thu Jan 08 22:37:26 PST 2015 --  The French often use the expression “the English have landed” to say a woman is on her period.
Wed Jan 07 12:37:51 PST 2015 --  When a girl starts using your slang that's when you know she's yours
Tue Jan 06 02:57:58 PST 2015 --  Limit your words in insulting others because sometimes, the word you are using to insult someone is the best word to describe you.
Mon Jan 05 01:15:20 PST 2015 --  There's some things you're going to have to force yourself to do. "Easy to say, harder to do" yes but get it done.
Mon Jan 05 00:53:09 PST 2015 --  " @BaeFeeling: I never lose. Either I win or I learn."
Mon Jan 05 00:30:23 PST 2015 --  Tired of checking my phone and not seeing your name, I miss you.
Sun Jan 04 21:16:10 PST 2015 --  Band 4! Love it. Terima kasih Allah :)
Sat Dec 27 20:26:26 PST 2014 --  If you ask someone out and don't get a direct answer, you have your answer.
Sat Dec 27 08:50:33 PST 2014 --  Feeling down? Take a shower. Feeling clean helps boost your self-esteem.
Sat Jan 03 05:38:41 PST 2015 --  4times in a row kena attack. Haha
Fri Jan 02 01:19:59 PST 2015 --  Don't worry bout me worry about your own fucking self.
Thu Jan 01 21:58:29 PST 2015 --  The 5 rules of a relationship: 1. Stay faithful 2. Make them feel wanted 3. Respect your partner 4. Don't flirt with others 5. Make time
Thu Jan 01 06:15:15 PST 2015 --  I've lived to see another year
Thu Jan 01 03:00:24 PST 2015 --  Having celebrity crushes is better than having real life crushes because at least you know for a fact that you don't have a chance
Wed Dec 31 16:00:39 PST 2014 --  Relationships are harder now because conversations become texting, arguments become phone calls, and feelings become status updates.
Wed Dec 31 05:30:14 PST 2014 --  Jatuh kerana manusia? Bangkit semula kerana Allah S.W.T
Sat Dec 27 17:02:27 PST 2014 --  " @Bxrges: I miss the way things were a year ago"
Sat Dec 27 09:59:50 PST 2014 --  Checking your phone for no reason even though you know no one texted you.
Thu Dec 25 15:24:22 PST 2014 --  She complained about being lonely and now she's under the wrong arms.
Fri Dec 26 23:34:34 PST 2014 --  " @1stIove: You make me happy, even when you do piss me off."
Fri Dec 26 23:33:48 PST 2014 --  " @1stIove: I say I'm over you, but yet... I still search for quotes which remind me of us."
Fri Dec 26 22:29:54 PST 2014 --  Got it cuzzy!
Fri Dec 26 15:31:18 PST 2014 --  The sentence "Are you as bored as I am?" can be read backwards and still makes sense.
Thu Dec 25 18:00:16 PST 2014 --  Time can heal a broken heart, but it can also break a waiting heart.
Thu Dec 25 00:00:19 PST 2014 --  Angry? Take a deep breath before you speak, because your mouth acts quicker than your brain.
Thu Dec 25 16:18:38 PST 2014 --  "@etaks5evil: I hate putting all I have into things and getting nothing back"
Thu Dec 25 15:41:31 PST 2014 --  Giving your friend "the look" when you see someone attractive.
Thu Dec 25 16:17:51 PST 2014 --  Complicated. But still have the chance to make it right .
Wed Dec 24 19:44:48 PST 2014 --  " @HammerOfFacts: That moment when you randomly feel depressed for no apparent reason may indicate that you're actually missing someone."
Fri Dec 19 18:30:02 PST 2014 --  Sometimes, the right thing for you, is the wrong thing for someone else.
Mon Dec 22 08:01:02 PST 2014 --  Mahu jalan pergi Kk bah nanti :3
Sun Dec 21 02:14:26 PST 2014 --  Yesss akhirnya siap dua lab report.
