Mon Aug 17 09:01:52 PDT 2015 --  Stay & Love Me, Or Go & Hurt Me... pic.twitter.com/rlwIKHqYhd
Mon Aug 17 08:59:20 PDT 2015 --  I Bet No One Has Ever Forgot Someone Precious To Them. Then Why Forget Them When Their Here & Not Gone Away From You?
Sun Aug 16 05:22:08 PDT 2015 --  If You Did Something That Was Bad, Don't Come Back Crying Forgiveness By Someone Who Did Good For Leaving You. pic.twitter.com/NpyUf0CSIX
Sun Jul 26 13:31:13 PDT 2015 --  Welcome to Tomorrowland pic.twitter.com/MyQymLFzYb
Sat Aug 15 11:37:31 PDT 2015 --  Music Is My Escape From Reality... No One Can Take Away My Love For Music. Its Like Taking Away My Lungs And Telling Me To Survive (&_&)
Sat Aug 15 11:35:15 PDT 2015 --  You Become Like The People You Surround Yourself With. So Don't Blame Anyone For Your Wrong Doings. No One Told You To Be With Them. {×_×}
Sat Aug 15 11:13:55 PDT 2015 --  You Can Have Anything, But If You Don't Have Love, What Ever You Have, Can't Mean A Damn Thing. pic.twitter.com/xjULkyTgxC
Wed Jul 15 09:29:11 PDT 2015 --  Don't Find Wrongs In Others Because Everyone Is Different. If We Were All The Same, Life Would Be Boring :p pic.twitter.com/QsAmItyfLf
Thu Jul 09 14:46:21 PDT 2015 --  I'm Going To Be Very Busy In My AfterLife. The List Of People I'm Going To Haunt Grows Each Day! :p
Tue Jun 30 05:21:38 PDT 2015 --  I believe music is like expressing yourself without words :)
Mon Jun 29 13:00:20 PDT 2015 --  Treat Her Like A Queen And She'll Treat You Like A King. Treat Her Like A Game And She'll Show You How Its Played.
Sat Jun 27 13:57:50 PDT 2015 --  "If you can, keep your home intact for your children." - @imomtweets http://ctt.ec/0hbkr+ 
Fri Jun 26 10:12:50 PDT 2015 --  Mmmm... Tday was last day of skwl :p Time 4 awesome scary movies, cup of hot chocolate, nyc warm blanket n popcorn at night ;D
Mon Jun 22 12:38:33 PDT 2015 --  I really don't care if u like me or not, can't make u have good fast, ya'know? pic.twitter.com/HATGJFwfoc
Wed Jan 08 09:47:31 PST 2014 --  Hi guys
Mon Dec 30 01:33:45 PST 2013 --  Hw u lec
Mon Dec 30 01:12:07 PST 2013 --  Hw u
Mon Dec 30 01:11:55 PST 2013 --  Hi lec
