Thu Aug 27 07:32:42 PDT 2015 --  Pré venda a partir de amanhã! #S6EdgePlus #S6Edge+ pic.twitter.com/hyjMAWYbNt
Thu Aug 27 07:12:18 PDT 2015 --  AO VIVO no #Periscope: Evento lançamento Samsung https://www.periscope.tv/w/aK8SPzEyODE5NDgyfDFZcEtrT1dhcm1vS2rt9vKS2JxyHyfxJICw2VWgeyd_MFNDaQyl6cyyvym4UA== …
Thu Aug 27 07:03:11 PDT 2015 --  Vai começar! #Samsung #S6EdgePlus #S6Edge+ pic.twitter.com/N9rZ5BH29Q
Thu Aug 27 06:35:02 PDT 2015 --  AO VIVO no #Periscope: Evento lançamento Samsung - Teste https://www.periscope.tv/w/aK8JhjEyODE5NDgyfDFybXhQYU9qT3JuS07xLhooyVaByS5c9fg7fYISdEPgcGt-vdNFH-Y0rt28gA== …
Thu Aug 27 05:06:13 PDT 2015 --  Quer acompanhar um pouco do evento ao vivo? Periscope @Note_Brasil pic.twitter.com/gaFtCf6cYE
Wed Aug 26 07:28:06 PDT 2015 --  Chegoooou! Atualização do Lollipop 5.1.1 para Note 4 já está disponível via OTA, na FIRMWARE Polonesa. #Note4 #Att #Lollipop #Note_Brasil
Thu Aug 20 22:28:42 PDT 2015 --  Homologado e pronto para ir às lojas! Preço e cores de lançamento já divulgados em nosso tweet anterior #S6edgeplus pic.twitter.com/rdMqVwrwcb
Thu Aug 20 19:21:05 PDT 2015 --  Já temos preço para o #S6EdgePlus de 32gb e as cores disponíveis inicialmente! Veremos o de 64gb e outras cores? pic.twitter.com/fn8tmRf7fM
Wed Aug 19 08:45:58 PDT 2015 --  Samsung mostra seu novo SmartWatch! O Gear S2 será apresentado no dia 03/09 na IFA 2015. https://youtu.be/nwn8qMaNoJk 
Tue Aug 18 18:53:49 PDT 2015 --  Tmj! https://twitter.com/o_nerd/status/633695622806286336 …
Mon Aug 17 13:59:35 PDT 2015 --  Novo Android se chamará Marshmellow!!! #AndroidMarshmallow #Android pic.twitter.com/4uVNL3J1i9
Mon Aug 17 12:01:11 PDT 2015 --  Android M chegando em breve para o Galaxy Note 4 e Note Edge. Até o momento nada sobre o Note 5. http://m.tecmundo.com.br/samsung/84892-samsung-libera-lista-primeiros-aparelhos-receberem-android-m.htm …
