Fri Aug 28 06:17:05 PDT 2015 --  I liked a @YouTube video http://youtu.be/qHqN4bgsNPI?a  القوات السعوديه الخاصه ( instagram : reso.1 )
Fri Aug 28 06:09:23 PDT 2015 --  God .....Save them http://fb.me/1Oot4OOLh 
Thu Aug 27 19:47:08 PDT 2015 --  http://fb.me/3XjAYdXjG 
Wed Aug 26 03:07:37 PDT 2015 --  I posted a new photo to Facebook http://fb.me/2cyCLeqiB 
Wed Aug 26 03:03:48 PDT 2015 --  http://fb.me/2cNxJTZvQ 
Fri Aug 21 23:50:31 PDT 2015 --  feeling happy
Fri Aug 21 00:29:36 PDT 2015 --  http://fb.me/BI39Msj8 
Thu Aug 20 23:28:31 PDT 2015 --  https://www.youtube.com/watch?v=G3Lk7t1TvYE … http://fb.me/3gAi6vlTq 
Thu Aug 20 21:11:01 PDT 2015 --  http://fb.me/6DZOEU2xp 
Tue Aug 18 19:54:30 PDT 2015 --  http://fb.me/1YAbk16CY 
Tue Aug 18 17:49:10 PDT 2015 --  http://fb.me/7pv0YVe2O 
Sun Aug 16 19:47:04 PDT 2015 --  Hunter Hayes - I Want Crazy http://fb.me/7pgN4JObk 
Sat Aug 15 21:41:11 PDT 2015 --  I liked a @YouTube video http://youtu.be/gG_dA32oH44?a  Jay-Z & Kanye West - Ni**as In Paris (Explicit)
Fri Aug 14 16:04:25 PDT 2015 --  http://fb.me/7vt03THxW 
Fri Aug 14 16:03:50 PDT 2015 --  http://fb.me/29iJrxWBe 
Fri Aug 14 02:12:23 PDT 2015 --  I liked a @YouTube video http://youtu.be/6gucYhD9i0s?a  Martin Lawrence Movies - Best Adventure Movies - Free Comedy Movies - Black Knight
Thu Aug 13 23:11:20 PDT 2015 --  :) http://fb.me/7wAr0mFhl 
Thu Aug 13 18:56:14 PDT 2015 --  Fresh Prince of Emirates Hills (Dubomedy Parody) http://fb.me/7lcgrJGg3 
Thu Aug 13 18:48:53 PDT 2015 --  https://www.youtube.com/watch?v=xQ_IQS3VKjA … http://fb.me/7n2cTXvfP 
Thu Aug 13 18:33:32 PDT 2015 --  ohhh Adams .... Summer 69 ... love it :) http://fb.me/7AmN50k7f 
Wed Aug 12 22:12:31 PDT 2015 --  Be Positive .... Be Plus .... Be THE ONE — feeling positive
Tue Aug 11 21:04:10 PDT 2015 --  I saved a @YouTube playlist http://www.youtube.com/playlist?list=RD-3ZwAsjgqQ0&feature=autoshare-lk …
Tue Aug 11 10:23:24 PDT 2015 --  ;) http://fb.me/47XNMMQnx 
Tue Aug 11 10:21:38 PDT 2015 --  Straight Outta Osman http://fb.me/4S0VO3Gjj 
Mon Aug 10 05:51:23 PDT 2015 --  HOCK international CMA and CIA Exam Prep http://fb.me/3VUkKb6sz 
Tue Aug 04 21:08:28 PDT 2015 --  https://www.youtube.com/watch?v=-hu7JDIwjXg … http://fb.me/7z7jMWyUX 
Tue Aug 04 13:03:26 PDT 2015 --  He is gooood http://fb.me/6OiQu5wuy 
Tue Aug 04 12:44:07 PDT 2015 --  I posted a new photo to Facebook http://fb.me/7sLlJKwNN 
Mon Aug 03 23:09:37 PDT 2015 --  مات الكلام ......................... http://fb.me/3XvsAXoV6 
Sun Aug 02 17:39:06 PDT 2015 --  I liked a @YouTube video http://youtu.be/PrGq-pSvZg8?a  Passenger Let her go lyrics
Sat Aug 01 00:36:01 PDT 2015 --  I posted a new photo to Facebook http://fb.me/74zOzci8q 
Fri Jul 31 02:30:33 PDT 2015 --  Dream killer ....... http://fb.me/7zdSKgYQX 
Fri Jul 31 02:17:25 PDT 2015 --  GoPro: Vertical Skydiving World Record 2012 http://fb.me/1QfxPAnps 
Fri Jul 31 02:13:00 PDT 2015 --  Be Nike .. and just do it ;) http://fb.me/46q8DnQkE 
Fri Jul 31 00:20:06 PDT 2015 --  http://fb.me/1N3DwHGYb 
Fri Jul 31 00:19:59 PDT 2015 --  http://fb.me/3XwuQNNpf 
Fri Jul 31 00:19:52 PDT 2015 --  http://fb.me/3P5GkuLI2 
Fri Jul 31 00:19:38 PDT 2015 --  http://fb.me/4bIfcoPB4 
Thu Jul 30 23:43:12 PDT 2015 --  http://fb.me/4l9YHJ1Bo 
Wed Jul 29 18:20:42 PDT 2015 --  :) http://fb.me/2j06fR9SQ 
Tue Jul 28 17:00:01 PDT 2015 --  http://fb.me/7rxxIWvtc 
Sat Jul 25 21:13:02 PDT 2015 --  http://fb.me/2anGYRi1F 
Fri Jul 24 01:32:53 PDT 2015 --  I posted a new photo to Facebook http://fb.me/45NIhRtHz 
Wed Jul 22 21:55:58 PDT 2015 --  MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO) http://fb.me/4HZRLS9cc 
Wed Jul 22 12:47:12 PDT 2015 --  True ;) http://fb.me/4GO2jHnsW 
Tue Jul 21 13:13:36 PDT 2015 --  حمدى المرغنى فى استاند اب حمدى كيكه http://fb.me/1PldD95Mg 
Tue Jul 21 09:21:44 PDT 2015 --  :) good one this time http://fb.me/6xWc0jiZi 
Sun Jul 19 20:30:03 PDT 2015 --  ;) http://fb.me/34aG9Nd4k 
Sat Jul 18 18:22:43 PDT 2015 --  Which three things will happen to you in 2015? http://fb.me/2Il1Ekkjq 
Sat Jul 18 09:55:58 PDT 2015 --  http://fb.me/3S2R8qDBK 
Fri Jul 17 21:13:10 PDT 2015 --  وبعضهم كالوطن .... ان غابو عنا شعرنا بالغربة .
Thu Jul 16 09:32:38 PDT 2015 --  http://fb.me/37ZF2vg9z 
Wed Jul 15 20:10:30 PDT 2015 --  مربوط باستيك وسط ناس بلاستيك كل عامل فيها مستر بومباستيك :) منقول كايروكي .
Wed Jul 15 19:56:27 PDT 2015 --  Good morning . http://fb.me/1LaQpBMCO 
Wed Jul 15 19:55:41 PDT 2015 --  I posted a new photo to Facebook http://fb.me/t1gPjhsL 
