Fri Aug 28 13:01:58 PDT 2015 --  Vegeta cocinando takoyakis pic.twitter.com/h36vUcVG9F
Wed Aug 26 18:09:44 PDT 2015 --  My neighborhood supports me.
Wed Aug 26 09:53:54 PDT 2015 --  Descargando el video felino de @dessinateur porque no tengo nada que hacer y porque #CatLover
Wed Aug 26 09:45:53 PDT 2015 --  Por eso les digo: "Los hombres de verdad, no bailan".
Wed Aug 26 09:45:17 PDT 2015 --  Y para no hacer más larga la historia, henos aquí, 10 años de feliz matrimonio con mí gordo
Wed Aug 26 09:44:29 PDT 2015 --  Yo para resarcir el daño no tuve otra que invitarle un pomo al tipo
Wed Aug 26 09:42:52 PDT 2015 --  "Oye amigo tranquilo ¿que te pasa?"
Wed Aug 26 09:42:13 PDT 2015 --  Me quedé petrificado por un instante hasta el momento en que sentí una mano en el hombre y escuche la voz del tipo diciendo
Wed Aug 26 09:40:57 PDT 2015 --  A pesar de lo prendido de los movientos, mí velocidad y el alcohol atrofiante, en ese leve instante pude sentir el calor del trasero de otro
Wed Aug 26 09:39:40 PDT 2015 --  En un movimiento involuntario de cadera y en una traición de alcohol y calzado, mis nalgas fueron a dar con las del compa de atrás
Wed Aug 26 09:38:49 PDT 2015 --  Ahí andaba yo lustrando el piso como nunca nadie antes lo hubiese hacho en la historia humana cuando de pronto
Wed Aug 26 09:37:49 PDT 2015 --  "Éste es mí mero mole" pensé, mí veneno y a lo que vine al mundo
Wed Aug 26 09:37:08 PDT 2015 --  Le entré duro al bailongo cuando qué pasó, oh sorpresa, estaba sonando la cumbia del acordeón de Celso piña
Wed Aug 26 09:35:43 PDT 2015 --  El discjockey puso una mezcla de bronco y los temerarios sumamente bailable que nos hizo olvidar los problemas, las inhibiciones y el glamur
Wed Aug 26 09:34:01 PDT 2015 --  Ya estando a media pista y con la presión social de la bandita y la familia ahí congregado, pues terminé sucumbiendo
Wed Aug 26 09:32:57 PDT 2015 --  Yo no quería, pero con el cuerpo lleno de alcohol hasta una mariposa podría haberme tumbado en aquella ocasión
Wed Aug 26 09:32:01 PDT 2015 --  Fui embelesado y engatusado por una bella mujer "rubia natural" que me saco a bailar
Wed Aug 26 09:31:01 PDT 2015 --  Cerca ya de las 11:00pm cuando la fiesta apenas comenzaba a agarrar color y yo sin perder tiempo ya andaba hasta las manitas en alcohol
Wed Aug 26 09:30:00 PDT 2015 --  Bueno, el cuento va algo así: Hace ya varios años, me invitaron a una fiesta de rancho pero de gente bien. Con platería en las mesas y todo
Wed Aug 26 09:28:20 PDT 2015 --  Va probado, va calado, va garantiza-do
Wed Aug 26 09:27:50 PDT 2015 --  Es un pasaje de mí vida personal que traigo a ustedes por el módico costo de 10 pesillos. ¡10 pesillos le vale, 10 pesillos le cuesta!
Wed Aug 26 09:26:33 PDT 2015 --  Cómo certificar qué eso de que "los hombres de verdad no bailan" me preguntan. Bueno amigos, solo puedo responder a eso contándoles algo
Wed Aug 26 09:21:41 PDT 2015 --  Hombre sin barriga no es hombre, es una amiga. #PoetuitMatonDelRanchoDePancho
Wed Aug 26 09:20:43 PDT 2015 --  Porque los hombres de verdad estamos barrigones, por cierto.
Wed Aug 26 09:20:05 PDT 2015 --  Los hombres de verdad no bailamos. Imitamos los movimientos de rotación y traslación de la tierra sobre la pista de baile.
Wed Aug 26 08:58:47 PDT 2015 --  #OnWednesdayWeWearPink pic.twitter.com/vaAASppwAj
Wed Aug 26 08:49:56 PDT 2015 --  Lo peor es que uno SÍ es chancero y eso es cierto un 80% de las veces :P
Wed Aug 26 08:48:30 PDT 2015 --  Ésta sociedad se encuentra en tal decadencia que, uno ya no puede usar memes de animales, sin que se le acuse a uno de ser tira tejos.
Mon Aug 24 17:58:50 PDT 2015 --  https://open.spotify.com/track/3Gj5CDzCdq01ftkxGxhdeH … HAHAHAHAHAHAHAHAHAHAHAHAHA
Mon Aug 24 17:53:06 PDT 2015 --  ¡TUIT MAESTRO! https://twitter.com/Xion_Sempai/status/635977854916935680 …
Mon Aug 24 17:45:14 PDT 2015 --  Un mensaje para usted señora @Sue_Bernal, de parte de un ciudadano preocupado por su país https://twitter.com/k_puer/status/635975475500703744 …
Mon Aug 24 17:33:44 PDT 2015 --  es hora de bailar "Best day of my life" saltando en un pie y con una mano libre en el aire, vamos, únanse a mí locura de Lunes
Mon Aug 24 17:30:36 PDT 2015 --  Servido mí señor @theDwarf pic.twitter.com/f7OE6liet1
Mon Aug 24 16:44:41 PDT 2015 --  Shut up everybody and show me your jazz hands
Mon Aug 24 16:44:02 PDT 2015 --  Let's blow an artery!!
Mon Aug 24 16:41:23 PDT 2015 --  Y apenas son las 4:41, me queda un largo trecho por recorrer
Mon Aug 24 16:40:39 PDT 2015 --  Pero al menos valió la pena. Ahora suena la BSO de pantaletas y calcetas con ligero así que voy a estar así de aquí a las 8:30
Mon Aug 24 16:38:59 PDT 2015 --  Y de la nada sonó engel de rammstein y sin querer me puse a perrear y moverme como teibolero de los peores, me siento increíblemente sucio.
