Thu Aug 27 18:39:49 PDT 2015 --  No tienen idea de como me revienta que la gente sea impuntual.
Thu Aug 27 18:24:11 PDT 2015 --  Yo cuando voy tarde a la escuela. pic.twitter.com/GdRoVIQhJI
Fri Aug 21 20:52:46 PDT 2015 --  #sevalecambiar @movnomadx
Fri Aug 21 06:15:51 PDT 2015 --  Tengo demasiado Sueño
Thu Aug 20 19:04:09 PDT 2015 --  Adivinen quién se gano un pase doble para ver a #GDC en #movnomadx !!!! Sí, estoy emocionada. https://twitter.com/el123pormi/status/634545933284302848 …
Wed Aug 19 06:42:21 PDT 2015 --  Gracias @EPN por aclarar lo que menos nos importa. pic.twitter.com/HPQfILlrNt
Tue Aug 18 21:20:09 PDT 2015 --  Ha llovido como si le hubieran roto el corazón al cielo.
Tue Aug 18 19:36:24 PDT 2015 --  Tal vez el final feliz sea solo... Continuar.
Tue Aug 18 10:33:28 PDT 2015 --  Yo está mañana viendo el desfile de novatos de mi facultad pic.twitter.com/apovjdsu5J
Mon Aug 17 08:44:20 PDT 2015 --  ¿Qué les pasa? Igualados. pic.twitter.com/Id9bTfPbif
Mon Aug 17 07:45:32 PDT 2015 --  Hijito, tu que tienes maestría en derecho penal, ve y sácame un tamal del bote por favor, no seas malito.
Sat Aug 15 16:30:21 PDT 2015 --  Cuando sales de una tienda y empieza a sonar la alarma. ¡OLLE ALARMA PORKE SUENAZ NO ME ZTOY ROVANDO NADA REZPETA PEPE EL TORO ES INOSENTE!
Sat Aug 15 15:59:02 PDT 2015 --  ¿Celos?, no te confundas papasito, no seas tan mierdero.
Sat Aug 15 15:50:02 PDT 2015 --  Tu peor error es creer que mis tweets siguen siendo para ti.
Sat Aug 15 14:30:48 PDT 2015 --  Maigos cuando vuelva a salir con alguien así tienen permiso de darme una cachetada y decirme que estoy PENDEJA!.
Sat Aug 15 14:19:43 PDT 2015 --  No entiendo porque hay gente que no comprende las canciones y aún así las dedica.
Sat Aug 15 01:28:07 PDT 2015 --  Después de tanto tiempo, vuelves así a mi vida y la descontrolas.
Sat Aug 15 01:26:58 PDT 2015 --  I Knew you were trouble.
Thu Aug 13 17:07:25 PDT 2015 --  "Está bien chingona la película de Cartel De Santa" —Yo mintiendo para que unos cholos no me asalten.
Wed Aug 12 23:51:18 PDT 2015 --  Si tu novia sabe manejar estándar casate con ella
Wed Aug 12 17:59:08 PDT 2015 --  Calzas del número perfecto para usar la chancla que le pegue a nuestros hijos.
Wed Aug 12 17:23:23 PDT 2015 --  No iré al cine hasta que quiten la película de "Los Jefes", que tal si algun cholo se mete por error a la sala donde estoy y me asalta.
Wed Aug 12 18:19:15 PDT 2015 --  Veo raza que publica:"Quien entiende al clima?,estuvo haciendo mucho calor ,y ahora llueve!WTF" -Me pregunto si entenderán el ciclo del agua
Mon Aug 10 15:50:08 PDT 2015 --  Te dejo la libertad de hacer conmigo lo que quieras, de quererme a tu manera.
Mon Aug 10 12:47:20 PDT 2015 --  Faqk
Mon Aug 10 08:05:47 PDT 2015 --  Primer día de escuela y me siento bien importante, hay gente que hasta me evita como si me debiera 1millon de dólares.
Mon Aug 10 05:32:37 PDT 2015 --  No quiero ir a la escuela.
Sun Aug 09 00:21:37 PDT 2015 --  - " ¡Pero si son unos clasicos, jefe!" - " Sí, también los tocadiscos y todo mundo trae iPod, ¿o no?" #ClubDeCuervos
Sun Aug 09 01:31:18 PDT 2015 --  #ClubDeCuervos lo mejor que le pudo pasar a @NetflixLAT he dicho.
Sat Aug 08 23:57:58 PDT 2015 --  A esta hora ya están descongelando a Chabelo.
Sat Aug 08 23:21:59 PDT 2015 --  Ya llevo mas de la mitad de la serie #ClubDeCuervos en un día, la verdad super recomendada, te atrapa desde el 1er. Episodio.
Sat Aug 08 23:16:40 PDT 2015 --  Propongo al Piojo Herrera para nuevo entrenador de #ClubDeCuervos jaja
Sat Aug 08 02:23:37 PDT 2015 --  Nacimos para estar juntos, pero no lo estamos juntos por mis errores. Perdóname.
Fri Aug 07 23:07:56 PDT 2015 --  Y tu te vas jugando a enamorar...
Wed Aug 05 00:50:24 PDT 2015 --  Esperaba que fuera esa canción. https://twitter.com/taylorswift13/status/628808116956753921 …
Thu Jul 30 11:26:22 PDT 2015 --  La primera chambita de María Fernanda Said de #MonoDelDía. #GenteDeConfianza. pic.twitter.com/LSAkFAmDFB
Tue Jul 28 18:55:21 PDT 2015 --  Oye amiga, está padrísimo que te gusten las canciones en ingles, nada mas no las cantes en Náhuatl, por fisssss 🏼
Sun Aug 02 22:51:11 PDT 2015 --  #TONTA te ves subiendo a fb fotos con expresiones como :( con titulo de "Estoy Triste", denota cierto retraso mental. #BereVerdades
Sun Aug 02 22:35:52 PDT 2015 --  Guarra te ves usando tacones en una pool Party, además de que pareces edecan de Tecate roja. #BereVerdades
Sun Aug 02 12:07:38 PDT 2015 --  You're gonna catch a cold from the ice inside your soul.
Thu Jul 30 23:52:49 PDT 2015 --  Tengo roto el corazón maigos D:
Thu Jul 30 23:18:45 PDT 2015 --  Aplicando las de la #UACH pic.twitter.com/crk4pxRLNu
Wed Jul 29 23:35:31 PDT 2015 --  Yo te voy a querer siempre, toda la vida.
Wed Jul 29 15:25:43 PDT 2015 --  Tu novio trabajando en Teleperformance para invitarte a comer.
Wed Jul 29 14:29:13 PDT 2015 --  —Guapísima. —Hola. —¿Tienes WhatsApp? —Sí. —¿Me lo dices? —Tengo WhatsApp. —…
Wed Jul 29 01:08:42 PDT 2015 --  It's so good to love someone so much it hurts. I don't know how people survive this. Honestly, I don't.
Tue Jul 28 22:13:01 PDT 2015 --  Voy a poner un puesto de tacos y le voy a poner "Taqueria mucho, pero ya no" para que veas que ya te superé.
Thu Jul 23 16:25:49 PDT 2015 --  #GrowingUpWithBraces Tener los labios resecos, sonreír y que se te quede enganchado el labio en un bracket JAJAJAJA
Thu Jul 23 20:19:34 PDT 2015 --  #GrowingUpWithBraces "Si besas a alguien que igual tiene brakets, ¿se quedan atorados?"
Fri Jul 24 00:25:13 PDT 2015 --  "Cuanto llevas con ellos" "Duelen" "cuanto llevas con ellos" "porque no te los pusiste azules? " #GrowingUpWithBraces pic.twitter.com/BYLJJYSp2i
Tue Jul 28 13:53:50 PDT 2015 --  Siempre uso la frase «El otro día» para especificar una fecha entre 1810 y ayer.
Mon Jul 27 06:07:56 PDT 2015 --  Hombres que exigen como si fueran Jamie Dornan.
Sun Jul 26 08:37:35 PDT 2015 --  Si le tienes que pedir a alguien que se quede, ya se fue, aunque no se vaya.
Thu Jul 23 23:19:57 PDT 2015 --  Enamorada Nivel: Le dedicó tweets de canciones bonitas.
Thu Jul 23 23:12:44 PDT 2015 --  He's so tall and handsome as hell.
Thu Jul 23 23:07:47 PDT 2015 --  He's so bad but he does it so well.
