Fri Aug 28 16:49:06 PDT 2015 --  Ho Ho Ho, bald ist wieder #Weihnachten! Keine 117 Tage mehr.
Fri Aug 28 05:04:51 PDT 2015 --  Wurde Krasnodar angepaokt, jetzt bin ich am qäbäläen! #UELdraw
Fri Aug 28 05:42:58 PDT 2015 --  Losglück? LOSGLÜCK??? #Typisch https://twitter.com/BILD/status/637235304739512320?s=03 …
Fri Aug 28 04:48:42 PDT 2015 --  Die Asienreise geht weiter! #BVB
Fri Aug 28 04:52:42 PDT 2015 --  Jetzt regt euch mal nicht so auf. Vielleicht hat ja ein Verein voll den witzigen Twitter-Account! #firsthingsfirst #BVB #UELdraw
Fri Aug 28 04:56:51 PDT 2015 --  Wenn wir in der CL immer ne Todesgruppe hatten ist das EL Ding sowas wie das Bälleparadies bei IKEA. #BVB #UELdraw
Fri Aug 28 04:53:45 PDT 2015 --  Weite Reisen: Die Luftlinie von Dortmund zu den Stadien der drei Gruppengegner beträgt insgesamt rund 7380 Kilometer (2460 im Schnitt). #BVB
Fri Aug 28 04:50:08 PDT 2015 --  Der Qbala FK spiel im übrigen in Baku!
Fri Aug 28 04:48:05 PDT 2015 --  Wenn man alle Entfernungen mit dem Auto zusammen rechnet, müssen die @BVB-Fans 18.162km zurücklegen (Hin- und Rückfahrt). Joa. #UELdraw
Fri Aug 28 04:47:48 PDT 2015 --  Is ja quasi alles um die Ecke.
Fri Aug 28 04:46:37 PDT 2015 --  Das wird ne halbe Weltreise. Freu mich drauf! #ELdraw
Fri Aug 28 04:46:14 PDT 2015 --  Europa League Pur!
Fri Aug 28 04:46:10 PDT 2015 --  Todesgruppe. Wegen Thrombose im Flugzeug. #BVB
Fri Aug 28 04:52:12 PDT 2015 --  Ich bin ja dafür die zweite Mannschaft in der EL auflaufen zu lassen . Reicht vollkommen und der Rest kann sich für Pokal und BL schonen.
Fri Aug 28 04:46:49 PDT 2015 --  @BVB Zufrieden mit den Gegnern? #UELdraw #UEL
Fri Aug 28 04:45:37 PDT 2015 --  Wie viele Flugkilometer sind das? Hallelujah! #UELdraw #BVB
Fri Aug 28 04:43:07 PDT 2015 --  Bis #Krasnodar sind es 2898 Kilometer. #BVB
Fri Aug 28 04:40:21 PDT 2015 --  Das heißt wieder Kunstrasen, oder?
Fri Aug 28 04:23:44 PDT 2015 --  C wie Championsleaguequalifikation! #RoadtoBasel #UELdraw
Fri Aug 28 04:19:17 PDT 2015 --  Bitte noch 10 Leute mehr holen. Bühne ist groß genug... #UELdraw
Fri Aug 28 04:17:29 PDT 2015 --  Wieviel Leute wollen die da noch zum Losen holen? Fangt endlich an! Theater macht ihr doch bei der CL schon immer genug. #UELdraw
Fri Aug 28 04:00:20 PDT 2015 --  NowWatching: #UELdraw on @SkySportNewsHD
Fri Aug 28 03:11:39 PDT 2015 --  Geschrieben wird über Leitner, Kampl und Großkreutz. Es gehen Dudziak und Kampl. Halilovic wird hier bestimmt gut mit Shaqiri harmonisieren!
Fri Aug 28 02:43:48 PDT 2015 --  . @bayer04fussball @KevinKampl_KK Leb wohl Kevin :(
Fri Aug 28 01:05:41 PDT 2015 --  @BVB i hope @ASSEofficiel
Thu Aug 27 17:08:04 PDT 2015 --  Es gibt 7.000.000.000 Menschen auf dieser Welt. Irgendwo wird es einen geben, der einen akzeptiert, wie man ist. Geduld ist der Schlüssel.
Thu Aug 27 20:07:35 PDT 2015 --  Los 4 bombos de la @EuropaLeague, nuestro rivales saldrán del 2,3 y del 4 El sorteo lo transmite ESPN y Fox Sports 2 pic.twitter.com/mRcOju5qbU
