Fri Aug 28 13:39:46 PDT 2015 --  It begins... pic.twitter.com/a0eUYcgslr
Thu Aug 27 20:25:17 PDT 2015 --  pic.twitter.com/tlghOu00EM
Fri Aug 28 10:00:23 PDT 2015 --  Looking for the hottest new edition of Brawl Minus? Check out 4.0b coming Sept 4th: http://smashboards.com/threads/brawl-minus-4-0b-release-date-announced-september-4th.415634/ … pic.twitter.com/xevOIJRsdr
Fri Aug 28 11:41:32 PDT 2015 --  Lunch time with @xD1x @TSMZeRo @juiceDoom @OfficialShofu pic.twitter.com/NpZO83Sk4x
Thu Aug 27 20:30:08 PDT 2015 --  Going live with my first time on my own channel! Doing a donation drive to go to Japan for my b-day! Come play me :) http://www.twitch.tv/xzaxssb 
Thu Aug 27 04:49:27 PDT 2015 --  When u read the air dodge pic.twitter.com/slzFVATBuu
Thu Aug 27 17:30:40 PDT 2015 --  Little Macs who die after being thrown off the stage pic.twitter.com/PmoizPqquK
Thu Aug 27 12:33:07 PDT 2015 --  GUYS @InkOrSink MATCH IS HAPPENING GET IN HERE NOW http://www.twitch.tv/thatsrb2dude 
Thu Aug 27 09:45:15 PDT 2015 --  @InkopolisNews #CaptainCuttlefish weapon is coming to #Splatoon! http://inkopolisnews.net/weapons/2-new-weapons-added/ … pic.twitter.com/l5jMl6wZqm
Thu Aug 27 08:12:14 PDT 2015 --  Oh god I paused at the wrong time @SquidsNextDoor pic.twitter.com/RvyQtyfnpG
Thu Aug 27 08:16:53 PDT 2015 --  Two new weapons are coming to #Splatoon tomorrow night at 7 PM PT! pic.twitter.com/D0gShx2DfI
Wed Aug 26 08:41:47 PDT 2015 --  Very soon... New map! #Splatoon pic.twitter.com/2JXPeAQihP
Wed Aug 26 07:31:44 PDT 2015 --  I hear it's national dog day pic.twitter.com/tEpHQDDymj
Tue Aug 25 17:55:16 PDT 2015 --  How random is that too run in to @PG_Reptar in Turf War hahaha
Tue Aug 25 11:27:35 PDT 2015 --  #Splatune soundtrack coming to Japan! Learn More: http://inkopolisnews.net/tips/splatune-sountrack-coming-to-japan/ … pic.twitter.com/mJjrhB5i4G
Tue Aug 25 11:40:06 PDT 2015 --  I want a Waffles vs Pancakes Splatfest.
Tue Aug 25 11:36:43 PDT 2015 --  If you haven't switched over from Skype to @discordapp yet then you are waiting too long. Don't miss out!
Mon Aug 24 20:57:56 PDT 2015 --  HAHAHAHAHA YOU CAN GET HIS FIREBALL WHAT IS THIS https://twitter.com/tanaka_is_dead/status/635403124375588865 …
Mon Aug 24 16:42:05 PDT 2015 --  @PG_Plup made the official Evo2015 moments video!! https://twitter.com/evilmrwizard/status/635932672540323840 …
Sun Aug 23 17:44:34 PDT 2015 --  Spades has won the Salty Splatoon Tournament!! Good job you guys!!!
Thu Aug 20 13:11:34 PDT 2015 --  人類 復活 https://vine.co/v/eDeqI22pxV9 
Sat Aug 22 21:29:03 PDT 2015 --  Our Splatoon team is getting their scrim in! Come watch @PG_Freean and the rest of the team play! http://www.twitch.tv/squidsnextdoor 
Sat Aug 22 19:31:38 PDT 2015 --  We are doing a friendly scrimmage with @PandaGlobalPG come check it out! Doing best of 3 for all modes 4v4. http://www.twitch.tv/squidsnextdoor 
Sun Aug 16 06:45:13 PDT 2015 --  Nothing ventured, nothing gained. pic.twitter.com/ScBnog0LwF
Sat Aug 22 09:55:41 PDT 2015 --  trying out motion controls again.
Thu Aug 20 10:32:21 PDT 2015 --  GG Guys, we broke Arowana Mall. pic.twitter.com/1NvdhAt8aL
Thu Aug 20 09:07:51 PDT 2015 --  #ArowanaMall - Learn how to reach enemy base! #Splatoon http://inkopolisnews.net/tips/arowana-mall-jump-glitch/ … pic.twitter.com/OuayHy7OYi
Wed Aug 19 20:55:39 PDT 2015 --  This map looks SO hype! https://twitter.com/NintendoAmerica/status/634183465920000000 …
Wed Aug 19 19:01:35 PDT 2015 --  Tomorrow at 7 PM PT - a mere 24 hours from now - Flounder Heights joins the #Splatoon map rotation! pic.twitter.com/94sttlRksv
Tue Aug 18 10:40:06 PDT 2015 --  hahaha https://twitter.com/acuteleaf/status/633403527298199552 …
Tue Aug 18 10:35:31 PDT 2015 --  villager too good https://twitter.com/ganopon/status/633374309050810368 …
Tue Aug 18 07:00:36 PDT 2015 --  There’s a #Splatoon themed drawing contest taking place in the Art Academy Miiverse community http://ntdo.co.uk/2j  pic.twitter.com/SZxjDQXQH0
Tue Aug 18 08:00:17 PDT 2015 --  . @Transformers is coming to #Splatfest! Battle as Team AUTOBOTS or Team DECEPTICONS for 24 hrs starting 8/28 9 PM PT! pic.twitter.com/jPw4TlAeQo
Mon Aug 17 08:53:37 PDT 2015 --  Haven't picked up Splatoon yet? You'll be able to play the Testfire Demo again this weekend on Aug 21 - 23, 3-5PM PST pic.twitter.com/Hl7AuOLsX3
Mon Aug 17 08:57:33 PDT 2015 --  SS Jr will rise once again!!!!!! https://twitter.com/Squidboards/status/633305691676000256 …
Sun Aug 16 23:02:01 PDT 2015 --  probably one of my favorite games and I haven't even finished it yet
Sun Aug 16 23:01:44 PDT 2015 --  earthbound is tooooo good.
Sun Aug 16 05:01:42 PDT 2015 --  megaman pic.twitter.com/qKs9HvMCOv
