Thu Aug 27 19:24:47 PDT 2015 --  Tips para despertarme sin que me enoje: A) No me despiertes B) A C) B
Thu Aug 27 19:16:10 PDT 2015 --  #ExtrañoMuchoEsoDe las vacaciones de verano :c LLEGUEEEEN YAAAA !
Thu Aug 27 18:01:40 PDT 2015 --  El ultimo trimestre me voy a recontra poner las pilas, ya descanse todo lo que va del año, dejate de joder pamela, estudia.
Thu Aug 27 17:59:26 PDT 2015 --  Mis ganas de comprarme un celular aumentan cada ves mas, pobreza dejame en paz. :c
Thu Aug 27 09:24:20 PDT 2015 --  A limpiar la casa con musicaaaa :3
Wed Aug 26 22:14:16 PDT 2015 --  Infinito se hizo este agosto porfavorrrr, te podes ir ya, nosé renuncia como mes ah.
Tue Aug 25 20:15:09 PDT 2015 --  Entendí un tema nuevo que dio la profe de matemáticas, no sé que me esta pasando no soy yo.
Sat Aug 22 06:56:36 PDT 2015 --  @Pamee_Figueredo
Tue Aug 25 16:40:31 PDT 2015 --  Mi vieja se re cuelga con su fb o su wpp onda, señora suelte eso y pongase a barrer.
Sun Aug 23 18:08:29 PDT 2015 --  #MeJodeMuchoEsoDe levantarme temprano para ir al cole -.-
Sun Aug 23 18:06:34 PDT 2015 --  #MeJodeMuchoEsoDe que se hagan las/los que son mejores que los demas, es re NO EXISTIS, CALMATE.
Sun Aug 23 14:29:08 PDT 2015 --  Re feo cuando salgo de un local de bijou sin haber comprado nada, siento que me miran tipo, EU MARU FIJATE SI NO SE ROBO NADA..
Fri Aug 21 20:10:11 PDT 2015 --  -¿Saben donde vivimos los gordos? Vivimos en Gordando JAJAAJAJAJAJJAJAAJ tenía que decir esta pabada si o si jjaja #SabadoDeGanarSeguidores
Thu Aug 20 20:24:07 PDT 2015 --  Mi suegro me quiere invitar a comer por su cumpleaños con toda la familia otra ves :3 me siento re halagada c':
Thu Aug 20 19:30:12 PDT 2015 --  Por fin puedo venderrr en Millanel viejaaa, a hacer platita :3
Mon Aug 17 17:33:34 PDT 2015 --  "Si hoy no luchas, mañana no llores."
Mon Aug 17 20:16:31 PDT 2015 --  Que ganara la gente tirando abajo a los demás, no?
Mon Aug 17 19:57:31 PDT 2015 --  Remil amo el invierno pero VERANO llega ya #summer
Mon Aug 17 19:27:21 PDT 2015 --  Re flashé que todavía estabamos en el receso de invierno por pasarme estos tres días re acostada,comiendo&twiteando #LunesDeGanarSeguidores
