Sat Aug 22 03:40:51 PDT 2015 --  mpocius's video https://instagram.com/p/6rhx1cRxit/ 
Mon Aug 17 02:05:00 PDT 2015 --  #Zalgiris signs talented Isaiah Hartenstein to multiyear contract! He will stay in Germany for 1 season, then will join Lithuanian champions
Mon Aug 10 02:18:17 PDT 2015 --  Komplektacija baigta. Tikėtina, kad pasiruošimą sezonui komanda pradės be 8 žaidėjų, kurie atstovaus 5 šalių rinktinėms. Sėkmės jiems.
Tue Aug 04 03:11:11 PDT 2015 --  One more player contract signed. Wait for official news later today.
Sun Aug 02 10:21:06 PDT 2015 --  Hope that in couple years we can have Zalgiris play a game in South Africa as part of the successful project so far.
Sun Jul 19 02:37:42 PDT 2015 --  @JustinDentmon Regrets Not Going Overseas Sooner | Basketball Insiders | NBA Rumors And Basketball News #nba #uw http://www.basketballinsiders.com/justin-dentmon-regrets-not-going-overseas-sooner/ …
Fri Jul 17 04:04:56 PDT 2015 --  Welcome back, Mantas Kalnietis. pic.twitter.com/xAiDQa1DdQ
Fri Jul 17 00:14:23 PDT 2015 --  First job in the morning is putting a signature on new player agreement. Wait for the official news today...
Wed Jul 15 07:24:32 PDT 2015 --  Celebrating the anniversary of Zalgiris battle pic.twitter.com/BVCcYN4i0O
Thu Jul 09 05:39:21 PDT 2015 --  Burtai ivyko. Oficialiai prasideda ir pasiruosimas naujam sezonui... pic.twitter.com/KxYHaP9fqj
Thu Jul 09 05:32:29 PDT 2015 --  Family pic with Group C clubs @FCBbasket @paobcgr @lokobasket @bczalgiris @KSKBasket @basket_zg pic.twitter.com/D6HsGZnp95
Tue Jul 07 13:55:11 PDT 2015 --  Bcn susitikau su Plaza. Geras treneris. Nuostabus zmogus/in Bcn i met Juan Plaza. Great coach. Wonderful person. pic.twitter.com/VN3VT0zpi8
