Fri Aug 28 11:12:02 PDT 2015 --  Como cuantas personas estamos, y sin embargo, con que pocas somos.
Fri Aug 28 07:46:02 PDT 2015 --  ¿Quién dice que todo pasa y todo se olvida?
Mon Aug 24 08:02:02 PDT 2015 --  Te quiero porque tu boca sabe gritar rebeldía.
Mon Aug 10 12:43:04 PDT 2015 --  Hay una sola aspirina del alma y es el amor.
Sun Aug 02 15:10:09 PDT 2015 --  La vida no tiene un borrador, así que piensa antes de hacer las cosas.
Thu Jul 30 06:09:06 PDT 2015 --  Cada quién se engaña con la mentira que más le guste.
Mon Jul 27 14:09:07 PDT 2015 --  Los sueños sólo mueren si muere el soñador.
Thu Jul 09 06:48:04 PDT 2015 --  El "te lo dije" que más duele es cuando te lo dices a ti mismo.
Sun May 24 03:08:03 PDT 2015 --  Jamás pagues con la misma moneda, demuestra que eres mejor persona.
Sat Apr 04 21:26:06 PDT 2015 --  Muchas de las personas que demuestran un frío exterior, son las que más calor interior pueden llegar a dar.
Sat May 09 06:12:20 PDT 2015 --  Lo sabes... pic.twitter.com/ENOGOJQMSv
Thu May 07 13:04:05 PDT 2015 --  Me encantan los rumores sobre mí, me entero de cosas que ni yo sabía que había hecho.
Tue May 05 06:01:05 PDT 2015 --  Ten cuidado con algunas personas, hoy te abrazan y mañana te empujan.
Sat May 02 10:23:03 PDT 2015 --  Si no vas a cumplir, no prometas.
Thu Apr 02 09:05:05 PDT 2015 --  "Que bonito cuando esa persona hace lo que esperas sin que se lo pidas."
Sat Jan 24 13:45:36 PST 2015 --  pic.twitter.com/jQh0GEJaXD
Thu Jan 01 01:50:06 PST 2015 --  "To conquer fear is the beginning of wisdom." - Bertrand Russell
Tue Dec 30 09:04:36 PST 2014 --  @vegetta777 Laz campanadas pic.twitter.com/RT2Q3eUV9x
Sun Dec 14 01:50:05 PST 2014 --  "Life's Tragedy is that we get old too soon and wise too late." - Benjamin Franklin
Mon Nov 10 23:50:49 PST 2014 --  What you are will show in what you do. -Thomas Alva Edison #quotes
Tue Nov 11 06:17:03 PST 2014 --  "Be thankful for what you have, you'll end up having more." - Oprah Winfrey
Fri Nov 07 17:47:23 PST 2014 --  "To be fond of learning is near to wisdom." - Confucius
Fri Nov 07 22:07:13 PST 2014 --  "Nothing is more expensive than a missed opportunity." - H. Jackson Brown
Sun Nov 09 10:57:17 PST 2014 --  "Be a lifelong student. The more you learn, the more you earn and the more self-confidence you will have." - Brian Tracy
Mon Nov 10 08:33:59 PST 2014 --  Compañeros tóxicos para la salud: Aquellos que contagian negatividad, estrés y agresividad http://mun.do/1tUc8kG  pic.twitter.com/L7bWX8eZXx
Sun Oct 19 18:47:20 PDT 2014 --  "If you'll not settle for anything less than your best, you will be amazed at what you can accomplish in your lives." - Vince Lombardi
Fri Oct 10 07:17:21 PDT 2014 --  "The harder you work, the harder it is to surrender." - Vince Lombardi
Fri Sep 19 01:47:57 PDT 2014 --  #LaPortada 'Mejor ser tú mismo sin tener público que tener público sin ser tú mismo' (Cyril Connolly) #25ElMundo pic.twitter.com/TCIL9A48oD
Tue Aug 26 14:23:34 PDT 2014 --  Retweet if you agree that women deserve equal pay for equal work. #OpportunityForAll pic.twitter.com/RKgOASQ2LS
Wed Jul 23 10:12:11 PDT 2014 --  "Things which matter most must never be at the mercy of things which matter least." - Johann Wolfgang von Goethe
Sun Jul 20 01:50:13 PDT 2014 --  "Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence." - Helen Keller
Sun Jul 13 16:12:11 PDT 2014 --  "Nothing is more damaging to you than to do something that you believe is wrong." - Abraham
Wed Jul 09 07:17:51 PDT 2014 --  Cuando haces un directo????
Sun Mar 23 01:16:11 PDT 2014 --  "Instinct is untaught ability." - Alexander Bain
Wed Mar 12 11:04:30 PDT 2014 --  Si te dejo de querer va a ser en defensa propia.
Sun Mar 09 05:42:13 PDT 2014 --  "Vision is the art of seeing the invisible." - Jonathan Swift
Sun Feb 23 05:12:16 PST 2014 --  Tan simple,tan cierto pic.twitter.com/sOjz7BmIvA
Sun Feb 02 09:35:20 PST 2014 --  Los malvados son presos de sus propias acciones. #EsCosaDeJovenes
Sat Dec 21 08:04:15 PST 2013 --  Llevo un día entero queriendo decir algo sobre la nueva ley de aborto, pero aún no he conseguido inteiorizar que sea cierto #paisdepandereta
Sat Dec 21 01:47:47 PST 2013 --  Con esquizoides que creen en el Hombre del Espacio y justifican la nueva ley del aborto, no se habla. Se les pide que se mediquen más.
Fri Dec 20 08:05:40 PST 2013 --  Las mujeres no somos propiedad del Estado. Retroceso, prehistoria, pérdida de derechos...eso es la nueva Ley del Aborto
Sat Oct 05 02:47:32 PDT 2013 --  Nadal ya es el número 1 http://ow.ly/pwoeP 
Wed Oct 02 01:30:20 PDT 2013 --  "Everything you want is on the other side of fear." - Jack Canfield
Tue Sep 24 16:42:10 PDT 2013 --  "When you confront a problem you begin to solve it." - Rudy Giuliani
Thu Jul 11 11:00:42 PDT 2013 --  En un mundo lleno de hipócritas, los sinceros somos los malos.
Tue Jul 09 23:37:14 PDT 2013 --  "Improve your spare moments and they will become the brightest gems in your life." - Ralph Waldo Emerson
Mon Jul 08 02:07:19 PDT 2013 --  "To get the full value of joy, you must have someone to divide it with." - Mark Twain
Wed Jun 26 09:00:46 PDT 2013 --  A veces, todo lo que quieres llega después de que dejaste de buscarlo.
Fri Jun 21 07:07:34 PDT 2013 --  No sé si sigo esperando un mensaje tuyo por amor, por costumbre, o por estúpida.
Thu Jun 20 00:47:15 PDT 2013 --  "In order to make anything a reality, you have to dream about it first." - Adora Svitak
Sun May 12 18:02:59 PDT 2013 --  El amor más fuerte es aquél que puede mostrar su fragilidad.
Sun May 12 21:20:48 PDT 2013 --  La vida me ha enseñado que siempre hay que buscarle el lado bueno a las cosas y recordar que "todo pasa por algo".
Sun Dec 16 13:40:20 PST 2012 --  Amar es un arte, pero no todo el mundo es un artista.
Thu Dec 06 16:16:05 PST 2012 --  Que irónico, quien menos te conoce... suele ser quien más pronto se atreve a juzgarte.
Tue Jun 12 06:20:01 PDT 2012 --  Hay días que nunca debieron haber empezado y otros que nunca debieron haber acabado.
Thu Apr 12 04:50:55 PDT 2012 --  El amor verdadero es cuando alguien acepta tu pasado sin juzgarte, tu presente sin cambiarte y tu futuro sin limitarte.
Tue Mar 06 22:10:02 PST 2012 --  Las parejas que ya no se quieren, hacen el 96 en la cama.
Wed Jan 25 15:10:17 PST 2012 --  @patricortizas Claro siempre "positifo" nunca "nejatifo" como decia mi paisano por aquel entonces ;))
Wed Jan 25 15:05:11 PST 2012 --  Ahora a dormir, pero contenta porque el Madrid ha sido el mejor!!! HALA MADRID FOREVER
Wed Jan 25 15:03:09 PST 2012 --  @GUTY14HAZ Hemos metido 3 pese a quien le pese y hemos sido los mejores sin duda. Lamentable el pésimo arbitraje.
Mon Jan 23 21:24:02 PST 2012 --  Las princesas no deberían llorar y mucho menos... por sapos que se creían príncipes.
Wed Jan 18 15:30:40 PST 2012 --  Hora de ir a dormir, un poco triste pero Hala Madrid Forever!!!
Wed Jan 18 15:15:05 PST 2012 --  Me río de rooney, santos hay muchos pero en el cielo si quiere ser santo q predique con el ejemplo,hacer cosas incorrectas es de humanos.
Mon Jan 16 02:23:39 PST 2012 --  @Esme2Met Gracias Guapa, tu tambien que tengas una buena semana!!! Muacckkk!!!
Fri Jan 13 14:16:04 PST 2012 --  Mi ultimo tweet del día se lo dedico a Marta del Castillo, espero que algun día se haga justicia........ #INDIGNADOSporsentenciaMarta
Tue Jan 03 15:50:40 PST 2012 --  @14Marichi Hey copiona!!! (Es broma)
Mon Dec 26 14:58:28 PST 2011 --  El hecho de que te extrañe, no significa que te quiero de regreso en mi vida. Eres una costumbre, no una necesidad.
Sun Dec 25 12:34:21 PST 2011 --  No soy perfecto y no pretendo serlo, pero antes de señalarme con el dedo, por favor… lávate las manos.
Mon Dec 05 07:56:03 PST 2011 --  Un gran hombre demuestra su grandeza por el modo en que trata a los que son o tienen menos que él.
Thu Nov 10 21:28:08 PST 2011 --  Una mentira es una mentira aún si todos la creen. La verdad es la verdad aún si nadie la cree. (David Stevens)
Tue Nov 08 07:12:06 PST 2011 --  Mujer incendia casa de amiga por eliminarla de Facebook http://bit.ly/uYcdW8 
Mon Oct 31 08:44:32 PDT 2011 --  @jorge_cainzos JAJAJAJA, es q dan miedo verdad, aunque sepas q es mentira...
Sat Oct 29 14:57:04 PDT 2011 --  #MadridLASEXTA
Sat Oct 29 10:43:30 PDT 2011 --  @aplusk that happens to me a lot of times!
Thu Oct 27 06:44:52 PDT 2011 --  Mmmmm, bizar things happening over here..............
Wed Oct 26 08:28:47 PDT 2011 --  @jorge_cainzos Llueve los 7 mares tooo junto!!!
