Fri Aug 28 18:22:08 PDT 2015 --  Double chicken is the new Guac is extra !! @ChipotleTweets #Chipotle #Food #love
Fri Aug 28 16:11:45 PDT 2015 --  7 Days in hell on @HBO #tennis
Fri Aug 28 11:16:16 PDT 2015 --  "Painting is a lie that tells the truth Pablo" - Picasso Taken at #Cleveland #Art #Museum #HappyFriday pic.twitter.com/mwUXwoFAih
Thu Aug 27 17:42:14 PDT 2015 --  "Remember People used to give access to Contacts, Profile info,Mobile No, Media for every single crappy App they installed" - 2020 #SMH
Thu Aug 27 14:08:55 PDT 2015 --  My idea of a first date involves, Me, Going through your Google browsing history. #software #Dating #tips #future #Scifi #Love #Periscope
Thu Aug 27 09:48:23 PDT 2015 --  My #Chipotle combo kicks your #Chipotle combo in the Beans #Lunch #Meat #chicken #Guacamole
Thu Aug 27 09:12:53 PDT 2015 --  Pls DM me, If you know How to pick the Perfect Banana from a Cluster - Thanks #MINIONS #boats #food #Vitamins #Farmers #EatHealthy
Wed Aug 26 11:16:56 PDT 2015 --  "Rome wasn't built in a day!" - Software #tech #SDCC2015 #Programming #QuotesOfTheDay #quotes #travel #Food #guacamole #Internet #Scifi
Tue Aug 25 20:10:08 PDT 2015 --  Let's be honest, Hacking is a result of some programmers lousiness. #TimeforBetterCode #cybersecurity #security #Tech #Software #Cleancode
Tue Aug 25 15:48:58 PDT 2015 --  Don't let your routines turn into rituals, break the patterns good and bad - #RaviBaba
Tue Aug 25 05:29:36 PDT 2015 --  Trust your Body - #Ravibaba
Tue Aug 25 05:18:13 PDT 2015 --  #NowPlaying Lost? by @Coldplay via @Spotify #Music #Coldplay #Spotify ♫ http://spoti.fi/NwJtNx 
Tue Aug 25 05:09:27 PDT 2015 --  I prefer " All the best" over "Good luck". What do you like?
Mon Aug 24 10:10:48 PDT 2015 --  Yayyy, I finally Graduated!!!!!! .. ... From a Medium to Large T-shirt size. #HappyMonday #smile #LoL#Cheese #Pizza #Workout
Mon Aug 24 05:08:07 PDT 2015 --  #NowPlaying Renegades by X Ambassadors #Monday#Motivation #Music ♫ http://spoti.fi/1HAz965 
Sat Aug 22 18:55:36 PDT 2015 --  Got to see #Monet paintings at #Cleveland art museum! #art #paintings #Cle #Picasso #vangogh #Lillies #Sun pic.twitter.com/bvI3Lic93w
Sat Aug 22 11:35:12 PDT 2015 --  I'm voting for #DeezNuts #BluntTalk #COYS #DeezNutsForPresident #Shoreham #MUFC #gopdebate #HarryPotter #quotes
Thu Aug 20 03:08:13 PDT 2015 --  u can only bring sexy back if u have the receipt
Thu Aug 20 01:13:13 PDT 2015 --  attractive person: hey whats up? me: who paid u
