Mon Aug 17 19:20:12 PDT 2015 --  Day jumped plenty of hurdles on his way to winning his first major, writes @RexHoggardGC: http://bit.ly/1K2S4pV  pic.twitter.com/8OaiVBjDfG
Sun Aug 16 22:00:33 PDT 2015 --  Hoist that trophy, @JDayGolf. https://vine.co/v/eprrgIUaxrM 
Sun Jul 26 02:06:56 PDT 2015 --  まいにちまいにち暑い〜(笑) 最近はノースリーブお気にいり pic.twitter.com/yOkS0wCccn
Sat Jul 18 07:27:06 PDT 2015 --  それとトムさん応援来てくれてびっくりしたしめっちゃうれしかった〜 またぜったいお家いかなきゃ
Sat Jul 18 07:24:26 PDT 2015 --  世界ジュニア7位だったー！ アメリカたのしかった ひまわりちゃんには本当に感謝してます来年もお願いします！なさちゃん優勝おめでとうございますこれからも試合続くから頑張ろう最後のはHaleyと pic.twitter.com/SPWVx9UBqb
Sun Jul 12 20:28:24 PDT 2015 --  きあなちゃんめっちゃかわいい カートの中入ってきた(笑) pic.twitter.com/WcxK5WDylS
Fri Jul 10 19:07:19 PDT 2015 --  アメリカなう アメリカンなハンバーガーたべた めっちゃおいしくてお腹いっぱい。 pic.twitter.com/kgN39L5hjw
Fri Jun 26 18:06:45 PDT 2015 --  iKON☞｢Wait for me｣ pic.twitter.com/kTxkpMJD8c
Fri Jul 03 09:10:30 PDT 2015 --  #mino #smtm4 Full video http://winnerupdates.blogspot.com/2015/07/mino-show-me-money-episode-2-150702.html … pic.twitter.com/2ygVpGgvA6
Thu Jul 02 22:39:21 PDT 2015 --  ひまわりちゃん2日間ありがとうございましたすっごいたのしかった それと優勝おめでとうございます！！ とりあえずひさしぶりに60台でまわれてよかった本戦も頑張ってくださいね
Sat Jun 20 03:39:40 PDT 2015 --  おにいちゃんおつかれさま！ 中学から陸上やって全中もいったしほんとにすごいとおもう勉強と部活の両立とかムリだと思ってたけどおにいちゃんみて出来るんだって思ったこれからは受験に向かって頑張れ pic.twitter.com/BsWNr3d07c
Wed Jun 10 15:23:29 PDT 2015 --  北海道なう！ 超さむい！ pic.twitter.com/xThReSAhaL
Sun Jun 07 02:43:25 PDT 2015 --  @RioIshii いしいりお まじおめでと ほんとかっこよかった また練ランしてください。。笑 いつでも新潟行きます、笑
Sun Jun 07 00:52:07 PDT 2015 --  ヨネックスレディスおわり！ 3日間 1アンダーで初のローアマ たくさんのプロとまわれてすごく楽しかった！応援してくれた方たち、本当にありがとうございました！これからもゴルフ頑張ろう pic.twitter.com/p5AQCvuYZc
Sun Jun 07 00:35:18 PDT 2015 --  りおちゃんすごいかっこいい！ 自慢の友達だ（＾＿＾） pic.twitter.com/3W6B61Jm42
Sat Jun 06 01:27:44 PDT 2015 --  あのOBで全てが終わった。 なんだこれ悔しすぎる。 でもすんごい楽しかったな 再来週ニチレイレディース。 今度こそ通過して いい成績残せるように 練習しよ。笑 いしいりお明日もふぁいと 【 @RioIshii 】 pic.twitter.com/9J0mpfgx1W
Wed Jun 03 03:25:47 PDT 2015 --  2015新潟県高校総体陸上　男子八種競技総合得点 ① 5146　石井　雄大（新潟3） ② 5138　渡辺　悠太（糸魚川白嶺3） ③ 5085　松永　恵介（佐渡3） ④ 4737　丸山　大輔（十日町2） 以上北信越大会出場 ⑤ 4687　関塚　　忍（東京学館新潟3）
Wed Jun 03 03:34:40 PDT 2015 --  おにいちゃん県大会優勝おめでとう〜見れなかったけどわたしも明後日から頑張ろうおにいちゃんおつかれさまでした！！
