Sat Aug 08 06:03:30 PDT 2015 --  Still can't stop watching this kid absolutely adore this banana gift pic.twitter.com/CWXV4xuKNh
Fri Jul 31 09:22:58 PDT 2015 --  YOU GET A BREWER! YOU GET A BREWER! EVERYBODY GETS A BREWER! pic.twitter.com/wTLvc1e6W4
Fri Jul 31 09:21:22 PDT 2015 --  Damn the @brewers are dealing! Blow it up Doug....blow it up!!! @WINsconsin26 @1057FMTheFan @
Tue Jul 21 18:37:46 PDT 2015 --  @Bucks @BucksBango let the games begin, buck.
Tue Jul 21 11:06:39 PDT 2015 --  out for a stroll
Wed Jul 15 15:47:51 PDT 2015 --  IT PASSED. 21-10!!!!!!!!!!!!!!!!
Tue Jul 14 17:17:52 PDT 2015 --  Silver said he expects the Bucks arena vote will pass tomorrow and not relocate to Vegas
Mon Jul 13 08:07:20 PDT 2015 --  I support the arena deal for the Milwaukee Bucks. See my press release asking legislators to do the same. pic.twitter.com/mST7VECHst
Fri Jul 10 08:34:02 PDT 2015 --  What benefits WI more? $1.28 for new entertainment district that keeps pro sports franchise, or $2.38 cup of coffee? pic.twitter.com/QheOwjRPUX
Tue Jul 07 20:22:21 PDT 2015 --  Milwaukee friends...call up Screamin' Lena Taylor to vote YES for the arena! #SaveOurBucks
Tue Jul 07 20:19:57 PDT 2015 --  No apologies for all my tweets regarding the @Bucks arena. If the Bucks leave,Wisconsin loses money, jobs, tax revenue and a strong fan base
Tue Jul 07 12:43:45 PDT 2015 --  Every time I think things are going well https://vine.co/v/enhjKXxjPrT 
Thu Jul 02 12:21:20 PDT 2015 --  Along with youth, the Bucks also have height/length! And they have ALOT! ( @ESPNStatsInfo) pic.twitter.com/IDF0qFDFHD
Tue Jun 30 15:39:37 PDT 2015 --  http://foxsports.com  >> AP source: Jared Dudley staying in Milwaukee next season http://buzztap.com/-i0MrF6 
Fri Jun 26 10:17:26 PDT 2015 --  Is this @HawkeyeFootball's idea of spygate? pic.twitter.com/s660lpRMxv
Wed Jun 24 21:04:33 PDT 2015 --  pic.twitter.com/Jc7lk63Blq
Wed Jun 24 10:24:30 PDT 2015 --  To paraphrase Sam Dekker today, if the #Bucks take me at 17, it'd be God telling me never to leave Wisconsin.
Tue Jun 23 13:08:41 PDT 2015 --  Carmelo gave us the MeloDrama Dwight gave us the DwightMare Need a catchy name for Cousins situation. Boogie Nights?
Thu Jun 18 18:57:36 PDT 2015 --  Let your followers know you support a new arena in downtown Milwaukee! pic.twitter.com/w4LZg3v0vz
Wed Jun 17 18:47:09 PDT 2015 --  Great view! pic.twitter.com/cUjpZ69TOo
Wed Jun 17 09:11:23 PDT 2015 --  Now that the finals is over, time to get to that draft and free agency
Tue Jun 16 14:10:16 PDT 2015 --  pic.twitter.com/AFicLTkdGE
Tue Jun 16 14:08:52 PDT 2015 --  LOL. https://twitter.com/PeaceLoveFlake/status/610915883095949314 …
Mon Jun 15 09:46:58 PDT 2015 --  . @XboxP3 announces Xbox One Backward Compatibly. Play Xbox 360 games on Xbox One starting today for Preview members pic.twitter.com/P8ex2G0OO6
Mon Jun 15 09:19:33 PDT 2015 --  #RachelDolezal just threw all her weaves into a dumpster
Mon Jun 15 09:17:35 PDT 2015 --  We're being told to take cover behind vehicles. Not sure why. #ARNews
Fri Jun 12 17:19:43 PDT 2015 --  #AskRachel Which man is holding a hoe? pic.twitter.com/kSqLf40wOv
Sun Jun 07 06:09:11 PDT 2015 --  Milwaukee representing 10,000 strong for the @bucks ...just to look at uniforms. Quite a statement. pic.twitter.com/wKL3ysh0kP
Sat Jun 06 12:14:27 PDT 2015 --  Man those new @Bucks jerseys are sick!!! I need need need the home one screw it give me one of each
Wed May 13 08:39:48 PDT 2015 --  pic.twitter.com/JIeWERKz6R
Thu Apr 30 15:31:34 PDT 2015 --  I'm going to apologize right now to my wife for the loud cheers and screams that she is about to hear tonight..lets go @bucks! #FearTheDeer
Thu Apr 30 15:23:55 PDT 2015 --  Bucks employees are casually giving GREEN Bucks shirts to any Bucks fan wearing red! SO COOL! @SparkyRadio pic.twitter.com/1X35Oo0Nle
Thu Apr 30 08:58:43 PDT 2015 --  THANKS FOR THE BURRITO @_John_Henson_ pic.twitter.com/4bIKTUQrVj
Mon Apr 27 19:02:30 PDT 2015 --  Heading to the 4th up 6. Gotta leave it all out there! Let's go @Bucks keep up the D!
Mon Apr 27 19:00:58 PDT 2015 --  Pau Gasol pic.twitter.com/xTy1B2Bawa
Sat Apr 25 17:25:04 PDT 2015 --  I hope there's a lot of traffic on I-94 tonight so Bulls fans have some time to reflect on their life choices.
Sat Apr 25 17:19:44 PDT 2015 --  BAYLESS FOR THE WIN!!!! https://vine.co/v/eWeMeEeEVBF 
Sat Apr 25 17:16:13 PDT 2015 --  I don't know if I can handle overtime again! Ahhhhh cmon bucks hit the big shot and close this out! #Bucks #OwnTheFuture
Sat Apr 25 17:12:29 PDT 2015 --  I can't take this stress cmon @bucks!
Thu Apr 23 19:42:54 PDT 2015 --  Ok @Bucks let's put this game away!
Thu Apr 23 17:48:30 PDT 2015 --  Giannis with that Westbrook look https://vine.co/v/eaET1FYnzgt 
Fri Apr 17 20:18:22 PDT 2015 --  Together. #OwnTheFuture pic.twitter.com/7k8dgSrED2
