Thu Aug 27 20:32:42 PDT 2015 --  The Ryzza Mae na po #ALDUBGettingCLOSER
Thu Aug 27 20:25:24 PDT 2015 --  YEY! WELCOME BACK TO BICOL BAE @aldenrichards02 Yung pinapadala ni Lola ha hihihi. Ingat! #ALDUBGettingCLOSER https://twitter.com/maiden16_bicol/status/637102817518288897 …
Thu Aug 27 20:18:58 PDT 2015 --  #ALDUBGettingCLOSER Yes,I LOVE GETTING CLOSER na nga kay Bae @aldenrichards02 ang ating @maiden16_bicol Chapter. Follow them for updates!
Thu Aug 27 20:19:07 PDT 2015 --  AlDub to join cast of MMFF entry ’Rom-comin Mo Ako’ SEE MORE: http://manila.coconuts.co/2015/08/28/aldub-join-cast-mmff-entry-rom-comin-mo-ako … #ALDUBGettingCLOSER pic.twitter.com/btTb2ZuGES
Thu Aug 27 19:32:04 PDT 2015 --  Top 10 'kilig' moments from KalyeSerye SEE MORE: https://shar.es/1vrQ35  via @inquirerdotnet #ALDUBGettingCLOSER pic.twitter.com/yMC1AT0g4H
Thu Aug 27 19:54:23 PDT 2015 --  We are #ALDUBGettingCLOSER ! Team Bicol here in Airport para salubungin si Bae @aldenrichards02 ! @MaineAlden16 pic.twitter.com/rgrhLpPU55
Thu Aug 27 18:52:08 PDT 2015 --  Para sa HAMON ni Lola Go Bae @aldenrichards02 <3para kay Maine este kay Yaya Dub @mainedcm (CTTO) #ALDUBGettingCLOSER pic.twitter.com/dP84rMWJ7N
Wed Aug 26 23:26:57 PDT 2015 --  Yung time na sinasabi ni Lola na kung seryoso ba siya kay @mainedcm Haha @aldenrichards02 Ngiti<3 #HappyALDUBWeeksary pic.twitter.com/RgkDP5KTF5
Wed Aug 26 23:24:09 PDT 2015 --  The Kiss tho, Feel na feel ni Bae @aldenrichards02 Haha, Kinikilig @mainedcm <3 #HappyALDUBWeeksary pic.twitter.com/zAQKmUSWbX
Wed Aug 26 23:16:58 PDT 2015 --  GMA files NTC complaint vs. SkyCable for signal loss during Eat Bulaga https://shar.es/1vgoLu  #HappyALDUBWeeksary pic.twitter.com/0Smc3749OF
Wed Aug 26 22:43:07 PDT 2015 --  Halaaaa! Si Alden may kinukwento lagi kay Sam, Ryan at Jose! Waaah. Kwento niyo po please. Hahaha. #HappyALDUBWeeksary
Wed Aug 26 22:40:44 PDT 2015 --  Lola: Jose! Jose! Parang tayong dalawa na lang ang umaarte dito sa kalyeserye, yung dalawa totoo na! natural na. :""> #HappyALDUBWeeksary
Wed Aug 26 22:37:04 PDT 2015 --  Lola: Yaya, dati nung nagddubsmash ka, nagpapapangit ka. Bakit ngayon, hindi mo na ginagawa? #HappyALDUBWeeksary
Wed Aug 26 22:35:57 PDT 2015 --  "Aktingan lang ito, Alden! Huwag ka namang ano!" - Lola Nidora. Ako naman ang tiklop dito! Ang husay mo Lola! #HappyALDUBWeeksary
