Fri Aug 28 22:31:35 PDT 2015 --  Podría desaparecer y nadie lo notaría.
Fri Aug 28 21:25:43 PDT 2015 --  @Real_Liam_Payne I'm crying a river because of the birthday #HappyBirthdayLiam pic.twitter.com/OyxTk9fylG
Fri Aug 28 21:24:16 PDT 2015 --  *En el concierto de mañana* Fandom: Happy birthd... Liam: Sing it!! #HappyBirthdayLiam pic.twitter.com/ZSwiNx747t
Fri Aug 28 21:25:06 PDT 2015 --  #HappyBirthdayLiam
Fri Aug 28 18:22:48 PDT 2015 --  Got a feeing that I'm going under
Thu Aug 27 17:22:54 PDT 2015 --  Que mierda es levantarse a las 06:00 p.m para ir al Puto colegio.
Thu Aug 27 16:51:38 PDT 2015 --  Espero que todas esas personas que las mandé a la mierda, hayan llegado bien a su destino.
Thu Aug 27 16:12:25 PDT 2015 --  Reprobé..
Thu Aug 27 16:10:43 PDT 2015 --  El día es una mierda, na, na, na.
Thu Aug 27 16:10:14 PDT 2015 --  #NuncaFaltaEnLaPrimaria Los Boludos que se hacen los Graciosos
Thu Aug 27 16:07:36 PDT 2015 --  Dormí 4 horas y sigo con sueño..
Thu Aug 27 16:06:34 PDT 2015 --  Con música todo es mejor
Thu Aug 27 16:05:13 PDT 2015 --  Como Mierda hace la gente para levantarse de buen Humor?
Thu Aug 27 14:58:08 PDT 2015 --  LA NOCHE MAS FAIL DE MI VIDA | GIIAN PA https://youtu.be/pGYBPuAs2Bw  vía @YouTube #VideoNuevoDeGiianPa
Tue Aug 25 19:43:16 PDT 2015 --  CADENA DE VOTOS DA RT RESPONDE VOTANDO DA RT A TODOS LOS DEMÁS VOTOS #OTRAMilwaukee #MTVHottest One Direction
Tue Aug 25 16:36:54 PDT 2015 --  SI CADA DIRECTIONER QUE VE ESTE TUIT DA RT VAMOS A GANAR SOMOS UN EQUIPO #MTVHottest One Direction pic.twitter.com/5uwT3KePdo
Tue Aug 25 15:40:44 PDT 2015 --  UN RT= UN VOTO ULTIMAS HORAS DE VOTACIONES #OTRAMilwaukee #MTVHottest One Direction pic.twitter.com/ixjSTMaHQH
Tue Aug 25 15:39:24 PDT 2015 --  UN RT= UN VOTO ULTIMAS HORAS DE VOTACIONES #OTRAMilwaukee #MTVHottest One Direction pic.twitter.com/A4xXJksTdf
Tue Aug 25 09:41:47 PDT 2015 --  ULTIMO DIA DE VOTACION CADENA D VOTOS DA RT RESPONDE CON 5 VOTOS DA RT A LAS RESPUESTAS #MTVHottest One Direction pic.twitter.com/2ROCQGdPp9
Mon Aug 24 22:34:41 PDT 2015 --  Paramore: Decode es la única canción que me hace sentir bien..
Mon Aug 24 22:29:03 PDT 2015 --  Quizás si mentí cuando dije que estaba bien.
Mon Aug 24 22:28:03 PDT 2015 --  Creo que la música es todo para mi.
Mon Aug 24 22:26:27 PDT 2015 --  Dicen que la música ayuda a escapar de la Realidad.
Mon Aug 24 22:25:58 PDT 2015 --  No puedo sonreír y seguir la corriente, porque la verda des que estoy cansada.
Mon Aug 24 22:14:43 PDT 2015 --  Es como gritar y que nadie te escuche.. Te sientes vacío.
Mon Aug 24 22:09:14 PDT 2015 --  El mundo es una mierda, la gente no es verdadera.
Mon Aug 24 22:08:13 PDT 2015 --  No te pido que me perdones, solo te pido que me entiendas..
Mon Aug 24 18:23:01 PDT 2015 --  Corremos el riesgo de estar en segundo lugar Si eres Directioner da RT #OhNoTheSun #MTVHottest One Direction pic.twitter.com/4lKCtRdX1g
Mon Aug 24 18:06:20 PDT 2015 --  Corremos el riesgo de estar en segundo lugar Si eres Directioner da RT #OhNoTheSun #MTVHottest One Direction pic.twitter.com/ulprvrwE19
Mon Aug 24 10:49:57 PDT 2015 --  Por favor, díganme que no es cierto...
Sun Aug 23 21:12:19 PDT 2015 --  HACEMOS MARATON DE VOTOS? #OTRAChicago #MTVHottest One Direction
Sun Aug 23 12:56:55 PDT 2015 --  PONGANSE A VOTAAAAAR 1 RT = 1 VOTO #WhyILoveLiam #WeMissYourVoiceZayn #MTVHottest One Direction pic.twitter.com/ae3hAivFVL
Sat Aug 22 20:54:15 PDT 2015 --  Leer "El Diario De Una Suicida | N.H y L.T - Capitulo 75 - Pagina 73" #wattpad #fanfic http://w.tt/1NCYYDx 
Sat Aug 22 19:39:36 PDT 2015 --  Uh este esta bueno pic.twitter.com/jgaxMnK4Fn
Sat Aug 22 19:43:01 PDT 2015 --  pic.twitter.com/8MeWBw5rHy
Sat Aug 22 18:52:36 PDT 2015 --  #MTVHottest One Direction
Sat Aug 22 18:49:04 PDT 2015 --  @H4RRY_S7YLES #MTVHottest One Direction pic.twitter.com/kNYAdlzPCF
Fri Aug 21 20:44:55 PDT 2015 --  CADA RT CUENTA COMO UN VOTO #DragMeDownMusicVideoisOut #MTVHottest One Direction
Fri Aug 21 16:17:11 PDT 2015 --  Intentando jugar agar.io!! https://youtu.be/sXrzfjJrcko  vía @YouTube
Wed Aug 19 10:04:37 PDT 2015 --  Los gatos saben lo que es bueno pic.twitter.com/A0S3yrCuoH
Tue Aug 18 18:32:34 PDT 2015 --  pic.twitter.com/4i8kr7x5rA
Mon Aug 17 21:18:17 PDT 2015 --  " zaynmalik1D " "Zayn Malik" " zayn " Coming soon: "z " . @zaynmalik
Mon Aug 17 20:04:11 PDT 2015 --  Un RT= UN VOTO #MTVHottest One Direction pic.twitter.com/D7Vk6vbatU
Mon Aug 17 17:16:21 PDT 2015 --  ~¿De qué serviría que te tatuaras un triángulo si nadie tuviera tu relleno?
Mon Aug 17 14:54:44 PDT 2015 --  SPAM PARA SUMAR VOTOS Voy a poner fotos de los chicos y tu darás RT y te doy un pan. #MTVHottest One Direction pic.twitter.com/z15pXw9OQn
Mon Aug 17 14:53:47 PDT 2015 --  Nadie nota tu tristeza nadie nota tu dolor, nadie nota tus lágrimas pero, si tus errores. #MTVHottest One Direction
Mon Aug 17 14:52:46 PDT 2015 --  Hahaha, Harry Fotógrafo. #'MTVHottest One Direction
Mon Aug 17 14:33:24 PDT 2015 --  #ZaynMalikvsCalvinHarris Zayn
Mon Aug 17 12:36:25 PDT 2015 --  Y el vídeo de Drag Me Down sigue sin salir...
Sun Aug 16 18:42:18 PDT 2015 --  Mañana es lunes pero me chupa 3 huevos porque es feriado.
Sun Aug 16 17:26:52 PDT 2015 --  My life and my future is in the hands of God
Sun Aug 16 16:37:28 PDT 2015 --  https://youtu.be/5GEykLC7NPo 
Sun Aug 16 16:22:35 PDT 2015 --  Tengo una adicción extrema con los sugus de frutilla..
Sun Aug 16 16:21:58 PDT 2015 --  Se empieza a volar con una bolsa llena de suerte y otra vacía de experiencia;
Sat Aug 15 16:45:26 PDT 2015 --  Voy a subir 500 fotos de los chicos, si cada una tiene 50Rts haremos 25000 votos juntas #MTVHottest One Direction pic.twitter.com/Bf7Ww4GTpm
Sat Aug 15 16:22:25 PDT 2015 --  ME SIGUES=TE SIGO ME DAS RT=TE RECOMIENDO #SabadoDeGanarSeguidores x2
