Sat Aug 15 11:04:24 PDT 2015 --  My Turn - {Comedy Sketch}: http://youtu.be/ggvo1QhWmMQ?a  via @YouTube
Mon Aug 10 11:23:45 PDT 2015 --  When you just sad in side but gotta push your smile to show your OK Jy
Tue Aug 04 16:10:01 PDT 2015 --  NEW OG JORDAN UNBOXING VIDEO AND CARE PACKAGE! COME WATCH! http://youtu.be/JfutxJhBCpo?a 
Sun Aug 02 09:40:59 PDT 2015 --  Thinking of giving these away pic.twitter.com/38BucW3tMy
Thu Jul 23 14:16:28 PDT 2015 --  (VLOG # 167) WILD ASS PARTY @TRABASS_TV https://youtu.be/NwQ1H7mdh8g  via @YouTube
Fri Jul 17 16:22:55 PDT 2015 --  LIVE on #YouNow - http://www.younow.com/SEligio100/58596495/12465151/1021/b …
Wed Jul 15 21:01:37 PDT 2015 --  I Can't wait https://twitter.com/SneakerWlRE/status/621187221547159552 …
Mon Jul 13 12:57:47 PDT 2015 --  Your dat nigga from the coconuts tree @TRABASS_TV
Thu Jul 09 15:32:18 PDT 2015 --  I always stick to myself you naver have someone to hold you down jy
Fri Jun 19 12:55:20 PDT 2015 --  7. Trabass - You Alone @trabass_tv https://instagram.com/p/4H4tMttRby/ 
Fri Jun 19 22:02:03 PDT 2015 --  Damm b I gotta think how this shut work pic.twitter.com/Z30R8GNgDn
Fri Jun 19 06:45:17 PDT 2015 --  When you’re trying to work on your “attitude” and somebody pisses u off pic.twitter.com/lqRQtqCuBH
Thu Jun 18 09:04:23 PDT 2015 --  I just entered the Beats By Dre #MyMixtapezGiveaway via @mymixtapez x @iamdjfresh, Enter here: http://bit.ly/1zVpgvw 
Wed Jun 17 13:42:20 PDT 2015 --  Limited Edition Golden State Warriors Socks ($9.95) Purchase Here: http://cocky-socks.myshopify.com/collections/shop-all/products/2015-nba-champs-golden-state-warriors-limited-edition … pic.twitter.com/AlX84lbOwk
Wed Jun 17 07:12:54 PDT 2015 --  I just entered the Beats By Dre #MyMixtapezGiveaway via @mymixtapez x @iamdjfresh, Enter here: http://bit.ly/1zVpgvw 
Fri Jun 12 08:36:02 PDT 2015 --  don't say anything just RT pic.twitter.com/gZPKe2QfOi
Sun May 31 20:55:21 PDT 2015 --  Bruh miss in a relationship tho
Sun May 17 19:36:33 PDT 2015 --  R.I.P pic.twitter.com/oYqXGlTmcv
Sat Mar 21 19:51:46 PDT 2015 --  I wanna be rich not famous pic.twitter.com/XJqCbxneHj
Sat Mar 21 19:51:10 PDT 2015 --  I'm try make it pic.twitter.com/J5fYVc8a9e
