Thu Aug 27 06:24:59 PDT 2015 --  If you ain't fukin wit my campaign ain't no love there #thinkaboutit #chosenone #wrofutureHendrix
Wed Aug 26 11:12:30 PDT 2015 --  Praying for everyone's health this season. A lot of guys who are major contributors to this organization getting hurt.
Mon Aug 10 11:38:22 PDT 2015 --  Take away them likes and statues everybody will be stuck in the same perception of life but in today's world pic.twitter.com/brqbzOkHny
Sat Aug 08 10:20:36 PDT 2015 --  Is mansion in Richmond going to be like that tonight?
Thu Aug 06 05:06:12 PDT 2015 --  Got the game from them old ninjas got know where I'm from to get to know a ninja #KnoTheMeaning #HTTR pic.twitter.com/PdvDnhKTqM
Mon Aug 03 09:54:55 PDT 2015 --  Be humble in your confidence, yet courageous in your character #WindmillWisdom
Sat Aug 01 07:38:27 PDT 2015 --  but ok I'm done haha back to wats important getting healthy and supporting my teammates
Sat Aug 01 07:38:16 PDT 2015 --  One year ago I was a boy now I feel like I grown to a man with a better mindset
Sat Aug 01 07:25:01 PDT 2015 --  #HTTR #breelandisland #KnoTheMeaning
Sat Aug 01 07:24:38 PDT 2015 --  Storm shall pass
Sat Aug 01 07:24:23 PDT 2015 --  The same it won't kill us only make us strong especially if the struggle didn't! And wit my commanders and fellow soldiers on my side the
Sat Aug 01 07:22:37 PDT 2015 --  The man (alter ego) on the road to so Ima take this suspension like a man and shoutout for my fans and redskins organization to do
Sat Aug 01 07:19:48 PDT 2015 --  Real fans who know I made a stupid rookie mistake a year ago and I have grown from a boy to a man! Everything comes wit consequences and I'm
Sat Aug 01 07:16:49 PDT 2015 --  Fans, family and friends who wish me well and sent encouraging words my way appreciate it! Makes me want to grind even harder! And to my
Sat Aug 01 07:14:36 PDT 2015 --  Some act as if they didn't know when it's brought to the light again smh, know my vision and my grind before you judge me thanks to those
Thu Jul 30 07:00:08 PDT 2015 --  Let's turn uppppppp Richmond #breelandisland #
Tue Jul 28 19:05:28 PDT 2015 --  What's good Richmond?
Sun Jul 26 07:44:35 PDT 2015 --  
Sat Jul 25 09:08:36 PDT 2015 --  Yesterday morning work with my bro @salute_me17 . #Breelandisland X #TheFootDoctor https://instagram.com/p/5kLXtCofxS/ 
Sat Jul 25 01:48:17 PDT 2015 --  So many things racing through my mind yet only a couple things always standout
Fri Jul 24 21:15:33 PDT 2015 --  Everyone have a blessed night and a good night's rest! The things of today should not be the things of tomorrow! Fresh Start! #Peace
Thu Jul 23 19:22:08 PDT 2015 --  They ain't know I knew the game and how to reinvent it #ds2
Tue Jul 21 09:52:20 PDT 2015 --  Everything I did was premeditated #ds2knowthemeaning
Mon Jul 20 10:11:29 PDT 2015 --  Killer instinct and I move so swift something like islands of adventure #thinkaboutit
Mon Jul 20 10:01:27 PDT 2015 --  True words @TheRealMikeEpps https://twitter.com/therealmikeepps/status/623169511961796613 …
Sun Jul 19 13:53:29 PDT 2015 --  How can I instill my vision my confidence that I'm the best in the most humblest way in a world full of envy? #seeit #believeit #achieveit
Wed Jul 15 21:01:03 PDT 2015 --  What's jumpin tonight Atl?
Tue Jul 14 12:12:20 PDT 2015 --  Protect it
Tue Jul 14 12:10:10 PDT 2015 --  Back to those chess pieces the king is consider as your mind! #slowdownthink
Tue Jul 14 07:46:09 PDT 2015 --  Monkey see monkey do pic.twitter.com/rm4YVVtRja
Sun Jul 12 15:32:42 PDT 2015 --  Reading n2errr chess piece really describe life if u look deep in the word play of the game #slowdownthink your next move going to be #great
Sat Jul 11 12:20:35 PDT 2015 --  It ain't bout what you walk away from, it's bout what you walk away with.
Tue Jul 07 23:02:55 PDT 2015 --  #trainingday pic.twitter.com/oQAC51tlRW
Tue Jun 30 10:20:13 PDT 2015 --  Think on your toes or get left🏿🏼 #HTTR
Wed Jun 24 15:43:01 PDT 2015 --  Checkmate in 3
Sat Jun 20 12:30:09 PDT 2015 --  Joined in and I was proud to be apart of it!
Sat Jun 20 12:27:10 PDT 2015 --  Ball hawk academy showed me a good time today! Gaining and giving positive knowledge to the youth in a hands on way community
Fri Jun 19 12:59:25 PDT 2015 --  Girls be thinking they are side piece during football season #marriedtothegame
Fri Jun 19 04:20:08 PDT 2015 --  Whose making plans for me today haha?
Thu Jun 18 09:05:11 PDT 2015 --  Prayers out to the family and everyone involved in that tragic event in Charleston sc # if you not safe in the house of Da lord where then?
Wed Jun 17 05:09:09 PDT 2015 --  Love these moments pic.twitter.com/hK9jjBtP1n
Wed Jun 17 04:54:48 PDT 2015 --  Looking deeply into football and life it's every bit of chess
Tue Jun 16 08:45:44 PDT 2015 --  Keep them eyes on his prey pic.twitter.com/bBJlMCPWj9
Mon Jun 15 16:20:40 PDT 2015 --  Bored today where's everybody tho
Sat Jun 13 00:19:17 PDT 2015 --  When you keep it real wit da homies it tends to reflect.... In a good way.
Fri Jun 12 08:00:07 PDT 2015 --  RT to wish #Redskins S @Jus_Showoff a happy birthday! #SkinsBirthday #HTTR pic.twitter.com/HDP5OGhNGa
Thu Jun 11 21:35:44 PDT 2015 --  Can't compare me to most of these guys... Most of em ain't even writing they own raps ... All mines from the muscle no pranks
Tue Jun 09 14:44:26 PDT 2015 --  Who twists locks around ashburn?
Mon Jun 08 22:28:32 PDT 2015 --  You can teach me but that player come within my first chess move decision to step out and gamble with myself next move come out impressu
Mon Jun 08 04:44:13 PDT 2015 --  
Thu Jun 04 19:06:00 PDT 2015 --  Oh my
Thu Jun 04 18:47:03 PDT 2015 --  Got to find away to plug the paint
Thu Jun 04 18:42:11 PDT 2015 --  Agreed need to step d up
Thu Jun 04 18:35:07 PDT 2015 --  I respect both teams just feel warriors go take this one!
Thu Jun 04 18:27:48 PDT 2015 --  Cavs got to have 20 offensive rebounds them boys kinda big in the paint
Thu Jun 04 17:57:55 PDT 2015 --  Golden state in five?
Thu Jun 04 14:42:50 PDT 2015 --  Beginning of many #nonstoppersuit pic.twitter.com/VGVW5OZorh
Thu Jun 04 13:38:41 PDT 2015 --  Show me the light I'll show you every dark passage it took to get there #butiwasmadeforit
Thu Jun 04 03:13:00 PDT 2015 --  #focus
Tue Jun 02 04:10:48 PDT 2015 --  
Sat May 30 14:21:49 PDT 2015 --  What's the move for today?
Tue May 26 11:00:03 PDT 2015 --  Now thats how we practice practice!!!!!! #weondateverymomentgrind #goingofftoNasa
Tue May 26 07:57:11 PDT 2015 --  What a good day for some footbal!!! #blessed #getbettereveryday #lovethegame #witapassion #HTTR
Mon May 25 11:45:19 PDT 2015 --  There's no such thing as NFL off season anymore. News every week.
Fri May 22 11:40:28 PDT 2015 --  Hearts goes out to the family in tragic accident right before my eyes on lee hwy prayers for safe and speedy recovery#HTTR
Thu May 21 07:50:21 PDT 2015 --  This is so true pic.twitter.com/5VD6AdKbLj
Sun May 17 06:37:51 PDT 2015 --  pic.twitter.com/tgQNFW13JT
Wed May 13 16:09:01 PDT 2015 --  In a world where dreams come true everyday anything possible! Everybody have their day some have mre than others those dat dream hard #HTTR
Wed May 13 04:09:56 PDT 2015 --  It come back like clock work
