Fri May 15 01:05:01 PDT 2015 --  JOBBOX is changing face to @Landing_jobs http://blog.landing.jobs/from-jobbox-io-to-landing-jobs …
Thu May 14 15:36:00 PDT 2015 --  We are competing with #Boldplaces at #BIGSmartCities, please help us WIN VOTE here: http://finalists.bigsmartcities.com/en/team/c/boldplaces … Tks! pic.twitter.com/RqA2lgcKxN
Thu May 14 15:04:05 PDT 2015 --  Check out the new @Zercatto app for the iPhone and let stockmarket Experts work on your portfolio! #investing #app http://ctt.ec/yRA0E+ 
Mon May 04 14:15:32 PDT 2015 --  O sucesso.pt da Uniplaces - It’s so cool to see the portuguese makers succeed! #uniplacesrocks... http://tmblr.co/ZQUick1k1umpa 
Mon May 04 02:41:57 PDT 2015 --  Fotografia: I’m on Tumblr! Say Hi!   #sarinharocksontumblr http://tmblr.co/ZQUick1j-X1rT 
Mon May 04 01:50:38 PDT 2015 --  STARTUP LISBOA BY TAP - “You need three things to create a successful startup: to start with good people,... http://tmblr.co/ZQUick1j-QpVe 
Thu Apr 16 03:17:19 PDT 2015 --  Thank you also @stefbj. If you need something from Lisbon or Portugal just reach me. https://twitter.com/stefbj/status/587267774113828867 …
Fri Apr 03 03:09:18 PDT 2015 --  All alone in the office... #dangermode #boldnessatstartuplisboa pic.twitter.com/ibayItu5gv
Fri Apr 03 03:06:11 PDT 2015 --  ....something...! pic.twitter.com/C0P1QyWZyS
Fri Apr 03 03:05:48 PDT 2015 --  Loading.... pic.twitter.com/1HNNmh4bCX
Thu Jan 29 00:56:33 PST 2015 --  Desires & Decisions....Lov & Understanding...Challenges & Anchievements...the most importante...The focus is on... pic.twitter.com/NM7kZYSdFX
Wed Jan 28 14:49:43 PST 2015 --  Love Lisbon https://www.youtube.com/watch?v=8NkJ9QrO2xo …
Tue Jan 27 00:57:15 PST 2015 --  Back to Office & I Lov IT pic.twitter.com/zTpDUIUlzi
Fri Jan 23 03:03:18 PST 2015 --  Sweet Life @STARTUPLISBOA pic.twitter.com/CQq2S9wLUe
Wed Jan 21 17:11:59 PST 2015 --  <3 MY TEAM :D #feelingaluckygirl pic.twitter.com/7MWUF9DcIX
Wed Jan 21 07:23:29 PST 2015 --  Me and My Girl <3 pic.twitter.com/wFBiivBjTD
Tue Jan 20 01:20:14 PST 2015 --  Let's GO! #Workingwithsoul pic.twitter.com/exOp7M857e
Mon Jan 19 01:12:03 PST 2015 --  Hello World! #myfirstTweet pic.twitter.com/wfC5NeFdhw
