Fri Aug 28 14:07:01 PDT 2015 --  Stop calling me BLACK, I am not BLACK. I am NUTELLA!!!!! https://youtu.be/y0WrfmUL3Og 
Fri Aug 21 11:14:15 PDT 2015 --  Well done to @kelly_clarkson for announcing her 2nd pregnancy and at a show #braveasf*ck
Thu Aug 13 09:50:47 PDT 2015 --  What are the songs you can’t get enough of this year? Capital TV is counting down the biggest hits of 2015 so far in 10! Sky388/Freesat507
Mon Aug 10 05:08:57 PDT 2015 --  Ashford castle with my Auntie Rosalinda pic.twitter.com/nq8KqwCdsX
Mon Aug 03 10:50:51 PDT 2015 --  @Sarah_T_Murphy Heeey! can you please follow me on Facebook and YouTube ? :) <3 https://www.facebook.com/nicobadaraco  and https://www.youtube.com/channel/UCXCBhCc81KAoHgyrn1CVDsw …
Mon Jul 13 10:12:28 PDT 2015 --  Following 100 people who repost this with the hashtag #143summertour get posting RT RT!! pic.twitter.com/KKWCyr9tGF
Mon Jul 13 10:15:57 PDT 2015 --  Done the first 50!!! Keep RT #143summertour pic.twitter.com/OqeV8kmnuG
Mon Jul 13 10:22:50 PDT 2015 --  25 more RT!!! #143summertour pic.twitter.com/8F7usANfYh
Mon Jul 13 10:27:51 PDT 2015 --  Followed over 100 people but Ima keep going keep RTING!!!!! #143summertour pic.twitter.com/t2N9vkqoKY
Mon Jul 13 07:37:33 PDT 2015 --  Who's coming to the #143summertour? RT!
Fri Jul 10 13:13:17 PDT 2015 --  Thank you @BarsAndMelody you guys have helped me through a tough time I love you guys you were amazing tonight pic.twitter.com/AzzxY5oiRt
Wed Jul 01 09:25:30 PDT 2015 --  pic.twitter.com/z8X1LvTlMF
Wed Jul 01 04:46:10 PDT 2015 --  OMG hottest day of the year
Sun Jun 28 07:10:54 PDT 2015 --  Making me really think now pic.twitter.com/59LASXDWZ9
Sat Jun 27 04:51:43 PDT 2015 --  When people complain about my driving pic.twitter.com/UTOiMyffGY
Mon Jun 22 14:10:55 PDT 2015 --  pic.twitter.com/bTBPzZrjz4
Thu Jun 11 07:47:04 PDT 2015 --  pic.twitter.com/5Wtf8mUyDQ
Wed Jun 10 12:12:43 PDT 2015 --  pic.twitter.com/KJDvsTyoKD
Wed Jun 10 11:24:39 PDT 2015 --  Someone rang me up on my house phone wondering where I was like WHICH PHONE YOU GODDAM RINGING ME UP pic.twitter.com/GiP683kvcZ
