Tue Aug 25 02:09:26 PDT 2015 --  #workmode #meetings pic.twitter.com/XEkCO9u2we
Wed Aug 26 08:43:23 PDT 2015 --  @SayebaP Follow & RT to win dis fabulous #giveaway #contest #makeup pic.twitter.com/NE1kpj36Om
Thu Aug 20 23:25:01 PDT 2015 --  Me...... #photo pic.twitter.com/9q6BxntOpj
Wed May 20 07:05:23 PDT 2015 --  Hi Harry @Harry_Styles how are you? you're an absolute sweetheart. would u mind following me please? Hope you have a lovely day xmn
Mon May 18 10:30:04 PDT 2015 --  Fuck you for crawling back into my thoughts again. I wish it was easy to forget people
Thu Aug 20 23:10:38 PDT 2015 --  Me with my mom pic.twitter.com/SgJ928VM5k
Thu Aug 20 06:12:41 PDT 2015 --  We've got a treat for #Sanaya fans Here's a glimpse of all her acts on #JhalakReloaded yet!--> http://bit.ly/JDJR_92  pic.twitter.com/r3cdrkMAsV
Thu Aug 20 07:40:36 PDT 2015 --  Guess who spent the day at MissMalini HQ?! @MiniMathur! Check out my latest vlog to see al… http://ift.tt/1J7JlP4  pic.twitter.com/KVwLWgSx88
Tue Aug 18 09:49:17 PDT 2015 --  Adatan tum ne kar diye vaade adatan hum ne aitabaar kiya ab na mangenge zindagi ya rab ye gunaah hum ne ek baar kiya Happy Bday Gulzar sahib
Tue Aug 18 09:15:06 PDT 2015 --  Look who is back on @snsgohem http://www.india-forums.com/tellybuzz/wassup/27295-look-who-is-back-on-saath-nibhana-sathiya.htm … @Vishal_singh786 pic.twitter.com/qZyzxqHk8E
Tue Aug 18 09:12:23 PDT 2015 --  Q6: What are the 3 words #KareenaKapoorKhan uses to describe #SaifAliKhan on #MMWorld2? #MMTriviaTuesday Hint: http://miss.ml/1Jo7wOG 
Sun Aug 16 03:30:07 PDT 2015 --  Your fav judging trio is? http://www.tellychakkar.com/fun-zone/poll/which-trio-your-favourite-150728 … #jhalakdikhlajaa #DanceIndiaDance #NachBaliye #IndiasGotTalent pic.twitter.com/8JihrV977i
Sun Aug 16 02:48:24 PDT 2015 --  8.30 pm tonite #indianidoljunior2 with @chintskap @juniorbachchan @sonakshisinha @VishalDadlani. You can't miss this! pic.twitter.com/zzTDuRshnv
Sun Aug 16 03:12:18 PDT 2015 --  #MysteryBox Q4. Name 1 tip that former #MissIndia @ManasviMamgai shared with @TeamMissMalini's fashion team on #MMWorld2 @TLCINOfficial
Fri Aug 14 07:03:06 PDT 2015 --  Good morning @priyankachopra
Fri Aug 14 08:11:15 PDT 2015 --  You're far from "there" but you're on your way.
Thu Aug 13 08:46:06 PDT 2015 --  We r on a lift.... Never forget to take selfieess pic.twitter.com/6WfqCuTHKM
Thu Aug 06 14:17:14 PDT 2015 --  Happiness is seeing Zain Imam back + that Girl is pretty and her character seems cool #tashaneishq 4 days to go pic.twitter.com/VPfDu5VCsq
Sun Aug 02 03:16:38 PDT 2015 --  Dj wale babu #Badshah rocked it with us on idol tonight n another shocking elimination and this time im serious! pic.twitter.com/OkXnFSIBBP
Mon Jul 27 07:19:02 PDT 2015 --  #AllTheBestPC4Quantico... Woohoooo.. we r trending again.... PC u Rockssss
Mon Jul 27 17:37:16 PDT 2015 --  Wow!! A 17 n a half hour day 1! And it finally ends! Dunno if I’m tired or alive.. #Quantico pic.twitter.com/HuODJuuDIB
Wed Jul 29 22:58:20 PDT 2015 --  #Mominul hauqe is the only perfect player of test cricket in Bangladesh.....
Thu Jul 30 02:59:54 PDT 2015 --  @AapkaApnaAdi @aliabbaszafar @BeingSalmanKhan @priyankachopra .... I also want them together... Plzzzz
Thu Jul 30 05:25:29 PDT 2015 --  Ki and ka .... An interesting pair... Looking forward to it
Thu Jul 30 05:28:08 PDT 2015 --  #11YearsOfMujhseShaadiKarogi.... @BeingSalmanKhan & @priyankachopra we want them back...... They make adorable pair...
Thu Jul 30 05:30:06 PDT 2015 --  #11YearsOfMujhseShaadiKarogi... @BeingSalmanKhan & @priyankachopra. R like.... Made for each other
Thu Jul 30 05:35:05 PDT 2015 --  #11YearsOfMujhseShaadiKarogi ... @priyankachopra & @beingsalmakhan ... I luv u both ... Hope u both r going to appear in same movie....
