Fri Aug 28 21:42:21 PDT 2015 --  New pact: if Colton becomes a UFC fighter, I dye my hair purple. Look out, America. 🏻️
Fri Aug 28 10:00:16 PDT 2015 --  Started from the barrel now we beer. #ItsMillerTime
Thu Aug 27 12:43:55 PDT 2015 --  #TBT pic.twitter.com/BZteFkR1E9
Wed Aug 26 20:18:57 PDT 2015 --  Follow Jeff as he focuses this week on eating healthier on his #JourneytoStartHealthy... http://fb.me/7I8jyCWXf 
Wed Aug 26 16:14:56 PDT 2015 --  In honor of National Dog Day, here is Michael's new addition to the family. Meets Roscoe. #nationaldogday
Tue Aug 25 18:13:07 PDT 2015 --  Here's what 22 famous brand logos would look like if they swapped colors with competitors: http://adweek.it/1fE6wb7  pic.twitter.com/OaXpo6fN2c
Mon Aug 24 18:06:27 PDT 2015 --  Jess > Dean #GilmoreGirls
Sun Aug 23 13:09:21 PDT 2015 --  Spread the word pic.twitter.com/A5tFGIl9bt
Sun Aug 23 04:46:02 PDT 2015 --  jfdgsfdsfdghjklhgfdgsfghjkhlhgfdsfarewtyuioytrewqasfdghjkl;jhgfdszxcvbnm,.nbvcxzsdfghjkhgfdsawertyuioytrewrtyuiytredsfghjkhgfdsxcvbnmftruyvf
Thu Aug 20 10:55:39 PDT 2015 --  What's with the 2 second green lights at 41st & MN??
Tue Aug 18 08:25:15 PDT 2015 --  Can I run on an empty stomach? Check out these great running tips: http://ow.ly/QwtbM 
Tue Aug 18 09:03:07 PDT 2015 --  Just another day at the office! http://fb.me/3sMvvQQZ3 
Mon Aug 17 13:41:27 PDT 2015 --  #FantasticBeasts: prequel. #CursedChild: NOT a prequel. Simple!* *I'll be repeating this daily for months. https://twitter.com/pedro_a/status/633376272706572288 …
Mon Aug 17 08:45:48 PDT 2015 --  The hardest part of a journey is taking that first step. Is there a dream of yours that is going unfulfilled?... http://fb.me/4q1CsixTc 
Fri Aug 14 08:05:22 PDT 2015 --  Follow Michael Winkleman as he climbs to new heights of healthy living. We all can #starthealthy!... http://fb.me/7szhYsWE4 
Wed Aug 12 16:49:02 PDT 2015 --  You know you're listening to a 90s song when you can sing every single lyric, yet have no idea what the artist's name is.
Wed Aug 12 13:53:03 PDT 2015 --  Happy National Middle Child Day! Here's to all you middle children out there!
Mon Aug 10 19:22:53 PDT 2015 --  Hittin' the pavement on the #JourneytoStartHealthy starthealthyfoods https://instagram.com/p/6OeZjBlL_q/ 
Sun Aug 09 12:57:08 PDT 2015 --  One of those days when the iPod shuffle is on point. @lukewesleymusic @Sia and some @maroon5 #NowPlaying #music
