Fri Aug 28 23:37:05 PDT 2015 --  If you are real you dont have to say that you are every 5 seconds!! Let your actions be your voice!!
Thu Aug 27 03:05:22 PDT 2015 --  Thank you for the retweet Fam!!! FREE MUZIK MIXTAPE ON THE WAY
Mon Aug 24 13:30:41 PDT 2015 --  Show some ppl support they dont do the same in return WTF they do that at!!! Bofl
Sun Aug 23 20:30:20 PDT 2015 --  "Been Too Long" http://www.reverbnation.com/q/62urtp  Goddess B. Mallory pic.twitter.com/PjFAL2LghS
Sun Aug 23 16:31:22 PDT 2015 --  #HeadboardKiller - @iamJaySangz ft. @ScarletWar (prod. by @TheTrackKillers) https://soundcloud.com/iamjaysangz/headboard-killer-jay-sangz-ft-scarlet-war-dirty …
Fri Aug 21 04:36:36 PDT 2015 --  You can always spot a hater by there negative feedback!
Sat Aug 15 09:22:26 PDT 2015 --  FREE MUZIK MIXTAPE ON THE WAY!!!!!!!!!
Sat Aug 15 00:53:19 PDT 2015 --  https://youtu.be/i_1bHp6jy4k 
Wed Jun 10 11:11:28 PDT 2015 --  WHAT THE FUCK?! pic.twitter.com/sLAF5oUNOI
Thu Jul 30 17:59:17 PDT 2015 --  Added a new video: "Ser Dilla The Mourning After Intro" http://www.reverbnation.com/q/6159xw  #video
Thu Jul 30 17:49:16 PDT 2015 --  Hear and follow Ser Dilla on #SoundCloud https://soundcloud.com/serdilla?utm_source=soundcloud&utm_campaign=share&utm_medium=twitter …
Thu Jul 30 17:33:56 PDT 2015 --  Posted a new song: "Bars" http://www.reverbnation.com/q/6157gg  #music
Thu Jul 30 17:33:14 PDT 2015 --  Posted a new song: "We Gone Be Alright" http://www.reverbnation.com/q/6157ek  #music
Thu Jul 30 17:32:10 PDT 2015 --  Posted a new song: "Lets Go March" http://www.reverbnation.com/q/6157bu  #music
Thu Jul 30 17:31:28 PDT 2015 --  Posted a new song: "Really Dont Get It" http://www.reverbnation.com/q/61579h  #music
Thu Jul 30 17:30:45 PDT 2015 --  Posted a new song: "Feeling How Im Feeling" http://www.reverbnation.com/q/61577l  #music
Thu Jul 30 17:30:08 PDT 2015 --  Posted a new song: "Fuk Everbody Else" http://www.reverbnation.com/q/61575z  #music
Thu Jul 30 17:29:34 PDT 2015 --  Posted a new song: "Dont Believe" http://www.reverbnation.com/q/61573s  #music
Thu Jul 30 17:29:00 PDT 2015 --  Posted a new song: "Rackz" http://www.reverbnation.com/q/615724  #music
Thu Jul 30 17:28:09 PDT 2015 --  Posted a new song: "2015 Rappers" http://www.reverbnation.com/q/6156zr  #music
Thu Jul 30 17:27:09 PDT 2015 --  Posted a new song: "Bout To Lose It" http://www.reverbnation.com/q/6156w5  #music
Thu Jul 30 17:26:36 PDT 2015 --  Posted a new song: "My Life" http://www.reverbnation.com/q/6156ug  #music
Thu Jul 30 17:25:29 PDT 2015 --  Posted a new song: "Tired of Being Broke" http://www.reverbnation.com/q/6156qb  #music
Thu Jul 30 17:24:43 PDT 2015 --  Posted a new song: "Hustle" http://www.reverbnation.com/q/6156m8  #music
Thu Jul 30 17:24:12 PDT 2015 --  Posted a new song: "Born Winner" http://www.reverbnation.com/q/6156k7  #music
Thu Jul 30 17:23:19 PDT 2015 --  Posted a new song: "Welcome To The Block" http://www.reverbnation.com/q/6156gr  #music
Thu Jul 30 17:21:54 PDT 2015 --  Posted a new song: "Foolin Around" http://www.reverbnation.com/q/61569p  #music
Thu Jul 30 17:19:38 PDT 2015 --  Posted a new song: " I Understand Why" http://www.reverbnation.com/q/6155zt  #music
Thu Jul 30 17:16:27 PDT 2015 --  Posted a new photo: http://www.reverbnation.com/q/6155on 
Thu Jul 30 17:15:35 PDT 2015 --  Posted a new song: "Intro" http://www.reverbnation.com/q/6155m5  #music
