Fri Aug 28 12:15:14 PDT 2015 --  pic.twitter.com/Q7h8w9itFU
Fri Aug 28 12:02:03 PDT 2015 --  "Strive for progress not perfection."-SJ @avalonmichelle wearing our Shama Jade Limited Edition sol suit in... http://fb.me/4lGrJBtyV 
Thu Aug 27 14:06:34 PDT 2015 --  | "Take a moment to just breathe and appreciate the moment."-SJ || @perthyogagirl in our Classic Brasileira suit.... http://fb.me/8GDrjUOi6 
Thu Aug 27 14:06:32 PDT 2015 --  | "Take a moment to just breathe and appreciate the moment."-SJ || @perthyogagirl in our Classic Brasileira suit.... http://fb.me/4tteQArhS 
Wed Aug 26 19:06:28 PDT 2015 --  | Re Post from the divine @actionjacquelyn filming for @codyapp in our Embrace jumpsuit ||... http://fb.me/48bmGQFx6 
Wed Aug 26 18:16:45 PDT 2015 --  Isn't this what spiral staircases are for? Having fun in my onesie by @shama_jade and shooting… https://instagram.com/p/63jiwLyVhb/ 
Wed Aug 26 15:26:52 PDT 2015 --  | "We believe the jumpsuit encourages the acceptance of your body and empowers your mind"-Shama Jade. || Click... http://fb.me/7KjmTjCqC 
Wed Aug 26 10:16:43 PDT 2015 --  “Always say “yes” to the present moment. What could be more futile, more insane, than to create inner resistance... http://fb.me/2hTNjThTR 
Tue Aug 25 17:08:47 PDT 2015 --  Re-post from Avalon Michelle's Instagram @ avalonmichelle - On Tuesdays we wear jumpsuits! pic.twitter.com/UVTe1U9aG6
Tue Aug 25 11:17:11 PDT 2015 --  | "It is in herself she will find the strength she needs to succeed." Now time to take on the week beauties!-SJ... http://fb.me/3VPnkSqRj 
Mon Aug 24 14:51:04 PDT 2015 --  | "You can always tell who the strong women are. They are the ones you see building each other up, instead of... http://fb.me/7xHx7lHch 
Mon Aug 24 11:15:55 PDT 2015 --  | Happy Monday!! We are so excited to announce we are sponsoring our first yoga challenge September 1st-10th! ||... http://fb.me/4Q34XARZx 
Fri Aug 21 19:05:21 PDT 2015 --  |Here we go Shamas!! Our website is officially live! Today-Monday we are offering a special discount code for our... http://fb.me/8DXVZBKra 
Fri Aug 21 13:28:43 PDT 2015 --  Happy Friday! Who's ready for our website launch! http://ShamaJade.com  is getting a makeover Stay tuned for an... http://fb.me/4fU2dyhiN 
Thu Aug 20 12:29:53 PDT 2015 --  |"Sometimes it's hard to not let the distractions of the day have an effect on you or to not let… https://instagram.com/p/6nex9-Pk6P/ 
Wed Aug 19 15:54:52 PDT 2015 --  Shama Jade Invisible suit @Shama_Jade pic.twitter.com/gAOa6LErTZ
Wed Aug 19 15:53:55 PDT 2015 --  Limited edition white Shama Jade suit @Shama_Jade pic.twitter.com/YuIQB8OIKv
Wed Aug 19 15:52:53 PDT 2015 --  "Don't let someone dim your light--purely because it's shining in their eyes." Re post from @belleyoga wearing... http://fb.me/3j1FHdyQQ 
Tue Aug 18 12:22:06 PDT 2015 --  "Courage doesn't always roar, sometimes courage is the little voice at the end of the day that says I… https://instagram.com/p/6iUFLDPk_p/ 
Mon Aug 17 13:23:50 PDT 2015 --  These beauties in their Shama jade suits at pure barre Beverly Hills! Stop by to get yours! pic.twitter.com/bgmrkrONAC
Mon Aug 17 11:17:13 PDT 2015 --  Shama Jade invisible suit I navy worn by Avalon in NC pic.twitter.com/FpcvFqbbfM
Mon Aug 17 11:16:22 PDT 2015 --  Shama Jade owners rocking their SJs for our lookbook video shoot! Watch it now on our website! pic.twitter.com/xGbVVWQQ1v
Mon Aug 17 11:14:43 PDT 2015 --  Shama Jade diamond back suit @Shama_Jade pic.twitter.com/rVPbMYFguF
Mon Aug 17 11:11:49 PDT 2015 --  Shama Jade in India! Beauty twistingpeacockyoga rocking her SJ Evoke calypso suit! 🏻🏻 let's spread… https://instagram.com/p/6fnlN5Pk9u/ 
Sun Aug 16 16:10:44 PDT 2015 --  http://www.shamajade.com/activewear-jumpsuit-blog/2015/8/16/lqn4yxyw5ukb7y5tyclicaaaiesis8 …
Sun Aug 16 14:12:20 PDT 2015 --  "For emotional healing to prevail, we must enter fully into whatever is left unprocessed and ride it all the way... http://fb.me/2owP7PXTy 
Sat Aug 15 14:32:43 PDT 2015 --  Jumpsuits on #Saturdays are always a good idea! 🏻 Ladies in #LA stop by the ritzcarlton in Marina… https://instagram.com/p/6a1ByJvk5s/ 
Sat Aug 15 14:19:47 PDT 2015 --  Maria wearing her Shama Jade Invisible suit @Shama_Jade pic.twitter.com/rGwOgoWXWA
Sat Aug 15 14:18:48 PDT 2015 --  Shama Jade at @hot8yoga get your new summer jumpsuit now! pic.twitter.com/MkgFanIrJm
Sat Aug 15 14:16:38 PDT 2015 --  Owners Maria and Avalon wearing their matching Shama Jade sol suits at the active collective pic.twitter.com/7R6txpiy96
Sat Aug 15 14:15:08 PDT 2015 --  pic.twitter.com/2UgItbejdS
Sat Aug 15 14:14:39 PDT 2015 --  Shama Jade Sexy Straps suit in Galaxy print @Shama_Jade pic.twitter.com/H6HVxITD5p
Sat Aug 15 14:13:53 PDT 2015 --  Shama Jade sol jumpsuit @Shama_Jade pic.twitter.com/5GCfoxaxKY
Sat Aug 15 14:12:26 PDT 2015 --  Shama Jade Evoke jumpsuit in Rose Pink worn by Avalon 🏻 pic.twitter.com/MeWbfZCi4I
Sat Aug 15 14:10:39 PDT 2015 --  Shama Jade Embrace Jumpsuit @Shama_Jade pic.twitter.com/7JtNUamAiF
Sat Aug 15 14:09:23 PDT 2015 --  Shama Jade Sexy Straps Jumpsuit in Galaxy print @Shama_Jade pic.twitter.com/rkg6mrPWXe
Sat Aug 15 14:08:18 PDT 2015 --  Shama Jade Evoke Jumpsuit @Shama_Jade pic.twitter.com/KbrsGwKaSA
Sat Aug 15 13:17:04 PDT 2015 --  HAPPY SATURDAY! @Shama_Jade pic.twitter.com/mZArw1ZBrs
Sat Aug 15 10:34:47 PDT 2015 --  "Don't let the fear of what others might do stop you from following your dreams, be yourself and know that is... http://fb.me/2lvq47Cs3 
Fri Aug 14 15:25:17 PDT 2015 --  "Choosing to stay in the light and take the high road is always the right path, the light will guide you to... http://fb.me/35oFLZDjq 
Fri Aug 14 15:13:38 PDT 2015 --  Happy Friday Beauties! Best way to take on the weekend with fresh fruits and veggies! XX- SJ #shamajade #wellness... http://fb.me/2aIKDsk4s 
Wed Aug 12 11:25:13 PDT 2015 --  "Embrace and love your body as it is you are perfect, and by loving yourself you can then love others not the... http://fb.me/41XrCvhRp 
Tue Aug 11 11:57:57 PDT 2015 --  Sol Jumpsuit, Embrace Jumpsuit and Diamond Back Jumpsuit- has helped me embrace my body, voice and souls... http://fb.me/6Axz4ntVF 
Mon Aug 10 14:18:08 PDT 2015 --  Follow us on #pinterest for inspiring photos and quotes about life, love, yoga, fashion and more! #shamajade... http://fb.me/3iAd92jUu 
Sun Aug 09 12:27:03 PDT 2015 --  Happy Sunday lovely enlighten beings! Check out our new blog post "Life is quite interesting. The lessons it... http://fb.me/7We3VG1rU 
Sun Aug 09 12:03:54 PDT 2015 --  Look at this beauty @jessicarblackwell wearing her new Shama Jade Classic Black #jumpsuit styled to perfection... http://fb.me/1OMJbLUb4 
Sat Aug 08 15:54:22 PDT 2015 --  Hope you all are having a wonderful weekend!! #WeekendInspiration #SaturdayVibes #EmbraceYourTruth "Changing... http://fb.me/2jx4iD2L9 
Fri Aug 07 10:35:21 PDT 2015 --  Repost from beauty @maggiearoberts "on Friday we wear Onesies". We love seeing you ladies rock your SJ suits!... http://fb.me/2JzayTYfF 
Wed Aug 05 21:46:40 PDT 2015 --  The light knocked at the door, scared to open it I chose to remain in darkness. In darkness there was no one to... http://fb.me/3O3WKHUSL 
Wed Aug 05 21:15:18 PDT 2015 --  From Darkness to Light http://www.shamajade.com/activewear-jumpsuit-blog/2015/8/5/from-darkness-to-light …
Wed Aug 05 15:38:27 PDT 2015 --  "To achieve optimum physical, mental, and spiritual wellness you must make an honest assessment of your personal... http://fb.me/48jWGrftp 
Tue Aug 04 10:36:51 PDT 2015 --  "When you own your breath, nobody can steal your peace." Re post from divine goddess @omgrown72 wearing her new... http://fb.me/3gMG5OUVi 
Mon Aug 03 18:21:46 PDT 2015 --  Embrace your body as it is, as women let's be proud of our body no matter what size or shape. Let's not hide from... http://fb.me/2KzYoRQyx 
Mon Aug 03 13:51:32 PDT 2015 --  Happy Monday from the new Shama Jade Headquarters! We are so thrilled to be officially moved into our new office!... http://fb.me/2UCrTGH3u 
Thu Jul 30 11:31:35 PDT 2015 --  We love nothing more then seeing you all love your #jumpsuits! @mad_libs looking absolutely divine in her new... http://fb.me/3Hkf5uzEh 
Wed Jul 29 18:55:37 PDT 2015 --  "For as long as we are in the light...we win..." Shama Jade http://fb.me/3TN0bvarM 
Tue Jul 28 13:10:27 PDT 2015 --  Follow your dreams!! The possibilities are endless, It's up to you to create your own happiness and destiny!... http://fb.me/7qGmETIvv 
Tue Jul 28 13:10:27 PDT 2015 --  Follow your dreams!! The possibilities are endless, It's up to you to create your own happiness and destiny!... http://fb.me/7GDwxGmU2 
Mon Jul 27 14:53:13 PDT 2015 --  Time to take on a new week Shamas! Sharing The IChing weekly for the week of July 27th 2015. "The Wisdom: You... http://fb.me/1Qd6BkNSC 
Fri Jul 24 15:22:51 PDT 2015 --  @perthyogagirl wearing the perfect summer outfit! #shamajade suit in Rose Pink. A fantastic combination of sweet... http://fb.me/7n8YZEM9J 
Thu Jul 23 10:27:29 PDT 2015 --  "Whatever makes you happy, do that"- Loving our Sexy Strap suit on @perthyogagirl doing what she loves most.... http://fb.me/2dUCfbdSE 
