Wed Aug 26 17:01:35 PDT 2015 --  @ShillTavern Slaughtered Grace also in the house Saturday 8/29/15 8pm
Wed Aug 26 16:58:52 PDT 2015 --  The Big Apple Sunshine Band rockin @ShillTavern this Saturday doors open 8pm. Vagora, Robby Bloodshed and more pic.twitter.com/wXgxhU2r0d
Sat Aug 22 19:13:34 PDT 2015 --  Begorrah just tore up @ShillTavern. These guys always put of great show. #CheckThemOut #Queens #MusicMuthafucka
Fri Aug 21 12:23:19 PDT 2015 --  Tonight we have a great night of acoustic music for you at 9pm. James Connolly is performing a dynamic set of music. It's a free show cheer!
Wed Aug 19 09:37:29 PDT 2015 --  Our very own @DorisCellar will be performing this Saturday @ShillTavern at 8:30pm! Check out her music!! http://Soundcloud.com/Doris_cellar 
Tue Aug 18 16:54:20 PDT 2015 --  The stage is yours. Sign up 8pm music starts at 8:30. All are welcome the original Tuesday night open mic continues!
Mon Aug 17 07:54:27 PDT 2015 --  PREMIERE: @QuietHollers Take Us to the “Cote d’Azure” on New Single | http://bit.ly/1JmtpxR 
Thu Aug 13 12:11:57 PDT 2015 --  ♫ This Weekend: Brooklyn, NY - Aug 14 at Pine Box Rock Shop http://www.bandsintown.com/event/10229599?artist=Quiet+Hollers&came_from=117 …
Fri Aug 14 06:20:35 PDT 2015 --  Hey @ThatMetalShow fans. Mini marathon this Saturday on @VH1Classic from 1-5P ET. Set those DVRs for 4 in a row! pic.twitter.com/V3ddDBx9Va
Thu Aug 13 09:50:41 PDT 2015 --  Photo: Restocked on the #wutangclan hockey jersey, $79. These flew off the rack last time we had them.... http://tmblr.co/ZO0w7y1rvsBt8 
Wed Aug 12 17:40:01 PDT 2015 --  Photo: More of the new Wu in he shop. USA Hockey Mask tee, $30. #wutang #wuwear #wutangbrand #wutangclan... http://tmblr.co/ZO0w7y1rssRjt 
Tue Aug 11 08:01:05 PDT 2015 --  Coming 23 Oct 2015. pic.twitter.com/Sz2YoGlfDi
Tue Aug 11 08:00:11 PDT 2015 --  Tonight we're in #Baltimore at @sidebartavern with Ol' Blue Eyes and Mark Lanky. See ya!
