Tue Aug 18 00:06:34 PDT 2015 --  Lmfao read this pic.twitter.com/K0WJiS9Bf4
Sun Jul 26 13:44:35 PDT 2015 --  Are results in pre-season a guide to form in the coming campaign? We take a look... http://skysports.tv/1ab3e7  pic.twitter.com/8OUFGF2WMI
Sun Jul 26 13:37:36 PDT 2015 --  Yes please! #YON https://twitter.com/WIRED/status/625400206356574209 …
Sun Jul 26 12:53:58 PDT 2015 --  All these @Arsenal goals in pre-season just mean we are playing easy opposition. We need to up the opponents chaps! #hardworkpaysoff
Sun Jul 26 05:08:10 PDT 2015 --  Oh boy what an @F1 start! Hamilton why lose your cool though? Lap 2!
Sat Jul 25 12:34:13 PDT 2015 --  What a move! De Jager disallowed try but the innovation though! #Bokke #newblood #RSAvNZL
Sat Jul 25 12:03:50 PDT 2015 --  Oh gaaaaaawd! How many steals did we get today! Looking incredible work at the breakdowns! WOW WOW WOW!!! #Bokke #RSAvNZL
Sat Jul 25 11:40:24 PDT 2015 --  This De Allenda, Kriel, LeRoux combination looks well legit! Loving it! #latepost #latepost #boksupport
Sat Jul 25 11:38:58 PDT 2015 --  What appalling camera shots of the Haka! Missed half of the Haka :( #poor @SuperSportTV #latepost
Wed Jul 22 22:34:42 PDT 2015 --  LOL!! https://twitter.com/GoIfMedia/status/619969589506646016 …
Tue Jul 21 12:37:29 PDT 2015 --  Love this guy >>> @Sloodja
Sun Jul 12 05:15:13 PDT 2015 --  It's Hot Winter Night #3 and this is happening tonight at Rivers Durban - 'GOLDEN OLDIES' https://instagram.com/p/5CSVpYKXCN/ 
Sat Jul 11 09:24:49 PDT 2015 --  #Boooom #Shakalaka Marcel you monster @Springboks
Sat Jul 11 08:54:22 PDT 2015 --  #worldxv seeing flames! Great half from the @Springboks, I hope we slay like this at the #WorldCup2015
Wed Jul 08 12:23:39 PDT 2015 --  True love doesn't happen right away but develops after many ups and downs, when you've suffered together, cried together & laughed together.
Wed Jul 08 08:01:13 PDT 2015 --  Wow... within minutes @Nosipops hooks me up with @Springboks jearsey. What a G! Thanks Nos. Can't wait for tomorrow #BdaysRock #Skhokhosam
Wed Jul 08 07:22:11 PDT 2015 --  Enthusiasm in entrepreneurs is overrated: http://s.hbr.org/1NOpNSX 
Wed Jul 08 07:22:17 PDT 2015 --  Two MUST HAVES! The new @Springboks jersey and the new @Arsenal jersey! #FavouriteTeams #Hardcorefan #BirthdayGifts #INEED
Thu Jul 02 09:55:05 PDT 2015 --  I can't stress MOOD as a category enough, "Flow" mixes everything with no premise and this can be annoying @Deezer
Thu Jul 02 09:53:26 PDT 2015 --  Are there DJs or Radio personalities on @Deezer and not "Deezer editors"? I've interacted with heroes online on other apps in "communities"
Thu Jul 02 09:50:22 PDT 2015 --  Where is the "Community" tab? e.g.: to follow some one you have to hear their mix/playlist before you can access their "profile" @Deezer
Thu Jul 02 09:43:42 PDT 2015 --  Could mixes also be limited in track numbers as others grow to hundreds of tracks and become life time mixes and irrelevant @DeezerHelp
Thu Jul 02 09:42:30 PDT 2015 --  Could you guys work on categorising mixes by; mood, character, activity or feeling? Composers would select for themselves @DeezerHelp
Thu Jul 02 09:40:43 PDT 2015 --  When you put a new track on an "offline playlist", do I have to re-download the whole playlist to add the new tracks @Deezer @DeezerHelp
Thu Jul 02 09:39:36 PDT 2015 --  Are tracks only available offline when put on a playlist and not individually? @DeezerHelp @Deezer
Thu Jul 02 09:38:26 PDT 2015 --  Is there any difference between liking a song and liking an album and liking an artist? Does it affect the suggested "flow" how? @DeezerHelp
Thu Jul 02 09:36:45 PDT 2015 --  On the "New releases" page, while listening to a new release, is it possible to browse other artists without playing their music @DeezerHelp
Thu Jul 02 09:35:10 PDT 2015 --  On the "New releases" page, nothing specifies if it's an album or single without going to artist page. Please fix @Deezer @DeezerHelp
Thu Jul 02 06:18:23 PDT 2015 --  Blam boom pow!!! @EntleD pic.twitter.com/VAFDZsLYY0
Sat Jun 27 13:29:44 PDT 2015 --  I wonder how much thought was put into the Trump campaign. His speeches and interviews don't seem well prepared or based on actual facts
Sat Jun 27 12:53:09 PDT 2015 --  I've underestimated digital business platforms for too long. Need to get plugged in and join the discussion and movement #openmind #openeyes
