Fri Aug 28 05:32:03 PDT 2015 --  I hate when I lose things at school like my pencils and papers and life ambitions
Thu Aug 27 05:02:14 PDT 2015 --  Don't think i'm gonna promote coins anymore. I want to make a series and i can't because EA keep banning me for coin promoting xD
Wed Aug 26 20:03:18 PDT 2015 --  Found this at a mates house. WTF? pic.twitter.com/fVJpTNbMDU
Wed Aug 26 20:00:28 PDT 2015 --  Back to school shopping pic.twitter.com/yfZHt3tN11
Wed Aug 26 20:18:44 PDT 2015 --  This saves lives - PLEASE RETWEET pic.twitter.com/UG6ZIpvv7i
Tue Aug 25 14:51:40 PDT 2015 --  To filter, or not to filter? Seriously, someone tell us. We're on Instagram. Follow here: http://instagram.com/googleplaymusic  pic.twitter.com/D1frpsxPyy
Wed Aug 26 06:38:51 PDT 2015 --  Evening Standard - WDBJ news reporter and photographer killed as gunman opens fire during live broadcast in US... http://bit.ly/1PT0TmH 
Tue Aug 25 13:47:07 PDT 2015 --  Friend who shall not be named: *sees picture of Drake* "I recognise that footballer but I can't remember his name"
Tue Aug 25 10:37:22 PDT 2015 --  When Sony Vegas crashes unexpectedly pic.twitter.com/pt7fa0Ylm2
Tue Aug 25 07:06:57 PDT 2015 --  We've saved customers more than £1.3 billion in roaming charges since we launched Feel at Home in 2013 #makeitright pic.twitter.com/jMJX7V2wWc
Mon Aug 24 17:59:14 PDT 2015 --  MATEEEEEEEEEE pic.twitter.com/MrnXKuo9XZ
Tue Aug 25 04:22:03 PDT 2015 --  No idea why Wenger doesn't buy a great Striker. If he did, they'd be genuine title contenders. Giroud is good, but they need something else
Mon Aug 24 12:59:54 PDT 2015 --  I wonder what it's like to be the person everyone has a crush on
Mon Aug 24 12:31:47 PDT 2015 --  minecraft how to make Brian griffin: http://youtu.be/01TC_TO_tJk?a  via @YouTube
Mon Aug 24 12:32:03 PDT 2015 --  It isn't tomorrow until I sleep
Mon Aug 24 11:02:44 PDT 2015 --  a lost phone on silent
Mon Aug 24 10:18:27 PDT 2015 --  'Affordable' flat in Hackney goes on sale for more than £1 MILLION http://bit.ly/1JPsTsi  pic.twitter.com/X4KK1Z7cLa
Mon Aug 24 09:58:21 PDT 2015 --  Today’s your last chance to download & play the @CallofDuty #BlackOps3beta on @PlayStation 4. RT if you’ll be online! pic.twitter.com/PJ3rMOUNiL
Sun Aug 23 09:21:02 PDT 2015 --  Kolarov is just so good, Everton been playing quality Footy though
Fri Aug 21 17:17:58 PDT 2015 --  If we can get 150 Retweets on this tweet by 12AM later today, we will give away 5x100k FG credits to five retweeters! pic.twitter.com/XdNnUwMMnD
Fri Aug 21 22:54:32 PDT 2015 --  Yeah, it's defo gonna take a while to get used to Fifa 16 xD
Sat Aug 22 01:07:03 PDT 2015 --  Now that's a good sales line pic.twitter.com/bOsMbikk8g
Fri Aug 21 09:50:45 PDT 2015 --  Everything is going to be alright, maybe not today, but eventually.
Thu Aug 20 09:33:25 PDT 2015 --  #Selling #Blackops3 #Betacodes Via #Paypal Trusted payment @paypal #callofduty #bo3 #beta #bo3beta Selling beta codes DM me
Wed Aug 19 18:10:05 PDT 2015 --  You better learn how to work a brick because all your phones are getting taken after your results. #GCSE GCSEs pic.twitter.com/zCIMvLcw5C
Thu Aug 20 01:45:53 PDT 2015 --  @MattHDGamer Matt do you happen to know anywhere at all legit to buy an Xbox One FIFA 16 beta account. I've been searching 5 days straight
Thu Aug 20 01:41:27 PDT 2015 --  @MattHDGamer Can i get a RT for everyone getting their GCSEs today?
