Sat Jun 20 07:48:05 PDT 2015 --  HE HIT THE PRINCIPAL pic.twitter.com/Tlk2bBlSpV
Fri Jul 03 18:10:16 PDT 2015 --  When ya favorite song come on while cleaning up the house https://vine.co/v/e1DnjTP1eAd 
Thu Jul 02 22:38:17 PDT 2015 --  When she says she never sucked dick before https://vine.co/v/OldU9rnurAM 
Fri Jul 03 21:18:07 PDT 2015 --  Arian Foster is a savage http://vine.co/v/MvtnHdWjIbn 
Thu Jul 02 22:00:00 PDT 2015 --  pic.twitter.com/ZL3dxmS0j5
Mon Apr 13 18:26:30 PDT 2015 --  Andrew Wiggins | https://vine.co/v/euj1t6vexa2 
Sun Apr 12 13:42:51 PDT 2015 --  All it took was a kiss on the cheek from @ItsJoseann, and Jimmy @WWEUsos broke out #TheWorm! #WWEManchester https://vine.co/v/euJEU7MmPQ9 
Mon Feb 23 20:01:50 PST 2015 --  Uh oh. Ricky Rubio's ankles might not be OK after this insane crossover by James Harden. http://es.pn/18gN2GO 
Sun Sep 28 11:36:18 PDT 2014 --  Follow for the Best Sport Vines | https://vine.co/v/O709OgWgFaT 
Sun Jan 18 22:55:25 PST 2015 --  More Angles! Russell Westbrook With The Reverse! https://vine.co/v/OjxHAz3AP76 
Sat Dec 27 08:07:30 PST 2014 --  Here are the Top 10 College football uniforms of 2014! http://www.topsportspics.com/best-college-uniforms-of-2014/ … pic.twitter.com/LOcserLQxO
Wed Oct 29 17:18:02 PDT 2014 --  On ESPN...Who Are You Taking!? Retweet For The Bulls! Fav For Melo And The Knicks! pic.twitter.com/la8MRJmT6y
Wed Oct 08 19:25:52 PDT 2014 --  Royal Blue Kobe 9's are too fresh! pic.twitter.com/xOlqTKM5vV
Thu Oct 02 18:58:19 PDT 2014 --  Vintage mamba RT @Lakers: . @kobebryant put the kids to work today. #GoLakers https://vine.co/v/OmTVUIOtOTw 
