Thu Aug 27 18:48:49 PDT 2015 --  #NoIranDeal #StandWithTrump #StandWithCruz @DanScavino @gqforbes @realDonaldTrump #IranRally 9/9/15 pic.twitter.com/nhJqlq7I87
Thu Aug 27 04:56:52 PDT 2015 --  Thanks y'all for the recent follow! @TeriGRight @cruzgrassroots @PatriotJewel @Andimgrant @ben2know @SportyGirlC @VividKaren
Thu Aug 27 06:03:10 PDT 2015 --  #THANKFULTHURSDAY #THANKYOUMYFRIENDS @Flower_Power_Us @jstines3Paints @bwilsgirl @Babbsgirl2 @SportyGirlC @hottiecon @GregJaye
Fri Aug 28 05:14:42 PDT 2015 --  Obama, now available in transgender version #OHHILLNO #wakeupamerica #CCOT pic.twitter.com/141gQBUecj
Fri Aug 28 04:02:39 PDT 2015 --  Hilarious response to #HillaryClinton calling for US to "come to grips" with gun violence. #gunsense #guncontrol https://twitter.com/BoreGuru/status/637020369149296640 …
Wed Aug 26 18:29:37 PDT 2015 --  Happy #NationalDogDay! This guy is handsome overload. #Diesel #mylove #furbaby He is also a conservative BTW pic.twitter.com/GqmPYEXe5s
Tue Jul 07 13:29:23 PDT 2015 --  So God made a dog pic.twitter.com/9ZPZxUkgoO
Tue Aug 25 20:39:21 PDT 2015 --  @SportyGirlC @PJStrikeForce @TPInsidr special pigs being bred with muzzies in mind pic.twitter.com/mCdkxRZXsn
Tue Aug 25 19:54:03 PDT 2015 --  @SportyGirlC @PJStrikeForce Right on for sure!!
Tue Aug 25 19:35:07 PDT 2015 --  @SportyGirlC @Patti_Bayou @PJStrikeForce @TPInsidr pic.twitter.com/yLF562DzpO
Tue Aug 25 19:24:34 PDT 2015 --  @SportyGirlC @PJStrikeForce @TPInsidr put some pigs blood or pork in the meat and they will stop asking
Tue Aug 25 19:08:14 PDT 2015 --  @PJStrikeForce @SportyGirlC @TPInsidr Crazy how ppl think they can dictate what food a restaurant should sell. They should open their own
Tue Aug 25 19:44:22 PDT 2015 --  I'm ready for cooler weather, hoodies, football and huntin season. Bring on fall.
Tue Aug 25 19:27:35 PDT 2015 --  Thank you Followers! Love the great mix of people here and this twitter community rocks. God Bless! #CCOT pic.twitter.com/8bIrAPELM9
Tue Aug 25 18:55:26 PDT 2015 --  @SportyGirlC @PJStrikeForce NO halal meat anywhere.
Tue Aug 25 18:54:44 PDT 2015 --  @PJStrikeForce @sportygirlc @pjstrikeforce @tpinsidr BOO HOO, cry me a fucking river HEATHENS !!!
Tue Aug 25 18:47:14 PDT 2015 --  @SportyGirlC You don't go to a steak house for sushi or a burger joint for Won Ton Soup. The world doesn't owe them anything.
Tue Aug 25 18:45:37 PDT 2015 --  @SportyGirlC @PJStrikeForce @TPInsidr I'm feed up with these people. We will not bend 2 your ways. We don't want or need your money
Tue Aug 25 16:44:33 PDT 2015 --  @miltownkidZEE @SportyGirlC If their parents would stop voting DEM .They need to listen to Ben Carson who says it like it is.
Tue Aug 25 14:05:16 PDT 2015 --  It's called Accountability... And it's FREE. Get some.. Oh & a damn belt!! #zerowhiteguilt #alllivesmatter #ccot pic.twitter.com/pSiPr9HxUu
Tue Aug 25 13:57:43 PDT 2015 --  The effects of Liberalism explained.. #CCOT #JUSTSAYNOTOBEINGALIBERAL pic.twitter.com/dR04abVRpX
Mon Aug 24 10:24:42 PDT 2015 --  The only place this Offensive, Muslim symbol belongs. Right along with the Hope and Change it represented. #CCOT pic.twitter.com/06w8xSNOLU
Mon Aug 24 07:50:13 PDT 2015 --  Hazard warning! Low information voters... #CCOT #WAKEUPAMERICA pic.twitter.com/KBFyQY1JTa
Tue Aug 18 12:07:19 PDT 2015 --  Every #RT notifies @POTUS on Twitter that he is responsible for her death. http://goo.gl/7Adp3V  #KatesLaw pic.twitter.com/DcXtH1YWkI
Mon Aug 24 06:59:59 PDT 2015 --  #SkinCancer - http://go.shr.lc/1PMxVEZ  via @shareaholic #women #health
Mon Aug 24 06:38:21 PDT 2015 --  The AMERICAN DREAM ........ pic.twitter.com/crhHuX21VD
Sun Aug 23 07:54:31 PDT 2015 --  @SportyGirlC 10/4 lady
Sun Aug 23 07:52:38 PDT 2015 --  Good news for the Atheists! #CCOT pic.twitter.com/EwfaffBOix
Sun Aug 23 06:53:35 PDT 2015 --  I believe in the sun even if it isn't shining. I believe in love even when I am alone. I believe in God even when He is silent.
Sat Aug 22 23:05:06 PDT 2015 --  . @Youxia88 American children aren't born to illegals and the children of illegals aren't our problem. They belong across the border.
Sat Aug 22 20:23:49 PDT 2015 --  @SportyGirlC I think u might need Eagles Pom pom's when u wear that T-Shirt.
Sat Aug 22 22:14:50 PDT 2015 --  Concealed-Carry Permits for Women Up 270% since 2007 http://fb.me/3k9HO2Jgy 
Fri Aug 21 17:52:07 PDT 2015 --  WANTED: For impersonating an American REWARD: Your Country & Freedom Back #CCOT #worstpotusever #treasonous #wakeup pic.twitter.com/gLuS8IzsEt
Fri Aug 21 17:39:35 PDT 2015 --  Muslims and Liberals.. Speak no evil, see no evil.. Picture worth a thousand words #CCOT #WAKEUPAMERICA pic.twitter.com/uTmgqzFiNu
Fri Aug 21 17:30:47 PDT 2015 --  When you pull in to get gas and see the price... This sums it up #CCOT pic.twitter.com/et4hNhDUqV
Fri Aug 21 15:33:09 PDT 2015 --  @sentioe @SportyGirlC @TreeSappp @rsjr49 @AlphaDogArmory @RobWvurob @Oncelobo @BeagleGuy13 @Freemurad cheers y'all pic.twitter.com/P15Fw7nZmn
Fri Aug 21 15:12:27 PDT 2015 --  Jesus, please hear our prayers in healing this hero! https://twitter.com/ihatethemedia/status/634848892945891329 …
Fri Aug 21 13:29:54 PDT 2015 --  Yawn! No one should waste their time focusing on fake climate change issues. https://twitter.com/ezraklein/status/634781154667823104 …
Fri Aug 21 13:18:05 PDT 2015 --  Jade Helm’s Role in the 90% Reduction in US Population As Predicted By the CIA and the Obama Administration -... http://tinyurl.com/p9mphfx 
Fri Aug 21 10:50:46 PDT 2015 --  I WOULD LOVE A CRUZ-CARSON ticket! https://twitter.com/DorineSez/status/634783623380529152 …
Fri Aug 21 10:10:51 PDT 2015 --  To Combat this threat to America, flush twice if needed #OHHILLNO #corrupt #benghazi #killary #emails #fraud #CCOT pic.twitter.com/gA1rrc0jSP
Fri Aug 21 09:45:38 PDT 2015 --  #FF@newstouse, @TreeSappp, @rsjr49 @AlphaDogArmory @infideljesus , @RobWvurob , @Oncelobo, @sentioe, @BeagleGuy13, @Freemurad Thanks Guys!
Fri Aug 21 04:53:29 PDT 2015 --  #FF .... @KellyM716 @KSay4SF @Ms_APayne @_msthirdward @TammyNayh @scsonggal90 @SportyGirlC @amywunderlich @heyfucccko @milkkandcookies....
Fri Aug 21 02:37:10 PDT 2015 --  The bigger they are, the harder they fall. #carry #2a #ccot pic.twitter.com/TXte97x57t
Thu Aug 20 18:30:40 PDT 2015 --  pic.twitter.com/iKCCVTWYcr
Thu Aug 20 17:43:57 PDT 2015 --  Not everyone is going to like what you have to say, thats why you shouldn't care what people think about you.
Thu Aug 20 17:15:17 PDT 2015 --  A place where Jared can still get a footlong.. #sorrynotsorry pic.twitter.com/uLQ0RT5QGK
Thu Aug 20 17:09:50 PDT 2015 --  Thursday.. I love my job but work is... pic.twitter.com/tBIUz6UVmW
Thu Aug 20 16:37:10 PDT 2015 --  " @Giants: What it's all about! #GiantsPride pic.twitter.com/HPSoowhdCj"
Tue Aug 18 19:32:21 PDT 2015 --  " @donaldbroom: You Can Now Buy Special Ammo Just for Shooting Down Drones http://smar.ws/beceD  #SmartNews" @AlphaDogArmory Here you go!
Tue Aug 18 18:10:57 PDT 2015 --  @SportyGirlC Ok, deal. Only because I like you. And I know I'm gonna win lol
Mon Aug 17 19:31:02 PDT 2015 --  Republicans in Washington are weak and timid because 0bama's NSA has the dirt on them. That's my take and I'm sticking to it.
Tue Aug 18 17:26:04 PDT 2015 --  @Giants @SportyGirlC So basically Eagles win the East.
Tue Aug 18 15:01:58 PDT 2015 --  Order the Attorney General to Investigate Planned Parenthood&#039;s Sale of Aborted Baby Parts http://wh.gov/iIqQ1  #signed
Tue Aug 18 12:47:34 PDT 2015 --  VACATION DAY 12: Refugees flee ISIS. Iraq continues decline. At a Martha's Vineyard shuffle board tourney, BHO takes a mulligan.
Tue Aug 18 13:00:58 PDT 2015 --  Rt to show respect pic.twitter.com/pVRFDzUylK
Tue Aug 18 09:44:59 PDT 2015 --  Your taste in music develops through experience, and is not something you're born with.
Tue Aug 18 03:41:27 PDT 2015 --  Your shoes are the first thing people subconsciously notice about you.
Mon Aug 17 21:24:45 PDT 2015 --  @SportyGirlC ok. The fightin' Irish. Can't go wrong there
Mon Aug 17 20:17:10 PDT 2015 --  Like America, the last 7 years up in smoke... pic.twitter.com/Yuk70MpGeH
Mon Aug 17 19:15:18 PDT 2015 --  UNREAL! #Giants QB Ryan Nassib bombs it 50 yards, hits smallest target imaginable! WATCH: http://bit.ly/1K2SFrz  pic.twitter.com/MXaNelV4kW
Mon Aug 17 17:49:54 PDT 2015 --  . @HuffingtonPost so if you cover #Trump in entertainment section, do you cover #Hillary in the crime section? pic.twitter.com/dj6x0xksIb
Mon Aug 17 17:48:55 PDT 2015 --  Good Grief! #evencharliebrownknows #ccot #ohhillno pic.twitter.com/DbodEobFd8
Wed Aug 12 04:22:05 PDT 2015 --  Ted Nugent storms Kid Rock stage http://smq.tc/1h1LZ1W  pic.twitter.com/T5ZiwbojVQ
Mon Aug 17 16:58:45 PDT 2015 --  @SportyGirlC @ECentauri make sure you you pronounce that correctly,because nobody wants killary to get f........... yeah we do!!
Mon Aug 17 16:57:46 PDT 2015 --  Bush me once, Bush me twice but don't let us get Bush Whacked a third time. #ccot #justsaynotojeb pic.twitter.com/bRPRTjarJe
Mon Aug 17 16:48:06 PDT 2015 --  @SportyGirlC You can put a fork in her!
Mon Aug 17 15:11:05 PDT 2015 --  'F' PC...It's destroying America and this girl isn't PC #ccot #wakeupamerica pic.twitter.com/nz5BedgMQG
Mon Aug 17 14:58:34 PDT 2015 --  To come here.... Where will they escape to once the US becomes a socialist nation? Huh #ccot pic.twitter.com/sIpEbnI6eY
Sun Aug 16 20:59:56 PDT 2015 --  “ @SportyGirlC: Be the kind of woman... pic.twitter.com/NSwg42ICly” ooooohhhh yeah!!!!
Sat Aug 15 22:57:39 PDT 2015 --  @SportyGirlC i have been a Redskins fan since 1987. My wife is a Giants fan. I like New York so I root for G-men as well. The Eagles?
Sun Aug 16 13:25:46 PDT 2015 --  Gettin my relaxation on. #beachbum #myview #itsthelittlethings #destress #rhodeisland pic.twitter.com/ca87g8Yj7o
Sun Aug 16 05:33:53 PDT 2015 --  GOD BLESS Y'ALL ABUNDANTLY. MAY Y'ALL HAVE A BEAUTIFUL AND WONDERFUL DAY. HUG YOUR FAMILY AND THANK GOD FOR THE DAY YOU HAVE TOGETHER.
Sun Aug 16 06:08:41 PDT 2015 --  @SportyGirlC great....get em
Sun Aug 16 06:04:38 PDT 2015 --  Be the kind of woman... pic.twitter.com/7NfuthM07o
Sat Aug 15 22:25:59 PDT 2015 --  @SportyGirlC Maybe someone in the NFC East can win their first preseason game. HaHa
Sat Aug 15 22:23:09 PDT 2015 --  @SportyGirlC Goodnight cute blonde referee, gotta get some sleep have an Eagles game to watch tomorrow.
Sat Aug 15 22:12:17 PDT 2015 --  The power of make up... #ccot #ohhillno pic.twitter.com/m0tRiy8ng7
Sat Aug 15 21:44:35 PDT 2015 --  @newstouse @SportyGirlC @TreeSappp @Mihal17 I can ND finishing @ 10-2 this year. Bama will be tough as usual 10-11 wins.
Sat Aug 15 21:42:10 PDT 2015 --  I'm all about Old School #ccot #2a pic.twitter.com/zrnMVtvWmy
Sat Aug 15 21:24:27 PDT 2015 --  @SportyGirlC - only rolling I'm going to be doing is on floor laughing when 'Bama finishes with better record than ND. @TreeSappp @Mihal17
Sat Aug 15 17:44:40 PDT 2015 --  #SATURDAYCOOLPATRIOTS @SportyGirlC @Kittington2016 @danoroadblade @johnjaysays @binghamrk @richkent511
Sat Aug 15 20:04:21 PDT 2015 --  #tcot pic.twitter.com/HZY0qYVVyi
Sat Aug 15 18:49:00 PDT 2015 --  @SportyGirlC @newstouse @Mihal17 I agree, go Irish
Sat Aug 15 11:05:53 PDT 2015 --  @SportyGirlC @ProudInfidel33 the Lord puts us in place for a reason. Uses us for his work. It's beautiful.. Thank Jesus
Sat Aug 15 10:59:51 PDT 2015 --  @SportyGirlC @ProudInfidel33 it's about finding who you truly are and getting how u see yourself inline with one another. It's beautiful
Sat Aug 15 10:58:55 PDT 2015 --  @SportyGirlC @ProudInfidel33 we're three ppl in http://life.how  others c us the way we c ourselves n who we truly are.Idc bout others
Sat Aug 15 05:05:24 PDT 2015 --  Thanks Cristin . I agree with you . God Bless & HAGWE ! @SportyGirlC @infideljesus
Fri Aug 14 18:06:31 PDT 2015 --  @Mihal17 - my dear Twitter friend @SportyGirlC and her Irish are going down this season. :) #RollTide
Fri Aug 14 16:35:07 PDT 2015 --  my favorite hot weather shirt ~ pic.twitter.com/2Pl12NZhHI
Fri Aug 14 16:36:49 PDT 2015 --  Giants baby! #preseason
Fri Aug 14 15:08:18 PDT 2015 --  @Dena_Beth @TheGilbert23Mom @SportyGirlC Absolutely, most definitely! LOL!
Fri Aug 14 14:23:19 PDT 2015 --  #bostonredsox #RedSox #boston #mlb Breaking News - Red Sox manager John Farrell diagnosed with Stage 1 lymphoma http://dld.bz/dQ29c 
Thu Aug 13 13:51:45 PDT 2015 --  @mansoortshams @GeraldYak420 @fxstc14me Then why defend Iran deal? Remember Iran has a Marine they refuse to release.
