Mon Aug 24 14:29:46 PDT 2015 --  #changes https://twitter.com/cnnbrk/status/635909174065537024 …
Fri Aug 21 10:34:32 PDT 2015 --  Ask not what deez nuts can do for you, instead ask yourself "what can u do for deez nuts" #DeezNutsForPresident
Wed Aug 19 11:39:00 PDT 2015 --  This really was the first mixtape we bumped when we got a black president. U called it @DJDRAMA pic.twitter.com/9qPY69TiSb
Wed Aug 19 18:49:21 PDT 2015 --  Ohhh shit https://twitter.com/Power1051/status/634163296900415493 …
Wed Aug 19 17:49:01 PDT 2015 --  Perfect shade of lipstick @keyshiacole pic.twitter.com/rt6Ww3UgFb
Wed Aug 19 12:18:40 PDT 2015 --  While I was reading this all I could think about was @joverdose saying ohh nooo https://twitter.com/cnnbrk/status/634043058376568832 …
Wed Aug 19 09:34:22 PDT 2015 --  #WCW to the lovely, badass, nerdy, awesome, hilarious & amazing @megturney! pic.twitter.com/pU09h6t5UE
Sun Aug 09 18:08:02 PDT 2015 --  Now I wanna see a @drake and @S_C_ #beef lol
Sun Aug 09 18:03:00 PDT 2015 --  It's official @drake won this 1, it's 2 bad @MeekMill I was rooting for u #hiphop pic.twitter.com/fs2UVp6CVZ
Tue Aug 04 03:52:36 PDT 2015 --  Can't stop watching Twitter vids from last night's #OVOFest #WeakMill pic.twitter.com/ZgjnhUGrnZ
Thu Jul 30 14:23:07 PDT 2015 --  This is too funny https://twitter.com/meekmill/status/625857654812975105 …
Wed May 06 10:03:07 PDT 2015 --  No doubt @DJDRAMA is the GOAT of tapes
Sat May 02 13:35:49 PDT 2015 --  I can't believe you guys didn't know that @khloekardashian was half black #smh
Tue Apr 21 15:23:44 PDT 2015 --  #Goals pic.twitter.com/whxeMBTYZu
Thu Apr 16 17:14:42 PDT 2015 --  Draya so fine, If she was my girl and I walked in on her with another guy. I'd be the one apologizing
Thu Apr 09 08:35:40 PDT 2015 --  Just read @NicoleScherzy's Wikipedia page. She deserves to be way more famous than she is right now, that girl puts in work... #smh
Sun Jan 18 22:26:20 PST 2015 --  Dating a Tall Girl: http://youtu.be/tN-O_xcEmpI 
Wed Dec 31 12:28:46 PST 2014 --  Don't be late. #HappyNewYear w/ @KingBach, @AmandaCerny, @LoveLianeV https://vine.co/v/OwTgV1udenj 
Wed Dec 17 11:44:19 PST 2014 --  The #'s are humbling. It's a win for all artists and fans and a clear message to the industry. No singles no features. Stop serving trash
