Sat Aug 29 03:31:24 PDT 2015 --  Gameday. Huge. Flipping. Gameday.
Sat Aug 29 03:25:03 PDT 2015 --  Good morning from the #412 pic.twitter.com/MW5b8MuVfD
Fri Aug 28 10:57:05 PDT 2015 --  ICYMI @PghRiverhounds have to figure out how to unlock some of #USL's top defenses, or they'll be missing playoffs.. http://pittsburghsoccerreport.com/2015/08/28/analysis-pghriverhounds-need-to-turn-the-tide-against-usls-top-defensive-teams/ …
Fri Aug 28 13:22:43 PDT 2015 --  Okai hasn't played a lot lately, but this is going to make a tough game even tougher. https://twitter.com/theothermegryan/status/637352645926256645 …
Thu Aug 27 13:13:28 PDT 2015 --  *Reads last Hounds tweet* *Gets momentarily excited* *Watches video in said tweet* *Throws phone in furious rage*
Wed Aug 26 17:46:20 PDT 2015 --  The beloved now drop to 7th place. Plenty of time to right the ship, but it has to start this weekend.
Wed Aug 26 17:27:57 PDT 2015 --  Final in Montreal: Charlotte 1, Montreal 0. That means the @PghRiverhounds fall out of the top 6 in the @USL East for the time being.
Wed Aug 26 14:30:31 PDT 2015 --  @JAWPA #PGHGoldenTicket only one more day! One winner takes home @PghRiverhounds @SteelArmy season tix and more! http://bit.ly/GTR-15 
Tue Aug 25 17:25:11 PDT 2015 --  If you say you need a new football team to support, may we make a suggestion?
Tue Aug 25 10:04:11 PDT 2015 --  Weekend Recap: Stumbling When It Counts http://steelarmy.com/2015/08/weekend-recap-stumbling-when-it-counts/ … pic.twitter.com/Nq48ZagXva
Mon Aug 24 12:27:08 PDT 2015 --  Wait... What? pic.twitter.com/0utdXW4wyO
Sun Aug 23 10:01:23 PDT 2015 --  Pittsburgh fans are passionate, but @SteelArmy brings a different feel to city's sports scene- http://ow.ly/RePtH  pic.twitter.com/GSmEbkrftE
Sat Aug 22 15:42:56 PDT 2015 --  The @PghRiverhounds' @SteelArmy brings an international flavor to the city's sports scene - http://ow.ly/RePo2  pic.twitter.com/pmcdHJvvBR
Thu Aug 20 19:03:03 PDT 2015 --  Then: Aaron Horton finds the stoppage-time winner, as @SaintLouisFC grabs a 3-2 victory. #USL #STLvCHS https://amp.twimg.com/v/d7cc25f8-3f4c-4e41-baa4-21c2446f09fa …
Thu Aug 20 19:01:39 PDT 2015 --  If you are feeling really crazy, 3rd place Charleston just blew a 0-2 lead to lose 3-2. They hold at 36 points with 5 games to play.
Thu Aug 20 15:58:04 PDT 2015 --  East standings (points-games left) 4. Richmond 33 5 5. NYRBII 33 5 6. Pittsburgh 32 6 7. Harrisburg 31 7 8. Charlotte 26 8 Butt Clinch City
Thu Aug 20 15:00:18 PDT 2015 --  Last RT: (In hypothetical Hounds to MLS world) If you wouldn't come out to see this team play in USL, we have no need for you in MLS.
Thu Aug 20 14:18:13 PDT 2015 --  Adam Bittner: Pittsburgh has nothing to prove to MLS http://bit.ly/1htmtTs  pic.twitter.com/vEAtbzEIx0
Wed Aug 19 18:26:36 PDT 2015 --  Ugh... Looks like belt is going to tighten a little more for the Hounds.
Wed Aug 19 18:22:37 PDT 2015 --  50' GOOOOAAAALLLL ISLANDERS! @BJankouskas makes it 2-0 #TORvHAR
Wed Aug 19 17:43:24 PDT 2015 --  Fiddlesticks.
