Thu Aug 27 10:10:50 PDT 2015 --  One Direction - Drag Me Down https://youtu.be/Jwgf3wmiA04  vía @YouTube
Fri Aug 21 13:04:07 PDT 2015 --  
Thu Aug 20 06:44:16 PDT 2015 --  Amor y deseo son dos cosas diferentes; que no todo lo que se ama se desea, ni todo lo que se desea se ama.
Thu Aug 20 06:43:39 PDT 2015 --  La memoria es como el mal amigo; cuando más falta te hace, te falla.
Mon Aug 17 10:39:52 PDT 2015 --  
Sat Aug 15 16:39:48 PDT 2015 --  @StephanyLoyo Te invito a seguir a la #ArtistaRevelaciónMundial @DeisyOfficial Escucha su Hit #SolosTúyYo http://www.youtube.com/watch?v=BjrSM6gb3Yk … Dale RT.
Sun Aug 16 13:32:23 PDT 2015 --  pic.twitter.com/ug61Ek0Vyo
Sun Aug 16 09:03:04 PDT 2015 --  “Es de valientes sonreír cuando el corazón llora.”
Sun Aug 16 07:38:06 PDT 2015 --  Sometimes all you need, is someone who can make you smile.
Sun Aug 16 08:59:51 PDT 2015 --  🏻
Sat Aug 15 17:42:40 PDT 2015 --  No pienses tanto, deja que la vida te sorprenda.
Sat Aug 15 17:32:19 PDT 2015 --  https://twitter.com/MENSAJESLIND0S/status/632710906116313088 …
Sat Aug 15 14:36:00 PDT 2015 --  #NecesitoYa una cena de @Doritos
Sat Aug 15 14:30:49 PDT 2015 --  #MeMataQue sea lunes, odio el lunes!
Sat Aug 15 14:24:59 PDT 2015 --  Chocolateee. UhMmmm
Sat Aug 15 14:23:01 PDT 2015 --  🏻
Thu Aug 13 19:32:44 PDT 2015 --  A ninguna mujer le gusta un hombre que sea regaladote con todas. Anoten ésto y gracias.
Thu Aug 13 20:22:02 PDT 2015 --  Odio a esas personas que se enamoran y se olvidan de todas sus amistades. Como si el amor les fuera a durar para siempre.
Fri Aug 14 07:46:32 PDT 2015 --  Se acerca El Fin de Semana.. #BuenViernes
