Thu Aug 27 20:13:21 PDT 2015 --  Send it to ESPN and I'll sign it. https://twitter.com/justinhelmer3/status/637097640434475008 …
Sun Aug 23 10:09:14 PDT 2015 --  Alright, that's all I needed to see from @AaronRodgers12. He's ready.
Fri Aug 07 15:29:20 PDT 2015 --  Can't wait to see what my Espn QBR was from practice today. Glad they factor in clean handoffs and walk thru td passes b/c I was on point
Thu Jul 30 17:58:00 PDT 2015 --  Aware of Parra-to-Orioles rumors. Have not been able to independently confirm. There does appear to be interest, though.
Thu Jul 30 17:31:07 PDT 2015 --  Boras: “The Brewers’ medical staff is as expert and qualified as its reports. Apparently in New York it is viewed as cheesehead medicine.”
Thu Jul 30 12:59:02 PDT 2015 --  Carlos Gomez is in the lineup tonight…. for the #Brewers.
Wed Jul 29 18:34:39 PDT 2015 --  Bucks President @pfeigin at Bradford Beach watching Team Bucks win their first volleyball game of the summer!! pic.twitter.com/frxu7lqFYU
Tue Jul 28 14:09:16 PDT 2015 --  There will be no rally party tonight. Feel good Bucks fans, but it's not over. We'll have a gathering before the final rounds though.
Tue Jul 28 14:07:21 PDT 2015 --  We’re so thankful for all of the vocal support that has helped get us to today’s historic vote.
Tue Jul 28 14:07:04 PDT 2015 --  The support we received from fans, citizens and a broad coalition of statewide orgs illustrates how this is about much more than basketball
Tue Jul 28 10:48:35 PDT 2015 --  Bill passes State Assembly 52-34! Goes to @GovWalker now for signature! Great job by all of you lobbying your reps!
Tue Jul 28 06:47:27 PDT 2015 --  @SaveOurBucks Not sure if already common knowledge, but Janel Brandtjen called me back and she is in our corner. Will vote to support arena.
Mon Jul 27 21:53:01 PDT 2015 --  . @Scali09 Milwaukee Common Council still needs to approve in Sept. but tomorrow very big milestone.
Mon Jul 27 20:30:38 PDT 2015 --  The question will be if the bill is voted on in the same form as what passed the State Senate two weeks ago or if amendments to modify it.
Mon Jul 27 20:28:34 PDT 2015 --  The Assembly will meet tomorrow to debate the arena bill and likely vote on it. The vote could come before noon. Unsure on exact timing.
Mon Jul 27 11:59:18 PDT 2015 --  Arena debate goes to Assembly Tue. A Lion in Milwaukee? Crew bats go silent. Show time on The Big 920. Listen http://thebig920.com/listenlive 
Mon Jul 27 11:50:27 PDT 2015 --  Called Rep. Ott (& 14 others)-he's still a Yes-you can find his stance here-http://www.gmtoday.com/news/business/front/topstory97.asp … Keep calling! @SaveOurBucks @brewcitypaul
Mon Jul 27 11:30:00 PDT 2015 --  @SaveOurBucks Rep. Sanfelippo in District 15 is leaning yes, aide said as of right now 68-75% of his constituents favor deal.
Mon Jul 27 11:30:21 PDT 2015 --  @brewcitypaul @SaveOurBucks @Bucks @nbated just called Rep. Knodl of Germantown and he IS in support of the arena
