Fri Aug 28 23:46:05 PDT 2015 --  ActuallyLetSupremeCourtJusticeOrJudgeStay 13.75 yrsTheyRwiseSagaciousPeopleWhoGrowWitTheJOB&R usuallyXperienced InLawJustice&NeedTime2evolv
Fri Aug 28 23:20:03 PDT 2015 --  Y should supremeCourt b lifers?SupremeCourt judgesShouldHave aLimit example 5.5 yrs to 15 yrs maybe 20.but 20 is twoDecades ..to muchTime! !
Fri Aug 28 21:02:26 PDT 2015 --  TrashingMeISaWasteOfTheirTimeEnergies&Goal;ForI'mNotGreedy.MyGoal is2tellTruth.MyPastWontGetTheWhitehous&I Don'tXpectThat.Y→Its impossible!
Fri Aug 28 20:46:55 PDT 2015 --  If u r a true Real patriot all that matters is the truth.winning is icing on the cake. Coveying your message & telling the truth is victory
Fri Aug 28 20:44:07 PDT 2015 --  All the candidatesDo is attackEachothersCredentials&past(Your past isOnly A problem if U R planning to win.If u win thats icingOn the cake
Fri Aug 28 19:42:13 PDT 2015 --  I understandPopulousFactors(InElectoralsThereR otherFactorsTheOtherStatesHaveTheirStateOfAffairs&rProvider's2 theRestOfTheUnion&Rsignificant
Fri Aug 28 19:31:51 PDT 2015 --  If you win theEastCoastElectoralsU R(UsuallyAlways ) the winner in westCoast(&notCountingHawaii&Alaska&USTerr&Citizens globallyElsewhere.
Fri Aug 28 19:23:56 PDT 2015 --  The election shouldnt be over as soon as u win Florida orOhio.Doesn't that sound crazy or unfair.Its East CoastVsWest&Nothing in the middle
Fri Aug 28 19:16:37 PDT 2015 --  If you gaveKansas 4or5& Nebraska 4or5MoreElectoralsForXample&otherStatesToo Alaska Hawaii 4 more each&Oklahoma etc theElectonWould bMoreFair
Fri Aug 28 19:09:31 PDT 2015 --  If the election is alive after the Midwest & mountain time the west coast is dominant California 55 wow ..we bite the hands that feeds us
Fri Aug 28 19:05:36 PDT 2015 --  After the east coast is tallied in electorals the election is almost finished. As if the rest of the country is irrelevant .
Fri Aug 28 19:02:53 PDT 2015 --  AlotOfLaws&rulesNeed toBmodified.TheElectoral isGoodButTheMajorityStatesLikeFloridaTexas NewYorkCaliforniaEtcCanGiveUp&divy5To20 Electorals
Fri Aug 28 18:40:15 PDT 2015 --  Supreme courtShouldAlwaysB half of each house in congress half of the minority & the majority house selected by each groupNot thePresident
Fri Aug 28 18:34:49 PDT 2015 --  GeorgeWashingtonWasRight about the presidentNt BeingKingGeorgeShouldOfMade aStrongerTermLimitation4XampleLikeA5.5yrTerm 4prez& top cabinet
Fri Aug 28 18:27:37 PDT 2015 --  Our forefathersWereSmart but they not GOD only GODisPerfectThereRmanyThingsTheyCouldn't4C like the electoralCollegeImbalanceStateByState
Fri Aug 28 11:15:57 PDT 2015 --  Continued→U can b a nonWorshiper ofEvil & b nonNarcissistic &not be a nihilist .& still have faith in GOD &NotB an atheist &not bAgnostic
Fri Aug 28 11:08:23 PDT 2015 --  U CAN B SPIRITUAL & NOT FOLLOW a religion. Yet U can have faith in God & have values & B ethical. U can Still b non atheistic &non agnostic
Thu Aug 27 23:58:40 PDT 2015 --  UcanHavGreatEthics&Values&Believe inGod&NotHavAreligiousDoctrin&Bspiritual nonAtheistNonEvilWorshiperNonAgnosticNon Nihilist&NonNarcissistic
Thu Aug 27 23:37:08 PDT 2015 --  Fanaticism.emotionally disturbed. self righteousness .holier than thou..narcissistic in a different way..
Thu Aug 27 23:30:48 PDT 2015 --  ThereR PeopleWhoHaveTheirFaithWhoRserialKiller's&DoActs inAssociationToTheBibleForExample;Faith&it's RestraintsDon'tGuaranteeSanity.Confused
Thu Aug 27 22:08:57 PDT 2015 --  Continued→ weNeed if not all our citizens -most of our people toBelieve in God. Non athiest .non agnostic. Non nihilistic.Non narcissistic .
Thu Aug 27 22:04:46 PDT 2015 --  Its trueThat aCentralizedGov.By itself isn't aCure all for allSocialDisorder& theBarbaricProblems inOurSociety.(Not by itself anyway! )
Thu Aug 27 21:57:19 PDT 2015 --  GOD make me good enough. God make me worthy .God help people see the good in me& help me get past this hurdle.
Wed Aug 26 15:39:46 PDT 2015 --  It'sAmisconceptionThatAllOfYourRepresentativesCareAbout thePeople.Some do!MANY r Ruthless&Selfish&PerCthePeopleAsSuckers,pawns&steppinStones
Wed Aug 26 15:28:18 PDT 2015 --  Its a misconception that democrats only care for poor people&its a misconception that democrats r incapable of greed or corruption too!
Wed Aug 26 15:24:37 PDT 2015 --  It is aMisconceptionThatAllRepublicansRwealthy or rich. InFact SomeOf them r poor.its aMisconceptionThatRepublicansOnlyRepresent the rich
Wed Aug 26 10:00:29 PDT 2015 --  Continued→ButAllMy ideas&visionsRveryRealisticallyPossible&CANbRealisticallyDoneEasilyWithHardWork&Courage (Prerequisite→stopCorruptSpendin
Wed Aug 26 09:51:59 PDT 2015 --  People would still need to work .I'm NotPromisingFantasyWorld.Actually I DON'T likeToPromiseTheEndResults.I'mNotGod.I doPromise to doMyBest.
Wed Aug 26 09:43:43 PDT 2015 --  RealisticallyStopSpendinCorruption&trulyHonestlyCentralize(DownsizeCONSOLIDATE&AccountMonitor$WiselyWeWouldB able2makeLife&SocietyGREAT4All
Wed Aug 26 09:23:11 PDT 2015 --  ThoughI'mAconservative&BelieveInCentralization in$&gov =agencies&DepartmentsETC.I'mAmagnanimousIndividual.I wantAllPeople2bFree&NtLiveInFear
Wed Aug 26 09:09:33 PDT 2015 --  There a good politicians &Bad orFull of it.That goes for all parties independents republicansDemocratsOr any party.I am a lincolnRepublican
Wed Aug 26 09:04:55 PDT 2015 --  ThereIsGood&bad inAllCulturesRacesFusionsOfPeople.Most PeopleRgoodInsideTheirOurCountryIsMadeUpOfAllMixesOfCulturesRacesIntellWisdoms=power
Tue Aug 25 22:10:08 PDT 2015 --  I am a lincoln republican.I believe in freedom. I don't believe in bs. I love this country & all itsPeople as a greatNation we are1 combined
Tue Aug 25 14:12:18 PDT 2015 --  WeRntSimplyOn a slippery slopeWe R NtonlyStuck inMudWe're BOTH&weRstuck inGlue&MudThat'sBeginning2hardenWeR inTheEndGame(SaveUSAnowOrNever?!
Tue Aug 25 14:01:31 PDT 2015 --  WeR Oerloaded&weRaNATIONinAbloatedStateOfOverkillWeOverComplicate&WORKagainstEachotherOurEnemiesLaughAtUs.A strongPushAloneIsNTheSolution
Tue Aug 25 13:46:01 PDT 2015 --  IfWeDon'tSimplify&centralizeWeWillNeverBable toFocus&havePeace ofMind as aNation. How can any country operateWith a soundMind in Such chaos
Tue Aug 25 13:39:47 PDT 2015 --  WeMustCentralizAllSpendin&deptsAsMuchAsPossible4TheUSA2survive&BecomeXtremlySTRongr&MoreIndependentByStrengtheninOurPhysical&MentalWellBeing
Tue Aug 25 13:30:32 PDT 2015 --  AlthoughI'mNTaCentralistIn aFederalistWayI'mNT aFed inTheSenseOfTheWord=WeSometimesDoWhatWorksTherforeWhenNec(I'm aCentralist}MoreSoTHANaFed
