Thu Feb 12 14:39:36 PST 2015 --  Comment period on fee increase at White Sands monument ends Friday. http://ow.ly/IYkNq  pic.twitter.com/Rw2nTMRUen
Sat Jan 31 17:10:25 PST 2015 --  What's up with you?.
Sat Jan 31 10:04:35 PST 2015 --  GMO Mosquito Plan Sparks Outcry in Florida http://news.yahoo.com/gmo-mosquito-plan-sparks-debate-florida-021146335.html … pic.twitter.com/1p0X4pzkBX
Thu Dec 18 11:50:26 PST 2014 --  http://dailyred.com/XJxLeSrG?a=d 
Thu Dec 18 11:48:40 PST 2014 --  http://lo5.co/XJxLeSrG?a=d 
Thu Dec 18 09:54:45 PST 2014 --  I'm a family member of a child neglect case that was presented in court,child returned to same situation,who's responsible Now ????
Thu Sep 25 12:35:55 PDT 2014 --  Judge fernando macias http://www.lcsun-news.com/las_cruces-news/ci_26596900/report-faults-new-mexico-mental-health-services …
Mon Aug 18 14:07:34 PDT 2014 --  pic.twitter.com/YvICdMO03z
Mon Jul 28 18:46:09 PDT 2014 --  @GovernorSusanaMartinez pic.twitter.com/IEz1hwpqyJ
Mon Jul 28 18:41:48 PDT 2014 --  @senatorMartinHeinrich pic.twitter.com/DV8BVn5iug
Mon Jul 28 16:34:09 PDT 2014 --  @senatorKellyAyotte pic.twitter.com/qa1jKi8fP9
Sun Jul 27 11:26:50 PDT 2014 --  JudgeJudy pic.twitter.com/MBjsECuE4w
Fri Jul 25 11:01:50 PDT 2014 --  Any one from Fox News in NM read this ??I need help from you to let the public know how corrupt the CYFD system is in your State!
Fri Jul 25 10:56:47 PDT 2014 --  Does Judge Judy read any of these????? I need help from her
Fri Jul 25 10:46:22 PDT 2014 --  How do I get someone to listen to me where there is a 8 year old boys life in danger if he is placed back in the home with his mother?please
Fri Jul 25 10:44:17 PDT 2014 --  Aren't you and your wife a activist for CASA Dr. Phil?
Fri Jul 25 10:42:54 PDT 2014 --  How do I get someone to listen to me where there is a 8 year old boys life in danger if he is placed back in the home with his mother ???
Fri Jul 25 04:56:13 PDT 2014 --  Does Judge Judy read any of these Twitter pages?? First time here and she's the only one I trust in getting something done!!
Tue May 06 04:00:18 PDT 2014 --  These notifications to join twitter got sent out automatically ,I just joined myself so this is all new to me!
