Thu Aug 27 22:53:41 PDT 2015 --  pic.twitter.com/lokP8PAP4r
Wed Aug 26 20:36:10 PDT 2015 --  Follow my #Instagram ( @lipstick.is.warpaint ) !! Everything #Beauty
Wed Aug 12 07:13:07 PDT 2015 --  6 months ago this gem became mine. Love you to the and back @Aquagenius. pic.twitter.com/Wq8Nuoitkg
Tue Jun 30 18:22:08 PDT 2015 --  I LOVE THE KARDASHIAN FAMILY pic.twitter.com/DIFVW6eNuu
Fri Jul 10 11:22:06 PDT 2015 --  when someone wakes me up pic.twitter.com/bjoOm6uGMW
Tue Aug 04 11:34:12 PDT 2015 --  freshman year vs. senior year pic.twitter.com/PfHFxOwqvg
Sat Aug 08 15:50:49 PDT 2015 --  Hello Instagram. https://instagram.com/p/6I8ikEt9oj/ 
Sat Aug 08 15:54:04 PDT 2015 --  In an effort 2 squash some posers, my daughter is helping me start an Instagram profile. Chk it out. Hint: it's just my name
Sat Jul 25 14:38:32 PDT 2015 --  Our Department of Defense just got a little stronger today! @jarpad #DCCON #WinchesterDefense pic.twitter.com/CyI9PPhRXX
Sat Jul 25 14:33:18 PDT 2015 --  Felt totally excluded cause I didn't know the reference why @Jaclynhill whyyy? ..I still wanna be bffs lol
Wed Jul 15 16:17:36 PDT 2015 --  Ronda Rousey at ESPYs: 'I wonder how Floyd [Mayweather] feels being beat by a woman for once.' http://on.si.com/1Lk4KbN  pic.twitter.com/Y7pyBBjTte
Wed Jul 15 15:02:01 PDT 2015 --  https://youtu.be/v90wAMOVcwc  @OITNB @LauraPrepon isn't @MadeULookbyLex amazing! Love watching her kids
Sun Jul 12 10:03:38 PDT 2015 --  Not enuf lights 4 all, rest after TVD. If u didn't get card, here. Signal: start of Q&A #AKFHallH #AlwaysKeepFighting pic.twitter.com/u9Sab7N1Lk
Thu Jul 02 09:04:00 PDT 2015 --  So many broads taggin their friends n cryin on IG yesterday cause I over drew my lips a little on the top. It ain't that deep hoe, sit down.
Mon Jun 29 18:09:24 PDT 2015 --  To everyone who met @ourfazinali at phame, I hate you , lol! Jk, but no seriously, I envy you . One day babe, one day lol #ShesBabe
Sat Jun 27 11:50:04 PDT 2015 --  Omfg I just love the way @MannyMua733 & @patrickstarrr talk to each other lol you guys are too funny always picking on each other #LuvU
Tue May 26 23:39:02 PDT 2015 --  If you are just gonna hate on other artists and be a bitter ass bitch, you'll never make it in your career. Guaranteed. Stay humble.
Mon May 18 11:23:22 PDT 2015 --  Thank you, from the bottom of my heart and soul, for your love and support. It's going to good use. All of my love and #AlwaysKeepFighting
Tue Apr 14 17:30:19 PDT 2015 --  @David_Boreanaz thank you for thinking of me today always my #angel
Tue Apr 07 13:54:20 PDT 2015 --  " @ourfazinali: Everyone keeps sayin Harry Potter to my necklace and I'm over here like, I just like geometric shapes. " LOL!
Sun Dec 21 15:59:26 PST 2014 --  I'm not EXACTLY sure what happened here, but I'm MOSTLY sure we lost a bet somehow. #SupernaturalChristmas pic.twitter.com/DhX6hIPNAu
Wed Feb 25 14:36:58 PST 2015 --  This place feels familiar. #dejavu #SPN pic.twitter.com/GrOVSyoSGb
Fri Mar 27 18:03:48 PDT 2015 --  Tennis anyone? #ThingsDeanWinchesterWouldNeverSay #SPNFamily pic.twitter.com/UpNPSBDHet
Sun Oct 19 01:23:52 PDT 2014 --  Celebrating with @jarpad at a wonderful 200 episode bash. #supernatural #SPNFamily #ThisGuySmells pic.twitter.com/7P06N4khWM
Fri Feb 13 16:03:53 PST 2015 --  This Valentine's Day, I've designed my first ever limited edition tee for the #SPNFamily --> http://represent.com/jensen  pic.twitter.com/CmVEJLTy1z
Sun Mar 15 00:48:32 PDT 2015 --  Just hangin with Pops. #VegasCon pic.twitter.com/Jt1Eomggzu
Tue Mar 31 19:12:43 PDT 2015 --  I don't think it's fair that @ourfazinali can do funny faces but still look bomb as fuck, like seriously tholol#Babe pic.twitter.com/hNfirLqt4W
Tue Mar 31 19:10:22 PDT 2015 --  Uhm, I Had a little trouble focusing on your makeup here @ourfazinali.. Lol .. But i love it! #SelenaForever pic.twitter.com/b5YaEx47Hz
Tue Mar 31 19:06:13 PDT 2015 --  Omfg, these snapchats between @MannyMua733 & @Jaclynhill lmfao!! I love it!
Tue Mar 31 14:11:19 PDT 2015 --  Remembering #SelenaQuintanilla #RedLipsForSelena #AlwaysMissed #SelenaForever #Selena #ILoveHer
Thu Mar 26 23:24:11 PDT 2015 --  On #CallofDuty #Ghosts & #AvancedWarfare #Ps4 let's play Give Me your #Psn
Sun Feb 22 08:57:46 PST 2015 --  I AM DYING pic.twitter.com/bvxLu3Q1oi
Thu Mar 26 12:06:06 PDT 2015 --  " @Its_North_West: kendall looking to jesus while kylie summons satan pic.twitter.com/6WnWqKt9bZ" Lmfao
Tue Mar 24 18:39:29 PDT 2015 --  Retweet this second pic.twitter.com/cJyjSY9Z9s
Tue Mar 24 18:39:22 PDT 2015 --  Retweet this first pic.twitter.com/KnTsHmigKI
Wed Mar 25 15:34:26 PDT 2015 --  MILEY NO pic.twitter.com/JlVZN5K6ov
Sun Mar 08 07:09:34 PDT 2015 --  Why isn't this going viral? https://vine.co/v/O2IpUL7AvUF 
Tue Feb 17 11:04:00 PST 2015 --  https://vine.co/v/Om2jmVqB3Md 
Sat Mar 07 17:04:40 PST 2015 --  Hope is hard to find. #DearGod #AvengedSevenfold #A7X
Thu Mar 05 22:36:16 PST 2015 --  #TBT hangin with my old buddy @jarpad 9 seasons ago. And the good times just keep Rollin! #SPNFamily pic.twitter.com/0HfFHfsWHY
Wed Mar 04 09:19:52 PST 2015 --  "Always be kind, every soul is engaged in a great battle" -unknown. As for your own battles, #AlwaysKeepFighting http://represent.com/jared 
Tue Mar 03 12:33:37 PST 2015 --  Launching my 1st ever t-shirt for a cause thats super close to my heart. I hope you like it! http://represent.com/jared  pic.twitter.com/nZu4YO460m
Mon Mar 02 23:59:46 PST 2015 --  " @xoShaaan: New YouTube obsession: @MannyMua733" RIGHT!!!?? LOL Love u Manny! & u 2 shann
Sun Mar 01 20:37:16 PST 2015 --  #HappyBirthdayJensenAckles I love you!!
Sun Mar 01 16:48:51 PST 2015 --  Thank you for all the #HappyBirthdayJensenAckles tweets. Another year older, oh well. Love to all! Cheers!
Sun Mar 01 20:35:57 PST 2015 --  Gotta wish my Husband a Happy Birthday @JensenAckles! lol , Love you!! #Supernatural #SPNFamily #ily
Fri Feb 27 14:11:56 PST 2015 --  Still blushing after ALL these years @jarpad Happy Anniversary! Too many many many more pic.twitter.com/uQTghwoTdS
Mon Feb 23 10:37:41 PST 2015 --  Monday, in emoji:
Thu Feb 19 18:23:12 PST 2015 --  the IG drama is too real!! All these "famous" MUAs got something to fight about
Wed Feb 18 10:04:53 PST 2015 --  " @netvonbeezy: No seriously I really want those cream contour palettes so I can make some facecharts tho waiting patiently @norvina1 "
Wed Feb 18 10:01:19 PST 2015 --  " @milanicosmetics: Lifetime supply of free makeup. #MyDreamIn5Words" If Only
Tue Feb 17 22:51:18 PST 2015 --  Now I know I don't talk much on IG but feel free to hmu on this
Mon Feb 16 11:15:02 PST 2015 --  @khloekardashian I'll be that lil whore to support my family like ur older sister is a whore 2 support hers. We're even #MuvaGivesFacts
Sat Feb 14 04:25:04 PST 2015 --  News: Jensen sells limited edition t-shirt http://jensendaily.net/eng/?p=5101  #JensenAckles #SPNFamily
Fri Feb 13 22:26:30 PST 2015 --  Happy Valentine's Day! Or for my fellow #Supernatural fans and #SPNFamily: "Happy Unattached Drifter Christmas!" :D pic.twitter.com/eFsJjWOxwL
Sun Feb 08 18:01:49 PST 2015 --  The best thing you can do is not think, not wonder, not imagine, not obsess. Just breathe, and have faith that everything will work out.
