Sat Aug 29 09:42:25 PDT 2015 --  It's sound, sound, sound till the day I die
Wed Aug 26 09:01:12 PDT 2015 --  in school rn just got a new chrome book. oorah
Wed Aug 26 01:44:14 PDT 2015 --  I'm slowly pacing till I kill like that boy Jason
Tue Aug 25 11:25:44 PDT 2015 --  Def gonna check it out, good looks https://twitter.com/InDaBooth/status/636233044039442432 …
Mon Aug 24 19:07:43 PDT 2015 --  70 followers strong, I'd like to thank all of you for following me!!!!!
Mon Aug 24 13:28:26 PDT 2015 --  I put my life in this sentence like a convicted felon I'm always snitching bout my life cause my music tell it
Mon Aug 24 10:57:24 PDT 2015 --  ...How many lyrics do I have even?
Sun Aug 23 18:00:28 PDT 2015 --  Return tomorrow at 5pm EST for a special announcement from The Estate of Tupac Shakur. pic.twitter.com/aUvgW0Ycp2
Sun Aug 23 21:18:30 PDT 2015 --  I'm too real to pay for followers Jk I'm actually too poor And barely have followers Still humble tho Still ugly tho #struggle
Sat Aug 22 10:35:29 PDT 2015 --  S/o to everyone complimenting our #Subtrap roll out/marketing plan. I hope it inspires artist to take their time and drop quality music.
Sat Aug 22 14:42:22 PDT 2015 --  I'm thankful even if I don't have anything yet
Fri Aug 21 15:34:41 PDT 2015 --  R.I.P my afro 6/21/15
Fri Aug 21 15:33:43 PDT 2015 --  Can't wait till I make it #DreamsandVisions
Fri Aug 21 13:48:04 PDT 2015 --  Nigga @realyungpoppy pic.twitter.com/J31rPfIspZ
Thu Aug 20 21:33:16 PDT 2015 --  My new sounds: Spanx - Intro (Flee) https://soundcloud.com/therealspanx/spanx-intro-flee … on #SoundCloud
Thu Aug 20 21:35:57 PDT 2015 --  I love all types of #music
Thu Aug 20 11:07:19 PDT 2015 --  ...Who shot ya?
Wed Aug 19 14:39:46 PDT 2015 --  Up again and now I'm back at it
Wed Aug 19 07:39:52 PDT 2015 --  No one loves my bed more than me right now Mostly because I'm the only one who can love my bed But still
Wed Aug 19 04:37:33 PDT 2015 --  What is sleep
Tue Aug 18 13:17:29 PDT 2015 --  Finally able to work on some new beats
Mon Aug 17 19:13:04 PDT 2015 --  I am the real young jedi @Logic301 @starwars pic.twitter.com/Jn6RNxLezc
Mon Aug 17 16:55:28 PDT 2015 --  at the end of the day, we're really all just out here winging it hoping for the best
Mon Aug 17 16:57:34 PDT 2015 --  I just wanna thank all of my followers, I don't care how big or small my audience is, I'm still grateful to have every single one of y'all
Mon Aug 17 16:19:57 PDT 2015 --  No role modelz though...this deep...and I'm not not talkin bout the @JColeNC version
Sun Aug 16 07:02:51 PDT 2015 --  "It Just Might" COMING SOON🏽
Sun Aug 16 02:44:28 PDT 2015 --  Last night, I had a bad dream that I was trapped in the city Then I asked, is that really such a bad thing?
Fri Aug 14 14:28:08 PDT 2015 --  Don't you fuckin say what are those https://instagram.com/p/6YP2FtFffH/ 
Thu Aug 13 22:06:01 PDT 2015 --  But do you know that I'll try to visually learn thanks to the help of @YouTube
Thu Aug 13 22:05:25 PDT 2015 --  Do you know how disappointed and angry I am because due to certain events I won't be able to do any of that until tomorrow
Thu Aug 13 22:04:55 PDT 2015 --  Do you know how excited I am to learn how to master audio
Thu Aug 13 22:04:29 PDT 2015 --  Do you know how excited I am to master this tiny verse
Thu Aug 13 19:53:54 PDT 2015 --  So I'm not the only one https://twitter.com/LudusGA/status/631312463879913472 …
Thu Aug 13 09:40:51 PDT 2015 --  Damn I wish I could afford to pre-order that Note 5, or any good phone for that matter
Wed Aug 12 22:42:03 PDT 2015 --  Also sorry I always talk about making songs but don't have anything released yet, I promise the wait will be worth it, all in good time
Wed Aug 12 22:41:08 PDT 2015 --  Really feeling this new @chancetherapper song "Sparring", I might do something with the beat
Tue Aug 11 23:49:24 PDT 2015 --  always thank people that do their jobs extremely well - no matter how big or small it is. it's motivating to see proficient people.
Wed Aug 12 00:14:49 PDT 2015 --  #DreamsandVisions pic.twitter.com/zTfHWeftVK
