Sat Aug 29 06:19:26 PDT 2015 --  Why do people like this even bother. https://twitter.com/WhyTheMetsSuck/status/634932616970506240 …
Fri Aug 28 09:41:10 PDT 2015 --  pic.twitter.com/6LZNw5t3VA
Mon Aug 24 16:36:12 PDT 2015 --  HES BACK!!!!
Mon Aug 24 14:03:52 PDT 2015 --  Theres a reason why i never dropped him after he got hurt.!! #5 #RE5PECT pic.twitter.com/pgqQ4qI1y4
Mon Aug 24 05:05:00 PDT 2015 --  Today the Mets are calling up some kid named David Wright all the way from St. Lucie. Mets fans have been patiently awaiting his arrival.
Sat Aug 22 10:27:35 PDT 2015 --  David Wright returns in 2 days. #Mets pic.twitter.com/eW9zw8puJN
Sat Aug 22 06:31:46 PDT 2015 --  Cespedes above the rest of us. More than 24K mentions for @ynscspds thanks to his historic night. https://vine.co/v/eDDOYzprXBh 
Fri Aug 21 06:45:40 PDT 2015 --  The sprint to the finish line, and how the Mets pitching plans can affect the pennant race http://justmets.mlblogs.com/2015/08/21/the-sprint-to-the-finish-line-and-how-the-mets-pitching-plans-can-affect-the-pennant-race/ … pic.twitter.com/YqFuFrwkb7
Wed Aug 19 17:48:31 PDT 2015 --  MLB Releases The 2015 Postseason Schedule via @forbes http://onforb.es/1JdZc1Z 
Wed Aug 19 09:17:57 PDT 2015 --  I've never been more frustrated at a persons' incapability to understand something. pic.twitter.com/7squTJO4ky
Tue Aug 18 19:56:11 PDT 2015 --  Good start to the road series. Keep it going. Throw that 9th inning in your back pockets and keep moving on!!
Tue Aug 18 19:54:17 PDT 2015 --  Thank god.....
Tue Aug 18 15:09:33 PDT 2015 --  RT if you are excited to have this guy back in the lineup tonight! #Mets #TheDudaBides pic.twitter.com/JvY5on9yog
Mon Aug 17 10:51:26 PDT 2015 --  Im really excited for what the next 44 games will bring. This is the happiest ive been in a while. Let the success continue, the race is on!
Sun Aug 16 13:38:43 PDT 2015 --  They better have a damn good road trip.
Sun Aug 16 13:09:11 PDT 2015 --  This is a shit show
Sun Aug 16 13:05:08 PDT 2015 --  That was NOT parnells fault
Sun Aug 16 13:03:35 PDT 2015 --  What the fuck!!!!!!!!!!
Sun Aug 16 06:13:04 PDT 2015 --  #HappyHarveyDay #Mets pic.twitter.com/h0GJXr8L44
Sat Aug 15 20:15:27 PDT 2015 --  Well that wasnt what i had hoped.
Sat Aug 15 18:31:53 PDT 2015 --  What a play!!!!
Fri Aug 14 20:30:56 PDT 2015 --  This was clearly a tough loss. Cant win them all, its not a total loss tho. The nats are losing so its a bad loss but it hopefully wont hurt
Fri Aug 14 12:03:32 PDT 2015 --  David Wright News:He is hoping on coming back by next weekend! RETWEET if you can't wait to see him on the field! #LGM pic.twitter.com/2S0lzkBTvY
Fri Aug 14 08:59:13 PDT 2015 --  #FullClubhouse http://bit.ly/1DQbBZG  Starring @bcraw35 @mm_duffy @JeremyAffeldt @hunterpence Javier Lopez @JoePanik and Bruce Bochy
Fri Aug 14 06:53:23 PDT 2015 --  With just a couple of trades look what we've become. We took the market by storm. Now lets take the game by storm. LGM!!!
Thu Aug 13 15:07:58 PDT 2015 --  If the #Cubs and the #Mets play for the pennant. The alcohol consumption will increase.
Thu Aug 13 12:27:11 PDT 2015 --  Its been a while since ive been this happy to be a mets fan. LETS GOOOOO!!!!
Thu Aug 13 12:12:25 PDT 2015 --  DO WORK TONIGHT VOGELSONG
Thu Aug 13 11:17:53 PDT 2015 --  Two big league rehabs tonight at Jupiter. David Wright at 3B and Kirk Nieuwenhuis in CF! pic.twitter.com/F18UgSwUEq
Thu Aug 13 10:01:17 PDT 2015 --  Since the "trade" on July 29th Carlos Gomez: .234/.265/.340 Wilmer Flores: .306/.343/.515
Wed Aug 12 08:02:50 PDT 2015 --  Idiot https://twitter.com/matthewcerrone/status/631478728229580801 …
Wed Aug 12 06:45:39 PDT 2015 --  TC will be cautious with Harvey, who is clearly pitching with a plan http://on.sny.tv/1UCuLqc 
Tue Aug 11 18:59:07 PDT 2015 --  LETS GO!!! METS!!!!! GRANDY! JUAN!!
Tue Aug 11 18:01:28 PDT 2015 --  There we go!!!
Tue Aug 11 10:36:48 PDT 2015 --  So would the general public be able to buy potential postseason tickets? A few games? @mets5baseball @metsciti
Tue Aug 11 07:39:27 PDT 2015 --  good morning Mets haters pic.twitter.com/jTvaNRsPZM
Tue Aug 11 07:51:20 PDT 2015 --  David Wright is curious and uncertain, but pleased with his early results http://justmets.mlblogs.com/2015/08/11/david-wright-is-curious-and-uncertain-but-pleased-with-his-early-results/ … pic.twitter.com/VqiiimwY9P
Tue Aug 11 07:56:06 PDT 2015 --  TC’s hit-or-sit roster and mantra http://on.sny.tv/1IBH8gA 
Mon Aug 10 18:47:27 PDT 2015 --  Great win, a much needed win for sure. Lets gooo!!!
Mon Aug 10 18:15:06 PDT 2015 --  BIG MURPH
Mon Aug 10 16:05:56 PDT 2015 --  Everyone should just unfollow @FREECONFORTO hes ridiculous. I was just blocked by him for giving him facts. I guess he cant handle the truth
Mon Aug 10 15:12:07 PDT 2015 --  @ThomasPuglia @NickDeBabylon I don't think he's capable
Mon Aug 10 15:05:40 PDT 2015 --  I actually hav more respect for @NickDeBabylon than I do for @FREECONFORTO The difference is tht one doesnt try calling himself a Met fan
Mon Aug 10 13:30:34 PDT 2015 --  Today some #Mets fans took part in an exclusive hitting lesson with @CGrand3. Take a peek: http://on.fb.me/1HCfZXd  pic.twitter.com/zElO2HXuOz
Mon Aug 10 12:13:47 PDT 2015 --  Tonight's lineup: @cgrand3 RF Murphy 3B @ynscspds CF Duda 1B Johnson 2B @TdArnaud C @mconforto8 LF Niese P Tejada SS #Mets
Mon Aug 10 12:23:56 PDT 2015 --  This is a major leauge lineup lets goooo!!! https://twitter.com/justmets/status/630819777011957760 …
Mon Aug 10 12:22:41 PDT 2015 --  This is the second smartest choice they have made since they got three acqusitions.
Mon Aug 10 10:40:41 PDT 2015 --  Praying for a W today
Sun Aug 09 12:30:55 PDT 2015 --  Can we please get a f***ing run!!!!
Sun Aug 09 09:32:38 PDT 2015 --  RETWEET if you like today's lineup! #Mets #LGM https://twitter.com/mets/status/630385298430492672 …
Sun Aug 09 08:04:32 PDT 2015 --  Taking all things into consideration, (as far as d'Arnaud needing an off day and Granderson needing to DH) this is a pretty perfect lineup
Sun Aug 09 07:37:43 PDT 2015 --  Sunday #mets rubber game lineup vs #Rays - Granderson at DH pic.twitter.com/ZfzVOaDPqc
Fri Aug 07 19:38:06 PDT 2015 --  Like he was literally being negative in moments that it's almost impossible to be anything other than positive
Fri Aug 07 19:40:30 PDT 2015 --  This year just feels special...I hope it's not an illusion! #LGM #Mets
Fri Aug 07 19:12:27 PDT 2015 --  What a game! The kind of game that good teams somehow find a way to win #metswin #LGM
Fri Aug 07 19:11:24 PDT 2015 --  YES YES YES!!!!! WILMER!!!!!
Fri Aug 07 19:08:50 PDT 2015 --  This is insane!!
Fri Aug 07 18:57:13 PDT 2015 --  WILMER!!!!!!
Fri Aug 07 15:00:23 PDT 2015 --  Im so excited for tonights game!! LETS GO METS!!
Fri Aug 07 09:18:14 PDT 2015 --  MLB Network is about to discuss Yoenis Cespedes' future with the Mets
Fri Aug 07 07:15:45 PDT 2015 --  What should we expect from David Wright when he returns from the DL? http://on.sny.tv/1MeIemJ 
Fri Aug 07 07:51:58 PDT 2015 --  Last time the #Mets played in TB, this was their lineup: Kirk CF Valdy DH Wright 3B Duda RF Davis 1B Murphy 2B Bay LF Thole C Quintanilla SS
Fri Aug 07 08:33:55 PDT 2015 --  Gameday! #LGM
Fri Aug 07 06:39:04 PDT 2015 --  Are the @Mets a World Series contender? @ChrisCarlinSNY & @HDumpty39 discuss http://on.sny.tv/1IvrT6N  pic.twitter.com/gEITYtnWvL
Fri Aug 07 05:43:35 PDT 2015 --  Mr. Cuddyer should come back Monday. But how does he fit with these new #Mets? By @andrewharts http://wp.me/p5IeT0-2Qb 
Fri Aug 07 05:59:22 PDT 2015 --  David Wright needs to feel dangerous at the plate before he’s ready http://justmets.mlblogs.com/2015/08/07/david-wright-needs-to-feel-dangerous-at-the-plate-before-hes-ready/ … pic.twitter.com/q1yamAit5A
Fri Aug 07 06:08:52 PDT 2015 --  pic.twitter.com/fMSizNdwFd
Thu Aug 06 20:52:10 PDT 2015 --  Still. Tweet of the night goes to... https://twitter.com/brlevy2001/status/629476736363798528 …
