Fri Aug 28 13:36:44 PDT 2015 --  Rang dosti ka @Thearjunbijlani @nehaswami @Iamkavitak pic.twitter.com/ulsvmFieHp
Fri Aug 28 13:35:51 PDT 2015 --  And the midnight walk before i hit the bed........ #Life's a bliss pic.twitter.com/SQI4w9BG0N
Fri Aug 28 04:07:39 PDT 2015 --  Fun filled evening with these lovely souls..!! #realshanky3 @Mrunal_MJ @shivin7 #movie#screening#dinner pic.twitter.com/9E7T7oB9cF
Thu Aug 27 07:31:24 PDT 2015 --  Be the kind of woman that when your feet hit the floor each morning the devil says ,"Oh crap,,she's up!"" pic.twitter.com/UHmCzvI3OO
Wed Aug 26 03:46:33 PDT 2015 --  Craziest gal i eva met @Iamkavitak ... #pic courtesy @Thearjunbijlani pic.twitter.com/KADNBPsxu2
Tue Aug 25 02:47:19 PDT 2015 --  The only person you should try to be better than,, is the person you were yesterday .. Have a blessed day guys!! pic.twitter.com/GlE06CqoFQ
Mon Aug 24 07:27:31 PDT 2015 --  Happiness is shopping with my bae... Inlove with my christian dior shades. ##shades#christiandior #shopping pic.twitter.com/z58CmDrpD5
Sun Aug 23 05:15:12 PDT 2015 --  A very special thank you to my talented friend #prasenjitkarmakar for this wonderful painting. pic.twitter.com/Bhmo6tvRGR
Wed Aug 19 08:32:23 PDT 2015 --  New Look.... Muhaaaaaaaaaa pic.twitter.com/bVCTI63u5E
Wed Aug 19 08:31:11 PDT 2015 --  Cheers pic.twitter.com/qBDxBABAmh
Sun Aug 16 09:17:59 PDT 2015 --  Cant explain how blessed i feel..he actually hugged me and blessed me..i feel sooo blessed... @SrBachchan Thank u god pic.twitter.com/F5CPIGH56a
Sat Aug 15 17:56:08 PDT 2015 --  Lovely edit... A big thank you to all my fans who loves me abundantly.. Love u all.. Good night!!! pic.twitter.com/lRWhoBesvm
Sat Aug 15 17:54:42 PDT 2015 --  MY 1ST TWEET.....
