Fri Aug 28 18:43:13 PDT 2015 --  Franklin 28 Murphy 14 11:50 to go 4th
Mon Aug 17 17:09:30 PDT 2015 --  BOOM @JillCHigdon https://twitter.com/jimcarideo/status/633353922648764416 …
Tue Aug 18 09:15:58 PDT 2015 --  Troy Adds Alex Hupp to Softball Coaching Staff http://gotroy.us/1J1EL4S 
Fri Aug 14 18:43:28 PDT 2015 --  pic.twitter.com/IXvCoDlDjA
Fri Aug 14 18:37:04 PDT 2015 --  Finally made it!! What a drive... @HaeliHb pic.twitter.com/hXO0CcCzWn
Mon Aug 03 09:34:21 PDT 2015 --  Back2back 4th place at 16U, 17th at 14U, 20th at 18U, lots of college visits. Something special happening in Platinum pic.twitter.com/rrK4VlrPWV
Mon Aug 03 10:01:02 PDT 2015 --  Special wk to cap off a special Summer. Unbelievable experience with them!! @JillCHigdon @shelb028 @crosbyhuckabay pic.twitter.com/S3VS5rR27D
Sun Aug 02 16:59:12 PDT 2015 --  Look who we got to spend the weekend with! @shelb028 pic.twitter.com/dSKfHagqww
Sun Aug 02 15:58:36 PDT 2015 --  4th place finish in ASA Nationals out of 181 teams. An last game of the season @HaeliHb dropped a bomb ;) pic.twitter.com/Dv1MZo6snf
Wed Jul 29 06:52:58 PDT 2015 --  Ball tournament pauses to pay respect to last week's shooting victims in Chattanooga TN Fury Platinum 17/18 pic.twitter.com/AEqM39cKaF
Sun Jul 12 19:03:28 PDT 2015 --  Top 6 out of her class! Not too bad. pic.twitter.com/aFdTzKBM07
Tue Jul 07 16:55:19 PDT 2015 --  Colorado Fireworks 2015 pic.twitter.com/dlqHS1YtxU
Tue Jul 07 15:45:11 PDT 2015 --  pic.twitter.com/Svw97SfSfx
