Thu Aug 27 19:03:34 PDT 2015 --  I love his voice too https://twitter.com/triggasopopular/status/637081547930247168 …
Thu Aug 27 19:04:13 PDT 2015 --  Defence Ministry joins arms purchase probe http://dlvr.it/Bzq54v 
Thu Aug 27 12:26:40 PDT 2015 --  #iAmDynamiteNg @DotunCoolfm is in support of this initiative, Join us as we invest in the future @titithedynamite pic.twitter.com/dbAov0tE6L
Wed Aug 26 23:47:03 PDT 2015 --  Waconzy Receives Humanitarian Award For Fight Against Malaria http://dlvr.it/BzK9f4  pic.twitter.com/YD6yXg4Tec
Thu Aug 27 14:19:46 PDT 2015 --  Why Some Guys Dump Ladies After Getting Under Their Skirts >>> http://goo.gl/fb/YRoHLD 
Thu Aug 27 03:13:24 PDT 2015 --  Sexual experience" @oluwatumisetolz: Slow and steady wins the race" @TWEETGERIAN: Do you think Buhari is really slow? #MayShuaOneBootyTwerk""
Thu Aug 27 03:14:36 PDT 2015 --  Nudist Resort Where NAKED Weddings Are Held (PHOTOS – NUDITY) http://dlvr.it/BzR1m4 
Thu Aug 27 03:14:37 PDT 2015 --  Opinion: Why Tinubu’s Media Empire is a Threat to All Nigerians http://dlvr.it/BzR3tw 
Thu Aug 27 03:14:40 PDT 2015 --  Alaibe can never be Bayelsa APC flagbearer – Sylva’s aide |http://nigeriantimes.ng/news/alaibe-can-never-be-bayelsa-apc-flagbearer-sylvas-aide/ …
Thu Aug 27 03:14:44 PDT 2015 --  Toyin Aimakhu calls herself Miss, deletes her husband's pics (Photos) - http://gistreel.com/2015/08/24/toyin-aimakhu-calls-herself-miss-deletes-her-husbands-pics-photos/ …
Thu Aug 27 03:14:47 PDT 2015 --  Fuel price and low commodity prices will help the industry, discounts are still high & can see uptick too going ahead: @TataMotors
Fri Aug 21 11:44:08 PDT 2015 --  How many artist do you think nigeria has ? #ForTheGistDotCom
Thu Aug 20 01:00:46 PDT 2015 --  Video: Pasuma Discusses Chris Brown Duet, Hip-hop Album & More On ‘My Music & I’ http://goo.gl/fb/B7ssl6 
Sun Aug 16 13:11:56 PDT 2015 --  Buhari Successfully Performs First Miracle Expected From Him By Nigerians http://bit.ly/1TJMjOB 
Sat Aug 15 14:56:43 PDT 2015 --  Nigeria’s oil workers on Friday faulted the on-going reform in the oil and gas industry, and vowed to take... http://fb.me/3YO4DvfsA 
Sat Aug 15 14:56:46 PDT 2015 --  NNPC Reform: PENGASSAN, NUPENG Threaten Showdown With FG http://nationalparrot.com/nnpc-reform-pengassan-nupeng-threaten-showdown-with-fg/ …
Fri Aug 14 02:28:53 PDT 2015 --  Forbes Rates Don Jazzy Richest Nigerian Artiste + Plus Full List http://www.goldmyne.tv/forbes-rates-don-jazzy-richest-nigerian-artiste-plus-list/ …
Thu Aug 13 15:03:14 PDT 2015 --  See Female MFM Pastor Remanded In Prison Over Visa Scam http://rawgist9ja.blogspot.com/2015/08/see-female-mfm-pastor-remanded-in.html?m=1 …
Thu Aug 13 15:03:51 PDT 2015 --  HL: Such Boldness! Ex-Banker Parades Self As ASP, Gets Office For The Illegal Act' http://rawgist9ja.blogspot.com/2015/08/hl-such-boldness-ex-banker-parades-self.html?m=1 …
