Tue Aug 11 13:10:58 PDT 2015 --  LIVE on #Periscope: #bacardi @isolad'elba #bacardisummer https://www.periscope.tv/w/aJpOTTU5NzM2MDl8NTkwNTIxOTXyoSqZJL7d8Ez0JHrNv0Vv2oHKwEjaIyEd7DwLOjiC_g== …
Sat Jul 25 15:31:59 PDT 2015 --  LIVE on #Periscope: Graduate Party in Rome https://www.periscope.tv/w/aIQF3jU5NzM2MDl8NDcwMjM2ODmiyg4YBim6TSY3vznl-JHzm2flkfblaFIX7Um51iZ4fA== …
Sat Jul 25 15:27:17 PDT 2015 --  LIVE on #Periscope https://www.periscope.tv/w/aIQExDU5NzM2MDl8NDcwMjA0NzlJ3WNJqvbdPuTon4NsqaHFR1JE_rapu_WymMSmWF0sQg== …
Sat Jul 25 15:22:50 PDT 2015 --  LIVE on #Periscope: Graduate Party in Rome https://www.periscope.tv/w/aIQDtzU5NzM2MDl8NDcwMTczMjYYrOABFTRW_7cRo_HJZeCk5ZZRH_bvYTBloB01-zkAPA== …
Sat Jul 25 15:00:31 PDT 2015 --  LIVE on #Periscope: Graduate Party in Rome https://www.periscope.tv/w/aIP-fzU5NzM2MDl8NDcwMDE1MjnWc0W9e32Gg-by-2t8hXt_9RB1hgp5E3fA763WHc9j9w== …
Fri Jul 10 15:55:47 PDT 2015 --  LIVE on #Periscope: Incanto sotto il Mare #twist&shout #Roma - qui si balla! https://www.periscope.tv/w/aHBE8TU5NzM2MDl8Mzc0ODQxNTSLvcMmISrGZUiJqxnJjBEkD_sXQoMrwiv4pDcxgTPDiQ== …
Fri Jul 10 15:24:40 PDT 2015 --  LIVE on #Periscope: Incanto sotto il Mare #twist&shout #Roma - la serata continua!!! Irresistibile voglia di vacan… https://www.periscope.tv/w/aHA9pzU5NzM2MDl8Mzc0NjM0MTWx84Bj9lcfbFHjh3Ma2vGLZoos4msv3hXR7QcBGefUHg== …
Fri Jul 10 15:14:23 PDT 2015 --  LIVE on #Periscope: Incanto sotto il Mare #twist&shout #Roma - vintage night in Rome https://www.periscope.tv/w/aHA7PTU5NzM2MDl8Mzc0NTY1OTZNL5vcpTjX9SgJk7RZIsWt-d5d2pxqFCLVB7NuOdNehQ== …
Fri Jul 10 14:21:36 PDT 2015 --  LIVE on #Periscope: Incanto sotto il Mare #twist&shout # Roma https://www.periscope.tv/w/aHAu3jU5NzM2MDl8Mzc0MjAzNDcT-zGodunlNLReLmAWZAo0ESY6sOamRQTGpcxmPdvCrQ== …
Thu Jul 02 04:27:55 PDT 2015 --  LIVE on #Periscope: Hello world! Per la prima volta stiamo andando in onda. Prepariamo 2431PSC - seguiteci! https://www.periscope.tv/w/aGUXujU5NzM2MDl8MzI0MTQwOTYnLznZoAbEKxSZ9TVhIwr9ZtrKrdkG1hn9gzsW1O0cwg== …
Sat Jun 27 16:12:59 PDT 2015 --  Con #Periscope in scooter per Roma pic.twitter.com/vOUdCwEJeU
Sun Apr 19 09:35:17 PDT 2015 --  Weekend ad Amsterdam rovinato @KLMflights, hanno perso il bagaglio venerdì Notte ed ancora non sanno dove sia! #lostLuggage
Fri Feb 06 08:35:57 PST 2015 --  " @enjoy: #enjoy non ti lascia mai a piedi ma...." io sono giorni che non riesco a riattivare il mio account e a modificare la mia crtCredito
