Wed Aug 19 10:08:41 PDT 2015 --  Hehe pic.twitter.com/zM5gOOAHoK
Tue Aug 18 18:23:13 PDT 2015 --  The best player in CoD History.. pic.twitter.com/xiAcodFasJ
Fri Aug 14 17:06:31 PDT 2015 --  I’m a few points away from a free gift card via @AppBounty. Visit http://abo.io/bdlfpoom  to sign up & we both get #iTunes #Amazon gift card
Thu Aug 13 17:12:12 PDT 2015 --  Okay, here's a proof you can draw something out of... Let's say idea. @CobaltStreak be my concept artist :P pic.twitter.com/0YiyBWj3tm
Mon Jun 01 10:04:37 PDT 2015 --  "Follow and RT for your chance to win" # #houseofwolves DLC Code/EU/UK/PS4 Only! Ending 3rd June, Good luck Guardians pic.twitter.com/p72uFbEvQm
Sun May 31 05:45:18 PDT 2015 --  Well @DestinyTheGame ya nailed it! pic.twitter.com/uDBTgyAdLv
Thu Apr 23 11:13:24 PDT 2015 --  Am I the only one getting Error code Banjo on @DestinyTheGame
Sat Mar 14 15:02:52 PDT 2015 --  THANK YOU for all the support <3 - to give back, an XB1 giveaway! RT & Follow to enter, winner picked on the 30th ^_^ pic.twitter.com/ApTd8x8XKw
Tue Mar 10 10:49:04 PDT 2015 --  WHAT THE FFUCK!! DestinyTheGame pic.twitter.com/Ha3M646nKr
Thu Feb 19 10:58:13 PST 2015 --  Doing a Grape G-Fuel GIVEAWAY! RT TO ENTER!! pic.twitter.com/LqAvn2l2UF
Tue Feb 03 13:34:07 PST 2015 --  RETWEET for this to go up NOW! D; pic.twitter.com/SrKdA3xOTu
Mon Feb 02 16:34:24 PST 2015 --  Hey guys @ImMarksman is currently streaming AW on twitch! He's the god of SnD!
Sun Jan 11 12:10:40 PST 2015 --  Just 3 maned the CROTAS RAID! Got the SwordBreaker! But my 2 friends got the Black Hammer! pic.twitter.com/KTqGzqeCvp
Fri Jan 09 09:53:31 PST 2015 --  Im trying to do the new raid on Destiny but it jeeps lagging me and my 5 friends out of the game HELP ME @DestinyTheGame
Wed Dec 31 12:57:51 PST 2014 --  “ @KarlConrad Im going to Spain this year you?
Mon Dec 29 16:32:35 PST 2014 --  “@akaDiBs true
Mon Dec 29 15:50:10 PST 2014 --  When people talk about "pulling bitches" and i'm here like "You don't even pull your own weight"
Mon Dec 29 15:47:14 PST 2014 --  “ @FaZe_Rain damn you lazy little rain..
Mon Dec 29 13:29:20 PST 2014 --  “@Briskster ok these are obviously fake now..
Mon Dec 29 12:41:36 PST 2014 --  Retweet If You're A Small Account Under 10k I Will Help A Bunch Of You Grow! Must Follow Me (Will Be Checking)
Mon Dec 29 12:43:35 PST 2014 --  Hey @OMGitsfirefoxx I tried to enter the raffle on twitch but it kept telling me to verify my E-mail, but i get no email :'(
