Thu Aug 20 07:19:25 PDT 2015 --  pic.twitter.com/VbHBkvPun3
Thu Aug 20 07:19:05 PDT 2015 --  pic.twitter.com/c3R8eFk7Ch
Mon Aug 17 10:18:19 PDT 2015 --  Skyz hats,watches, golf shirts etc..Its a clothing line that means Successful Knowledgeable YouZ #tryingtomakeachange pic.twitter.com/GGphZMF2nj
Fri Aug 14 04:42:20 PDT 2015 --  New Watches pic.twitter.com/cKm5kCeVfl
Fri Aug 14 04:37:05 PDT 2015 --  New hats pic.twitter.com/8M5iYxUGv8
Fri Aug 14 04:34:57 PDT 2015 --  New hats pic.twitter.com/c3R8eFk7Ch
Fri Aug 14 04:32:35 PDT 2015 --  New Skyz Beanies coming out this fall pic.twitter.com/VbHBkvPun3
Fri Jun 10 19:11:16 PDT 2011 --  Screwwwww work on monday :(( I wish i could be like this lady, shes a rolemodel!! http://tinyurl.com/5vqgd6t
Fri Jun 10 16:27:01 PDT 2011 --  Maaannn if you hate your boss... This article might help you get through work tomorrow!! http://tinyurl.com/3clwov3
Fri Jun 10 13:12:56 PDT 2011 --  I hate my boss soooo much :((( Im really hoping this works for me :D http://l.pr/a4zn6y
Fri Jun 10 09:53:47 PDT 2011 --  God i dun wanna wake up for my stupid job tomorrow... this lady inspires me!! http://l.pr/a4znd2
Tue Jun 07 22:12:59 PDT 2011 --  Screw workkk today :( I hate waking up in the rain - this news article is so motivational!! http://tinyurl.com/3m5ug6s
Tue Jun 07 20:25:52 PDT 2011 --  Screw workkk today :( I hate waking up in the rain - this news article is so motivational!! http://tinyurl.com/3q5pml8
Tue Jun 07 11:51:33 PDT 2011 --  My boss is a friggin jerk.. I want to be FREE like this chick!! http://tinyurl.com/5w9tan2
Tue Jun 07 10:28:10 PDT 2011 --  Screw workkk today :( I hate waking up in the rain - this news article is so motivational!! http://tinyurl.com/3paj939
Mon Jun 06 15:19:48 PDT 2011 --  Screw workkk today :( I hate waking up in the rain - this news article is so motivational!! http://tinyurl.com/43uqwql
Mon Jun 06 13:38:45 PDT 2011 --  I dun wanna wake up to go to work tomorrowwwww!! :( This ladys my rolemodel!! http://tinyurl.com/3dcrm8p
Sun Jun 05 21:04:05 PDT 2011 --  I dun wanna wake up to go to work tomorrowwwww!! :( This ladys my rolemodel!! http://tinyurl.com/5weggqy
Sat Jun 04 09:44:46 PDT 2011 --  My boss is a friggin jerk.. I want to be FREE like this chick!! http://tinyurl.com/6awjcr4
Thu Jun 02 20:27:09 PDT 2011 --  I dun wanna wake up to go to work tomorrowwwww!! :( This ladys my rolemodel!! http://tinyurl.com/6g757fm
Tue May 31 11:09:27 PDT 2011 --  I haaaate getting up for work on tuesdays - I wish I could be like this chick!! :( **INSPIRED** http://tinyurl.com/3twx3ya #screwmyjob
