Tue Aug 04 01:01:47 PDT 2015 --  Just posted a photo https://instagram.com/p/59DngPu90OvCWGU-7xaY7AuGLIDhaIFrXdEhg0/ …
Tue Jul 28 00:41:52 PDT 2015 --  Like if you want # jammers_23 plz plz like it plz plz I'll do anything… https://instagram.com/p/5q_xgTO90Vo2OS3Tn0kKmVFLz39bcjWQTdFY80/ …
Mon Jul 27 16:11:28 PDT 2015 --  I'm following back whoever Follows me and Revines this until 700k!!! (Vine by @wtf_uh) https://vine.co/v/egl2EUluiIt 
Mon Jul 27 15:55:23 PDT 2015 --  Follow and SUBSCRIBE to @JoeySalads for the full video (Vine by @PrankLifeVideos) https://vine.co/v/egLQEF0UImJ 
Mon Jul 27 15:54:53 PDT 2015 --  Follow and SUBSCRIBE to @JoeySalads for the full video (Vine by @PrankLifeVideos) https://vine.co/v/egQOrmLPLQM 
Mon Jul 27 15:54:24 PDT 2015 --  Follow 🏼 @Omarybaby 🏼 for hilarious vines! 🏼 @Omarybaby 🏼 Get him to 400k! (Vine by @Vineidols) https://vine.co/v/eglAh0KABUZ 
Mon Jul 27 15:53:30 PDT 2015 --  When you're not ready for a 🏻handshake w/ @PageKennedy, @RobertOberst (Vine by @McPhonz) https://vine.co/v/eglbFQ09WQv 
Mon Jul 27 15:51:21 PDT 2015 --  When you roll out with the homies w/ @RealBigNik, @TheOscarMiranda @Splack_19 (Vine by @MrJayMendoza) https://vine.co/v/egLA0nd5XuY 
Mon Jul 27 15:49:17 PDT 2015 --  Hahaha lol https://vine.co/v/egV9uaqpj2I 
Mon Jul 27 15:48:12 PDT 2015 --  (Vine by @_Clutchchris_) Snapchat/IG:clutchchris (Vine by Super Matt) https://vine.co/v/egl6MvVF0WW 
Mon Jul 27 15:47:45 PDT 2015 --  (Vine by @Cool_Chrizz) Snapchat/IG: coolchrizz (Vine by Super Matt) https://vine.co/v/egVEYQlErnw 
Mon Jul 27 15:47:00 PDT 2015 --  Favorite @JrockVine he's my favorite viner! (Vine by I Iove jrock!) https://vine.co/v/egLj13PUJXr 
Wed Jul 22 14:36:28 PDT 2015 --  Follow and favorite @comedy_vines_ and @scottysire2.. OR ELSE! (Vine by Do Or Die) https://vine.co/v/e6EbBa2ibqP 
Thu Jul 09 05:09:49 PDT 2015 --  Jaylene pic.twitter.com/ovhWQpVjRw
Thu Jul 09 05:07:34 PDT 2015 --  Shelby likes him pic.twitter.com/UgWo8Izry3
Tue Jul 07 13:39:40 PDT 2015 --  Lol so bored https://instagram.com/p/42UF8Wu9_C/ 
Tue Jul 07 13:27:44 PDT 2015 --  pic.twitter.com/A4KpoRAK8i
Tue Jul 07 13:25:20 PDT 2015 --  Yasmine pic.twitter.com/gkeVAsWXqi
Tue Jul 07 02:14:11 PDT 2015 --  makeupvideoss's video https://instagram.com/p/vZ5eleJku3/ 
Mon Jul 06 23:35:30 PDT 2015 --  Lol
Mon Jul 06 23:34:42 PDT 2015 --  Lol
Mon Jun 08 00:41:23 PDT 2015 --  Lol lol
Mon Jun 08 00:40:27 PDT 2015 --  Avery Shelby Charlotte and Keira suck dick on accident
Sat Jun 06 14:52:48 PDT 2015 --  Lol jaylyns face doe https://vine.co/v/eMjmM5waLhQ 
Sat May 30 18:43:06 PDT 2015 --  That was legitness. Press the STAR on @_TheBestOfVine_ for more (Vine by Rididculousness FanPage) https://vine.co/v/ebbPHHQIFhh 
Sat May 30 18:42:32 PDT 2015 --  Wow! That spaghetti talent! #Ridiculousness (Vine by @_TheBestOfVine_) https://vine.co/v/O9F9etq6rWp 
Sat May 30 18:42:14 PDT 2015 --  When you see bae with someome else By:Unknown (Vine by @_TheBestOfVine_) https://vine.co/v/OJlpzh2aeWm 
Sat May 30 18:42:08 PDT 2015 --  I want to be famous By:Rachel Olsen (Vine by @_TheBestOfVine_) https://vine.co/v/OqW0jOJgKTw 
Sat May 30 18:40:12 PDT 2015 --  Butt naked nasty By:Unknown (Vine by @_TheBestOfVine_) https://vine.co/v/OaBlgUtaZAj 
Sat May 30 18:37:18 PDT 2015 --  Dancing Spahetti (Vine by @AndyMilonakis) https://vine.co/v/MwgrhuLQVvx 
Sat May 30 18:37:04 PDT 2015 --  Pull it straight up (Vine by @AndyMilonakis) https://vine.co/v/MwgHPTevj1E 
Sat May 30 18:36:21 PDT 2015 --  Yasmine to him https://vine.co/v/Mjinihg6eKO 
Sat May 30 18:35:41 PDT 2015 --  Lol https://vine.co/v/M2BBIWBYi61 
Sat May 30 18:35:20 PDT 2015 --  Yasmine when she hasn't checked her her fb in like 20 years https://vine.co/v/M0a6FAtwXvA 
Sat May 30 18:34:06 PDT 2015 --  Yasmine when she pukes https://vine.co/v/M00HpLrTKvm 
Sat May 30 18:33:29 PDT 2015 --  Bobby Shmurda's Cat when he get he food (Vine by @DustynMichael) https://vine.co/v/Ou02TzB7zXY 
Sat May 30 18:33:07 PDT 2015 --  Yasmine when she is danceing# https://vine.co/v/OWEntujp0OH 
Sat May 30 18:32:27 PDT 2015 --  Yasmine https://vine.co/v/OXvqAE0rTLg 
Sun May 17 22:29:12 PDT 2015 --  #hungrysofa #loop (Vine by @laserbread) https://vine.co/v/bVBD023UQgA 
Sun May 17 22:28:37 PDT 2015 --  Sylvio and Lucy get married. (part 14 of 37) #sylvioandlucy (Vine by @ThingsinNature) https://vine.co/v/hAOpt2t6wU3 
Sun May 17 22:27:38 PDT 2015 --  Santeria -Sublime #6secondcover #music #cover (Vine by @UsTheDuo) https://vine.co/v/hxTIeHXdDWY 
Sun May 17 22:13:35 PDT 2015 --  I may followback everyone who follows me and revines this (Vine by @HotBoyGreedy) https://vine.co/v/eAb3edIgHae 
Sun May 17 22:12:09 PDT 2015 --  Go follow @thtwasstooclose craziest account in vine!!! @thtwasstooclose (Vine by Yellow Vine) https://vine.co/v/eAm9aFWYmeX 
Sun May 17 22:11:18 PDT 2015 --  Follow for more Following back lucky ones (Vine by @_msmtz) https://vine.co/v/eAb3nvawbhT 
Sun May 17 22:10:54 PDT 2015 --  Follow for more Following back lucky ones (Vine by @_msmtz) https://vine.co/v/eAAjVZDLqWF 
Sun May 17 22:09:51 PDT 2015 --  To yasmine https://vine.co/v/eAbPvP7M59B 
Sun May 17 22:08:43 PDT 2015 --  How Thugs Pronounce Items Pt.8 [ Cred: @TheRealTJSteez ] (Vine by LLAMF VINES) https://vine.co/v/eAblgp9Ueqi 
Sun May 17 22:08:39 PDT 2015 --  How Thugs Pronounce Items [Cred: @TheRealTJSteez ] (Vine by LLAMF VINES) https://vine.co/v/eAbl0YUg62d 
Sun May 17 22:08:01 PDT 2015 --  Follow @MrJayMendoza his vines are hilarious. (Vine by Cameron Dallas) https://vine.co/v/eAbgawqFwvq 
Sun May 17 22:07:44 PDT 2015 --  Follow @MrJayMendoza Comedy Mania comment "" when done. (Vine by Rolly Bird App) https://vine.co/v/eAbg6PJZigA 
Sun May 17 22:06:27 PDT 2015 --  Lol https://vine.co/v/eAbDIi7LJIA 
Sun May 17 22:02:56 PDT 2015 --  I may follow everybody that revines this and follows me! (Vine by Josh Peck <3) https://vine.co/v/eAbbdgaI7v5 
Sun May 17 22:02:43 PDT 2015 --  I may follow everybody that revines this and follows me! (Vine by Josh Peck <3) https://vine.co/v/eAbhBE9LrlQ 
Sun May 17 22:01:25 PDT 2015 --  Follow and favorite People Are Amazing for the coolest posts! People A... (Vine by Singing Vines) https://vine.co/v/eAu5mIUKnhF 
Sun May 17 22:00:44 PDT 2015 --  Me and jammers always do that to Yasman when she is sleeping lol https://vine.co/v/eAhWYxjxn9u 
Sun May 17 22:00:02 PDT 2015 --  Bitch where?? (Vine by Hood Flicks) https://vine.co/v/eAhWU0WLzQL 
Sun May 17 21:58:46 PDT 2015 --  Follow @ThaKhanflict for more (Vine by FunnyVines) https://vine.co/v/eAKwtn3rVji 
Sun May 17 21:57:55 PDT 2015 --  Follow @ThaKhanflict for more funny vines (Vine by FunnyVines) https://vine.co/v/eAKgAgitHLh 
Sun May 17 21:57:10 PDT 2015 --  Spider-Man killing it (Vine by wow billy stop) | IG: TooFunnyAF (Vine by @FunnyAFVine) https://vine.co/v/eAhmgmdlvhX 
Sun May 17 21:56:36 PDT 2015 --  Bish where | IG: TooFunnyAF (Vine by @FunnyAFVine) https://vine.co/v/eAhm2VTe6gJ 
Sun May 17 21:55:42 PDT 2015 --  Follow for more Following back lucky ones 🏽️ (Vine by @_msmtz) https://vine.co/v/eAhK7iLJvFZ 
Sun May 17 21:54:54 PDT 2015 --  Baby bad dropFollow for more Following back lucky ones 🏽️ (Vine by @_msmtz) https://vine.co/v/eAhKOjXljwn 
Sun May 17 21:50:56 PDT 2015 --  Yasmine when she farts https://vine.co/v/eAZ7pLYiVl2 
Sun May 17 21:50:26 PDT 2015 --  Lol https://vine.co/v/eajuF2ext3D 
Sat May 16 17:24:06 PDT 2015 --  Retweet this if you can spot a difference on this level of #WhatsTheDifference! http://WhatsTheDifferenceApp.com  pic.twitter.com/XIox1KwocR
Thu May 14 00:25:34 PDT 2015 --  It's been a year since @itsjeffreymusic was an Editor's Pick, and we still love him like XO (Vine by @vine) https://vine.co/v/e7AZburzKAg 
Thu May 14 00:25:04 PDT 2015 --  it's been a year :) XO ..so grateful that I'm an an Editor's Picks & I can't bel... (Vine by @itsjeffreymusic) https://vine.co/v/eZzgqiL3pbt 
Thu May 14 00:24:12 PDT 2015 --  Want To Want Me - @jasonderulo | if you like this dope hoodie, you should check... (Vine by @itsjeffreymusic) https://vine.co/v/eZF67jJ70Ha 
Thu May 14 00:23:56 PDT 2015 --  night changes - 1D | little longer version on my Twitter @itsjeffreymusic (Vine by @itsjeffreymusic) https://vine.co/v/eZ3eObjIzhK 
Thu May 14 00:22:53 PDT 2015 --  Nasty Freestyle - T-Wayne || (Vine by @itsjeffreymusic) https://vine.co/v/eZ3IVmUEeQZ 
Thu May 14 00:21:24 PDT 2015 --  Credit: @itsjeffreymusic (Vine by Gifted Voices) https://vine.co/v/eKzlZP5bHpA 
Thu May 14 00:17:05 PDT 2015 --  Follow @2GuysNoLives you won't regret it they're hilarious! Add them to your favor... (Vine by @swagoverload0) https://vine.co/v/emPMiazuOnI 
Thu May 14 00:14:11 PDT 2015 --  Yasmine when she's dancing https://vine.co/v/emVulEUqhxF 
Tue May 12 23:59:02 PDT 2015 --  Yasmine## https://vine.co/v/hI6UvbtgnJA 
Tue May 12 23:55:18 PDT 2015 --  Lol https://vine.co/v/MdDDx1XBduV 
Tue May 12 23:54:48 PDT 2015 --  Cool https://vine.co/v/MjBBFuXXhvp 
Tue May 12 23:51:53 PDT 2015 --  Yasmine when she trying to help https://vine.co/v/emVeL2XihAE 
Tue May 12 23:50:49 PDT 2015 --  Yasmine when she's trying to act all good https://vine.co/v/emV5rpuwH90 
Tue May 12 23:49:08 PDT 2015 --  Follow @2GuysNoLives you won't regret it they're hilarious! Add them to your favor... (Vine by @swagoverload0) https://vine.co/v/emPMiazuOnI 
Tue May 12 23:48:01 PDT 2015 --  No smoking https://vine.co/v/em9Qi0dzWK7 
Tue May 12 23:46:26 PDT 2015 --  Follow @MrJayMendoza for hilarious videos. Also favorite him "" @MrJayMend... (Vine by Jesus Christ Kid) https://vine.co/v/emVuD9VeqKQ 
Tue May 12 23:45:21 PDT 2015 --  Follow Comedy Mania they post hilarious videos daily. (Vine by Jesus Christ Kid) https://vine.co/v/emVulEUqhxF 
Sat May 09 00:12:53 PDT 2015 --  Lol https://vine.co/v/eWIvuKxhYvw 
Sat May 09 00:11:36 PDT 2015 --  Lol https://vine.co/v/embXQOYZb1l 
Sat May 09 00:10:16 PDT 2015 --  Double Tap for there Talent! (Vine by Marcus Perez) https://vine.co/v/embnIHUheea 
Sat May 09 00:08:47 PDT 2015 --  Just a killer lmao https://vine.co/v/embYpPnU3aQ 
