Sat Aug 29 03:02:02 PDT 2015 --  Surround yourself with people who #inspire you, not break you down.
Fri Aug 28 23:50:27 PDT 2015 --  You'll never be successful if you don't love what you're doing.
Fri Aug 28 09:16:23 PDT 2015 --  People talk about building a perfect summer body. Forget that, build a perfect lifetime body.
Fri Aug 28 05:50:56 PDT 2015 --  The more you exercise, the more #confidence you'll feel.
Fri Aug 28 03:15:45 PDT 2015 --  Don't strive to look like other people. Strive for other people to look like you.
Thu Aug 27 23:55:20 PDT 2015 --  No matter how hard you work, staying consistent is key.
Thu Aug 27 23:10:32 PDT 2015 --  Drinking green tea before bed will help you burn more calories while you sleep.
Thu Aug 27 08:55:55 PDT 2015 --  Suffering is a perquisite to #greatness.
Thu Aug 27 05:46:02 PDT 2015 --  The next few months will go by, whether you #workout or not. Make them count.
Thu Aug 27 03:15:45 PDT 2015 --  You attract what you are, not what you do. So if you want it, reflect it.
Thu Aug 27 00:15:43 PDT 2015 --  Sometimes you're going to think you're not #good enough, but not being good enough is the fire the drove greatness into #champions.
Wed Aug 26 23:10:40 PDT 2015 --  They will doubt you. Show them how bad you want it.
Wed Aug 26 16:16:36 PDT 2015 --  Hello everyone, have a great Thursday! looking forward to read your tweets :) (insight by http://commun.it )
Wed Aug 26 09:06:02 PDT 2015 --  You can never move forward if you're letting things that don't deserve your attention continue to bring you down.
Wed Aug 26 05:55:45 PDT 2015 --  Take every #chance. Drop every #fear.
Wed Aug 26 03:10:51 PDT 2015 --  #Life is worth the #struggle when you look back and realize what you have is #better than what you #lost.
Wed Aug 26 00:01:45 PDT 2015 --  Don't #dream it, be it.
Tue Aug 25 23:10:41 PDT 2015 --  "Tomorrow" starts today.
Tue Aug 25 11:56:13 PDT 2015 --  Thanks for the recent follow @Southern_livin9 @NBALowdown @AsahSkye Happy to connect :) have a great Tuesday. (via http://commun.it )
Tue Aug 25 11:23:32 PDT 2015 --  Thanks for the recent follow @comprapublica @MLeeCrowther Happy to connect :) have a great Tuesday. (insight by http://commun.it )
Tue Aug 25 09:16:19 PDT 2015 --  Your #future is determined by your #actions now.
Tue Aug 25 06:16:17 PDT 2015 --  #Progress over #perfection.
Tue Aug 25 02:50:31 PDT 2015 --  There are enough people critiquing you. You don't need to be one of them.
Tue Aug 25 00:01:51 PDT 2015 --  One day, the #pain will be useful.
Mon Aug 24 23:05:24 PDT 2015 --  If you don't #fit in, you're doing something right.
Mon Aug 24 16:38:39 PDT 2015 --  Thanks for the recent follow @thatgirlisfunny @Al3x_Stow3rs Happy to connect :) have a great Monday. (insight by http://commun.it )
Mon Aug 24 16:24:55 PDT 2015 --  Thanks for the recent follow @PuggySharps @DeionTheGreat_ Happy to connect :) have a great Monday. (insight by http://commun.it )
Mon Aug 24 15:57:09 PDT 2015 --  Hello everyone, have a great Monday! looking forward to read your tweets :) (insight by http://commun.it )
Mon Aug 24 15:40:40 PDT 2015 --  Thanks for the retweets this week @ThaDonRizzay @PrincessRiyaa much appreciated! (insight by http://commun.it )
Mon Aug 24 09:05:49 PDT 2015 --  Stay close to anything that makes you feel #alive.
Mon Aug 24 06:10:51 PDT 2015 --  If you're struggling, it means you're #progressing.
Mon Aug 24 03:05:26 PDT 2015 --  Stop waiting for overnight #results. Your #body is a work in progress.
Mon Aug 24 01:54:58 PDT 2015 --  Nice way to drink water! pic.twitter.com/cC4Gn8CKcn
Mon Aug 24 00:10:30 PDT 2015 --  A #winner is a dreamer who never gave up.
Sun Aug 23 23:10:17 PDT 2015 --  #Amazing things happen when you distance yourself from negativity.
Sun Aug 23 09:35:30 PDT 2015 --  Thanks #TopNewFollowers @ivan_rossoneri @pattybrylska @lybalavoqame Happy to connect :) (insight by http://commun.it )
Sun Aug 23 09:28:00 PDT 2015 --  Today is the DAY you go after your #DREAMS!
Sun Aug 23 09:25:53 PDT 2015 --  You won't know your LIMITS until you push them. #motivation pic.twitter.com/tK0z3TOUpH
