Fri Aug 28 15:33:49 PDT 2015 --  @Z_Scoops15 missing you more than anything
Fri Aug 28 13:01:19 PDT 2015 --  Missing my girl today.. @hbsears13
Fri Aug 28 10:03:56 PDT 2015 --  Never forget who was there for you from the beginning.
Sun Jan 12 16:53:22 PST 2014 --  What if... pic.twitter.com/6oV69zc5ov
Thu Aug 27 18:14:53 PDT 2015 --  What I would do to just toss one more time, put the same jersey on, do Pre-Game rituals...best friendship I've got pic.twitter.com/Hlh8zog568
Thu Aug 27 09:30:45 PDT 2015 --  I don’t wanna steal your freedom, I don’t wanna change your mind, I don’t have to make you love me, I just wanna take your time. -Sam Hunt
Wed Aug 26 08:30:42 PDT 2015 --  Happiness has its own way of taking its sweet time. -Gary Allan
Tue Aug 25 05:26:24 PDT 2015 --  Man, what I would do to go back and re-live all the moments with my boy @Z_Scoops15 Thinkin bout you everyday. Making me proud. See ya soon.
Mon Aug 24 21:03:41 PDT 2015 --  Mets with 8 homers goin on a 14-0 run! What a night
Sun Aug 23 19:49:31 PDT 2015 --  @Z_Scoops15 I wouldn't have it any other way
Sun Aug 23 18:36:11 PDT 2015 --  #FOE bro can't wait for labor day weekend! https://twitter.com/Z_Scoops15/status/635621803499651073 …
Sun Aug 23 18:10:29 PDT 2015 --  Derek Jeter's final at-bat at Yankee stadium pic.twitter.com/AT550kunNH
Sun Aug 23 18:18:59 PDT 2015 --  I'm so proud of my one of a kind relationship with my best friend and girlfriend. I consider myself the luckiest man alive @hbsears13
Sun Aug 23 18:17:01 PDT 2015 --  Sittin in the dorm watchin The Hangover and missin my guys haha @Tbird_Morris16 @Josh47phelps @BigDNeal12 @j_gaines20 @Bmill_13
Sun Aug 23 16:01:08 PDT 2015 --  Missing the fam this evening!
Sat Aug 22 09:15:50 PDT 2015 --  College is definitely different than anything I've ever done
Sat Aug 22 03:00:18 PDT 2015 --  It's been real London! Thanks for giving me a home and safe place to grow up and be successful. I'm forever grateful for Smalltown, USA!
Sat Aug 22 00:24:19 PDT 2015 --  Cant sleep..
Fri Aug 21 22:01:04 PDT 2015 --  Always awesome to see a no-hitter in the MLB. Especially by the Astros! #Fier #NoNo
Fri Aug 21 12:43:51 PDT 2015 --  You have to be a man to play baseball, but you have to have a lot of little boy in you too. -Roy Campanella pic.twitter.com/3a0Ezk4RmX
Fri Aug 21 12:15:08 PDT 2015 --  One more day.. pic.twitter.com/VchJg5DAeJ
Thu Aug 20 17:03:12 PDT 2015 --  Throwback Thursday to the 1998 'Turn the clocks forward jerseys #baseballswag pic.twitter.com/acmeTPgDia
Sun Aug 16 18:03:11 PDT 2015 --  Little League- 2 million players High school- 455,000 players College- 25,000 players Drafted- 1,500 players MLB- 750 players It's not easy!
Mon May 11 19:44:13 PDT 2015 --  WHEN YOUR PASTOR IS AN AIRBENDER pic.twitter.com/evVVeGH1GO
Fri Aug 21 07:05:10 PDT 2015 --  What do you do with your last night in London? You go to the SL vs NL football game!!!! #FridayNightLights @hbsears13
Thu Aug 20 21:37:31 PDT 2015 --  Finally done with all this college crap
Fri Jul 10 14:19:56 PDT 2015 --  Players need to get over D1 love affair. Many D2/D3 programs have produced big leaguers. It's just a number; go where you can play/develop.
Wed Aug 19 16:39:08 PDT 2015 --  Great day to be a Panther... One more commitment, one more day closer to the first practice of 2015-2016... #FPanthers
Wed Aug 19 18:21:33 PDT 2015 --  Never ever forget where you came from. No matter how big you think you are, home is where the heart is
Wed Aug 19 04:05:26 PDT 2015 --  Life isn't measured by the breathes we take but the moments that take our breath away.
Tue Aug 18 20:32:35 PDT 2015 --  I have the best relationship on this earth, not even kidding. He's so special.
Tue Aug 18 20:33:21 PDT 2015 --  https://twitter.com/hbsears13/status/633843978274779136 …
Tue Aug 18 20:23:16 PDT 2015 --  "If your dreams don't scare you... They're not big enough"
Tue Aug 18 20:03:33 PDT 2015 --  Ken Griffey Jr. https://vine.co/v/OxP5PAuXbq0 
Tue Aug 18 19:00:30 PDT 2015 --  pic.twitter.com/7OFKOTY5aW
Tue Aug 18 14:46:11 PDT 2015 --  Excellence is not a singular act but a habit. You are what you do repeatedly. -Shaquille O'Neal
Thu Aug 13 19:00:34 PDT 2015 --  The eephus https://vine.co/v/edaKr3FVuKO 
Mon Aug 17 21:11:51 PDT 2015 --  The best part is she is as serious as I am..
Mon Aug 17 09:51:52 PDT 2015 --  Kobe is a damn animal pic.twitter.com/Ne9grJVfr5
Mon Aug 17 08:00:01 PDT 2015 --  Hair so red I can't see my haters.
Sun Aug 16 21:19:16 PDT 2015 --  We would all be lost souls in a world without sports ..
Sun Aug 16 08:30:33 PDT 2015 --  I’m afraid of a world full of people who were given a trophy just for participatin’. James Harrison is the GOAT. pic.twitter.com/RhKnnEeqIl
Sat Aug 15 14:50:31 PDT 2015 --  As long as I have fun playing, the stats will take care of themselves. -Ken Griffey Jr. pic.twitter.com/TN7sghWkkK
Sat Aug 15 13:33:59 PDT 2015 --  CARLTON KILLED IT http://vine.co/v/ehAD3OPEiYZ 
Fri Aug 14 21:30:43 PDT 2015 --  Mike Trout is on track for this pic.twitter.com/0G1edwAPNI
Fri Aug 14 21:22:40 PDT 2015 --  "Be humble, hungry, and always be the hardest worker in the room." -DJ @TheRock
Fri Aug 14 13:18:59 PDT 2015 --  Just wanna take you out and show you off
Fri Aug 14 13:23:40 PDT 2015 --  Full Clubhouse https://amp.twimg.com/v/6ce1ec7d-06e0-418e-b3df-edc5729af154 …
Fri Aug 14 06:05:02 PDT 2015 --  ICYMI: A 5th-year walk-on at Notre Dame thought he was modeling the Irish's new unis. Instead he got a scholarship: http://es.pn/1Nege1O 
