Fri Aug 28 13:37:06 PDT 2015 --  #CÁNCER: Si tienes que apostar todo a una carta, HÁZLO
Fri Aug 28 09:41:16 PDT 2015 --  #CÁNCER: eres influenciable, sensible y tienes miedo al dolor.Busca tu sitio (probablemente aun no lo encontraste) y triunfarás en la vida.
Thu Aug 27 12:35:54 PDT 2015 --  HOY NO ME ENCRGRON TAREA SOLO FORRAR CARPETAS Y LIBRETAS :/
Thu Aug 27 09:40:51 PDT 2015 --  CÁNCER. Tus sueños pueden hacerse realidad mucho antes de lo que crees, así que no te des por vencido y sigue luchando por ellos.
Wed Aug 26 18:26:32 PDT 2015 --  #preguntaleamhoni @mhonividente el chico k me gusta sera mi novio ????? urge saber xfas @mhonividente @mhonividente <3 <3 <3 es acurio
Wed Aug 26 07:47:12 PDT 2015 --  que curioso, descubre que animal serías http://bit.ly/1hsRs28 
Wed Apr 01 20:12:00 PDT 2015 --  Fav ... Si te sigo en esta cuenta RT .... Si no.
Sun Oct 12 17:19:28 PDT 2014 --  SIGUIME Y TE SIGO Sígueme y te Sigo Ya Al instante Cumplo #SIGUEMEYTESIGO #RT para CONFIRMAR
Tue Aug 25 11:14:17 PDT 2015 --  #Cáncer Hoy sientete feliz por ... http://www.zodiacohoy.com/index.php?numero_signo=4&fecha=2015-08-25 …
Sun Aug 23 18:13:53 PDT 2015 --  #Cáncer Hoy vas a sentir que no puedes ... http://www.zodiacohoy.com/index.php?numero_signo=4&fecha=2015-08-24 …
Fri Aug 21 13:42:19 PDT 2015 --  #CANCER: eres un signo de agua, sensible, cariñoso,pacifico hasta el momento en que ves malas intenciones. Ahí el agua se vuelve un tsunami.
Wed Aug 19 19:47:57 PDT 2015 --  CÁNCER: 20 de Agosto de 2015 Utiliza las redes sociales con precaución sin dejarte llevar por los comentarios o... http://fb.me/7t3Rovpmk 
Thu Aug 20 08:23:11 PDT 2015 --  #CÁNCER: das demasiadas oportunidades a gente que no se las merece, y lo sabes. A demasiados...corta de raíz. Más actos y menos palabras.
Sun Aug 16 13:45:31 PDT 2015 --  CANCER, SERA UNOS DIAS DE MUCHA INTENSIDAD EN LO PERSONAL Y ESTAR ANALIZANDO SI SEGUIR O NO CON TU (cont) http://tl.gd/n_1sn966h 
Sat Aug 15 06:43:37 PDT 2015 --  #CÁNCER tiene habilidad para saber qué es lo que le pasa a los demás y qué es lo que sienten
Sat Aug 15 09:50:16 PDT 2015 --  Felicidades @_snuppy08, bendiciones hoy y siempre!!!
Sun Jan 12 00:24:57 PST 2014 --  RT y te sigo en mi otro twitter ke es @judithmezaa
Fri Aug 14 08:34:27 PDT 2015 --  Lis números de la suerte son 03. 22 .56. Los signos con mas suerte en este fin de semana son Piscis y Escorpion . Color el Rojo
Fri Aug 14 13:08:31 PDT 2015 --  #DiaRojo HAPPY BIRTHDAY SNOPPY K TE LA PASES SUPER EN TU CUMPLE DTB MUCHO @_snuppy08 @multimediostv @pelonramos
